Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
LanguageConfig_RelicGroup_201_CN,aGZB,d多语言_LanguageConfig_C.csv,1185,LanguageConfig,CN,,原初,Primordial,Исходный,#N/A,元初,원초,#N/A,#N/A,#N/A,ดั้งเดิม,Awal,Nguyên thủy
RelicConfig_70701_Name,aJEn,z造物_RelicConfig_A.csv,362,RelicConfig,Name,,<WhiteQuality:原型电池>,<WhiteQuality:Proto Battery>,<WhiteQuality:прототипный аккумулятор>,#N/A,<WhiteQuality:プロトタイプバッテリー>,<WhiteQuality:프로토타입 배터리>,#N/A,#N/A,#N/A,<WhiteQuality:แบตเตอรี่ต้นแบบ>,<WhiteQuality: Prototipe Baterai>,<WhiteQuality:pin nguyên mẫu>
RelicConfig_70701_Desc,aJEm,z造物_RelicConfig_A.csv,362,RelicConfig,Desc,,回合开始时所有唤醒体获得 [Arg1] 狂气。,"At turn start, all Awakeners gain [Arg1] Aliemus.",В начале хода все пробуждающие тела получают [Arg1] Безумие.,#N/A,ターン開始時、すべての覚醒体が [Arg1] の狂気を得る。,턴이 시작될 때 모든 웨이크업 바디가 [Arg1] 광기를 획득합니다.,#N/A,#N/A,#N/A,เมื่อเริ่มรอบ ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับ [Arg1] ความคลั่ง。,"Pada awal ronde, semua Pembangun mendapatkan [Arg1] Aliemus.","Vào đầu lượt, tất cả các thân thể được đánh thức nhận được [Arg1] sức mạnh điên cuồng."
RelicConfig_70701_BattleDesc,aJEl,z造物_RelicConfig_A.csv,362,RelicConfig,BattleDesc,,回合开始时所有唤醒体获得 [Arg1] 狂气。,"At turn start, all Awakeners obtain [Arg1] Aliemus.",В начале хода все пробуждающие тела получают [Arg1] Безумие.,#N/A,ターン開始時、すべての覚醒体が [Arg1] の狂気を得る。,턴이 시작될 때 모든 웨이크업 바디가 [Arg1] 광기를 획득합니다.,#N/A,#N/A,#N/A,เมื่อเริ่มรอบ ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับ [Arg1] ความคลั่ง。,"Pada awal ronde, semua Pembangun mendapatkan [Arg1] Aliemus.","Vào đầu lượt, tất cả các thân thể được đánh thức nhận được [Arg1] sức mạnh điên cuồng."
RelicConfig_70701_StoryDesc,aJEo,z造物_RelicConfig_A.csv,362,RelicConfig,StoryDesc,,便携式的希望。,Portable Hope,Переносный луч надежды.,Esperanza portátil,携帯可能な希望。,휴대용 희망.,Espoir portable,Tragbare Hoffnung,Esperança portátil,ความหวังที่พร้อมติดตัวไปทุกที่,Harapan yang dapat dibawa kemana saja.,Hy vọng bỏ túi.
RelicConfig_70719_Name,aJFz,z造物_RelicConfig_A.csv,363,RelicConfig,Name,,<OrangeQuality:原型电池+>,<OrangeQuality:Proto Battery+>,<OrangeQuality:прототипный аккумулятор+>,#N/A,<OrangeQuality:プロトタイプバッテリー＋>,<OrangeQuality:프로토타입 배터리+>,#N/A,#N/A,#N/A,<OrangeQuality:โปรโตไทป์แบตเตอรี่+>,<OrangeQuality:Prototype Battery+>,<OrangeQuality:pin nguyên mẫu+>
RelicConfig_70719_Desc,aJFy,z造物_RelicConfig_A.csv,363,RelicConfig,Desc,,回合开始时所有唤醒体获得 [Arg1] 狂气。,"At turn start, all Awakeners gain [Arg1] Aliemus.",В начале хода все пробуждающие тела получают [Arg1] Безумие.,#N/A,ターン開始時、すべての覚醒体が [Arg1] の狂気を得る。,턴이 시작될 때 모든 웨이크업 바디가 [Arg1] 광기를 획득합니다.,#N/A,#N/A,#N/A,เมื่อเริ่มรอบ ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับ [Arg1] ความคลั่ง。,"Pada awal ronde, semua Pembangun mendapatkan [Arg1] Aliemus.","Vào đầu lượt, tất cả các thân thể được đánh thức nhận được [Arg1] sức mạnh điên cuồng."
RelicConfig_70719_BattleDesc,aJFx,z造物_RelicConfig_A.csv,363,RelicConfig,BattleDesc,,回合开始时所有唤醒体获得 [Arg1] 狂气。,"At turn start, all Awakeners obtain [Arg1] Aliemus.",В начале хода все пробуждающие тела получают [Arg1] Безумие.,#N/A,ターン開始時、すべての覚醒体が [Arg1] の狂気を得る。,턴이 시작될 때 모든 웨이크업 바디가 [Arg1] 광기를 획득합니다.,#N/A,#N/A,#N/A,เมื่อเริ่มรอบ ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับ [Arg1] ความคลั่ง。,"Pada awal ronde, semua Pembangun mendapatkan [Arg1] Aliemus.","Vào đầu lượt, tất cả các thân thể được đánh thức nhận được [Arg1] sức mạnh điên cuồng."
RelicConfig_70719_StoryDesc,aJFA,z造物_RelicConfig_A.csv,363,RelicConfig,StoryDesc,,便携式的希望。,Portable Hope,Переносный луч надежды.,Esperanza portátil,携帯可能な希望。,휴대용 희망.,Espoir portable,Tragbare Hoffnung,Esperança portátil,ความหวังที่พร้อมติดตัวไปทุกที่,Harapan yang dapat dibawa kemana saja.,Hy vọng bỏ túi.
RelicConfig_70738_Name,aJGT,z造物_RelicConfig_A.csv,364,RelicConfig,Name,,<WhiteQuality:恩赐之血>,<WhiteQuality:Blessed Blood>,<WhiteQuality:благословенная кровь>,<WhiteQuality:Sangre bendita>,<WhiteQuality:恩賜の血>,<WhiteQuality:은혜의 피>,<WhiteQuality:Sang béni>,<WhiteQuality:Blut der Gnade>,<WhiteQuality:Sangue Abençoado>,<WhiteQuality:เลือดแห่งพระคุณ>,<WhiteQuality: Darah Pemberian>,<WhiteQuality:Máu ban ơn>
RelicConfig_70738_Desc,aJGS,z造物_RelicConfig_A.csv,364,RelicConfig,Desc,,回合结束时回复 [Arg1] 生命。,"At turn end, restore [Arg1] HP.",В конце хода восстановите [Arg1] жизни.,#N/A,ターン終了時に [Arg1] をライフを回復する。,턴 종료 시 [Arg1] 생명을 회복합니다.,#N/A,#N/A,#N/A,เมื่อสิ้นสุดเทิร์น ฟื้นฟู [Arg1] ชีวิต。,"Pada akhir ronde, pulihkan [Arg1] Hidup.","Vào cuối lượt, phục hồi [Arg1] sức sống."
