Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
RelicConfig_13895_Name,aJqz,z造物_RelicConfig_A.csv,20,RelicConfig,Name,,<OrangeQuality:时灵摆「解析」>,"<OrangeQuality:Chrono Pendulum ""Parsing"">",<OrangeQuality:маятник времени《Расшифровка》>,<OrangeQuality:péndulo crono「Análisis»>,<OrangeQuality:時霊振り子「解析」>,<OrangeQuality:시령배 “해석”>,<OrangeQuality:pendule chronique「analyse」>,<OrangeQuality:Chrono-Pendel「Analyse」>,<OrangeQuality:pêndulo crono「análise」>,<OrangeQuality:ลูกตุ้มเวลา「วิเคราะห์」>,<OrangeQuality:Pendulum waktu 「Analisis」>,<OrangeQuality:bàn lắc thời linh「phân tích」>
RelicConfig_13895_Desc,aJqy,z造物_RelicConfig_A.csv,20,RelicConfig,Desc,,每当你失去生命时，狂气最低的唤醒体获得 10 狂气。每当你失去 5 次生命时，回复 20% 已损失生命。,"Every time you lose HP, Awakener with the lowest Aliemus gains 10 Aliemus. Every 5th time you lose HP, recover 20% of the lost HP.","Каждый раз, когда вы теряете жизнь, пробуждающее тело с наименьшим безумием получает 10 безумия. Каждый раз, когда вы теряете жизнь 5 раз, восстанавливается 20% потерянной жизни.","Cada vez que pierdes vida, el Despertado con menos locura obtiene 10 locura. Cada vez que pierdes vida 5 veces, recuperas 20% de la vida perdida",ライフを失うたびに、最も狂気値が低い覚醒体に 10 の狂気を与える。ライフを 5 回失うたびに、失われたライフの 20% を獲得する。,생명을 잃을 때마다 광기가 가장 낮은 웨이크업 바디가 10 광기를 획득합니다. 생명을 5번 잃을 때마다 손실된 생명의 20%를 회복합니다.,"Chaque fois que vous perdez des PV, l'éveillé avec le moins de folie gagne 10 folie. Chaque 5 pertes de PV, récupérez 20% des PV perdus","Jedes Mal, wenn du Leben verlierst, erhält der Erwachte mit dem wenigsten Wahnsinn 10 Wahnsinn. Bei 5 Mal Leben verlieren, regeneriere 20 % des verlorenen Lebens","Sempre que perder vida, o Despertado com menos loucura ganha 10 loucura. A cada 5 perdas de vida, recupera 20% da vida perdida","ทุกครั้งที่คุณสูญเสียชีวิต, ร่างกายที่ตื่นขึ้นซึ่งมีความคลั่งต่ำที่สุดจะได้รับความคลั่ง 10 หน่วย ทุกครั้งที่คุณสูญเสียชีวิต 5 ครั้ง, ฟื้นฟูพลังชีวิต 20% ของที่เสียไป","Setiap kali kamu kehilangan Hidup, Pembangun dengan Aliemus terendah mendapatkan 10 Aliemus. Setiap kali kamu kehilangan Hidup sebanyak 5 kali, pulihkan 20% dari Hidup yang telah hilang.","Mỗi khi bạn mất mạng sống, thân thể được đánh thức có điên cuồng thấp nhất sẽ nhận được 10 điên cuồng. Mỗi khi bạn mất mạng sống 5 lần, phục hồi 20% sức sống đã mất."
RelicConfig_13895_BattleDesc,aJqx,z造物_RelicConfig_A.csv,20,RelicConfig,BattleDesc,,每当你失去生命时，狂气最低的唤醒体获得 10 狂气。每当你失去 5 次生命时，回复 20% 已损失生命。,"Whenever you lose HP, the Awakener with the lowest Aliemus gains 10 Aliemus. Whenever you lose HP 5 times, recover 20% of the lost HP.","Каждый раз, когда вы теряете жизнь, пробуждающее тело с наименьшим безумием получает 10 безумия. Каждый раз, когда вы теряете жизнь 5 раз, восстанавливается 20% потерянной жизни.","Cada vez que pierdes vida, el Despertado con menos locura obtiene 10 locura. Cada vez que pierdes vida 5 veces, recuperas 20% de la vida perdida",ライフを失うたびに、最も狂気値が低い覚醒体に 10 の狂気を与える。ライフを 5 回失うたびに、失われたライフの 20% を獲得する。,생명을 잃을 때마다 광기가 가장 낮은 웨이크업 바디가 10 광기를 획득합니다. 생명을 5번 잃을 때마다 손실된 생명의 20%를 회복합니다.,"Chaque fois que vous perdez des PV, l'éveillé avec le moins de folie gagne 10 folie. Chaque 5 pertes de PV, récupérez 20% des PV perdus","Jedes Mal, wenn du Leben verlierst, erhält der Erwachte mit dem wenigsten Wahnsinn 10 Wahnsinn. Bei 5 Mal Leben verlieren, regeneriere 20 % des verlorenen Lebens","Sempre que perder vida, o Despertado com menos loucura ganha 10 loucura. A cada 5 perdas de vida, recupera 20% da vida perdida","ทุกครั้งที่คุณสูญเสียชีวิต, ร่างกายที่ตื่นขึ้นซึ่งมีความคลั่งต่ำที่สุดจะได้รับความคลั่ง 10 หน่วย ทุกครั้งที่คุณสูญเสียชีวิต 5 ครั้ง, ฟื้นฟูพลังชีวิต 20% ของที่เสียไป","Setiap kali kamu kehilangan Hidup, Pembangun dengan Aliemus terendah mendapatkan 10 Aliemus. Setiap kali kamu kehilangan Hidup sebanyak 5 kali, pulihkan 20% dari Hidup yang telah hilang.","Mỗi khi bạn mất mạng sống, thân thể được đánh thức có điên cuồng thấp nhất sẽ nhận được 10 điên cuồng. Mỗi khi bạn mất mạng sống 5 lần, phục hồi 20% sức sống đã mất."
RelicConfig_13751_Name,aJfX,z造物_RelicConfig_A.csv,21,RelicConfig,Name,,<OrangeQuality:时灵摆「深化」>,"<OrangeQuality:Chrono Pendulum ""Deepen"">",<OrangeQuality:маятник времени《Углубление》>,<OrangeQuality:péndulo crono「Profundización」>,<OrangeQuality:時霊振り子「深化」>,<OrangeQuality:시령배 “심화”>,<OrangeQuality: pendule chronique「Approfondir」>,<OrangeQuality:Chrono-Pendel「Vertiefung」>,<OrangeQuality: pêndulo crono「profundização」>,<OrangeQuality:ลูกตุ้มเวลา 「เสริมสร้าง」>,<OrangeQuality:Pendulum waktu「Mendalam」>,<OrangeQuality:bàn lắc thời linh 「sâu sắc」>
RelicConfig_13751_Desc,aJfW,z造物_RelicConfig_A.csv,21,RelicConfig,Desc,,暴击率提高 25%，每回合首次造成的伤害翻倍。,"Increase Crit. Rate by 25%, double the first DMG dealt each turn.","Шанс критического удара увеличивается на 25%, урон, нанесенный впервые за каждый ход, удваивается.","La tasa crítica aumenta un 25%, el daño del primer daño causado en cada turno se duplica",クリティカルレートが25%上昇し、毎ターン初回のダメージが2倍になります。,"크리티컬 확률이 25% 증가하고, 매 턴 첫 번째로 주는 데미지가 두 배가 됩니다.\n","Taux critique augmenté de 25 %, les dégâts infligés lors du premier coup de chaque tour sont doublés","Kritische Rate erhöht um 25%, der erste verursachte Schaden pro Runde wird verdoppelt","Taxa crítica aumenta em 25%, e o dano causado na primeira vez de cada rodada é dobrado",อัตราการโจมตีคริติคอลเพิ่มขึ้น 25% ความเสียหายที่เกิดขึ้นครั้งแรกในแต่ละรอบจะเพิ่มเป็นสองเท่า。,"Tingkat kritis meningkat 25%, kerusakan pertama yang diberikan setiap putaran akan dilipatgandakan.","Tỷ lệ chí mạng tăng 25%, thương gây ra lần đầu tiên mỗi lượt được nhân đôi."
RelicConfig_13751_BattleDesc,aJfV,z造物_RelicConfig_A.csv,21,RelicConfig,BattleDesc,,暴击率提高 25%，每回合首次造成的伤害翻倍。,"Crit. Rate increased by 25%, the first DMG dealt each Turn is doubled.","Шанс критического удара увеличивается на 25%, урон, нанесенный впервые за каждый ход, удваивается.","La tasa crítica aumenta un 25%, el daño del primer daño causado en cada turno se duplica",クリティカルレートが25%上昇し、毎ターン初回のダメージが2倍になります。,"크리티컬 확률이 25% 증가하고, 매 턴 첫 번째로 주는 데미지가 두 배가 됩니다.\n","Taux critique augmenté de 25 %, les dégâts infligés lors du premier coup de chaque tour sont doublés","Kritische Rate erhöht um 25%, der erste verursachte Schaden pro Runde wird verdoppelt","Taxa crítica aumenta em 25%, e o dano causado na primeira vez de cada rodada é dobrado",อัตราการโจมตีคริติคอลเพิ่มขึ้น 25% ความเสียหายที่เกิดขึ้นครั้งแรกในแต่ละรอบจะเพิ่มเป็นสองเท่า。,"Tingkat kritis meningkat 25%, kerusakan pertama yang diberikan setiap putaran akan dilipatgandakan.","Tỷ lệ chí mạng tăng 25%, thương gây ra lần đầu tiên mỗi lượt được nhân đôi."
RelicConfig_13912_Name,aJrL,z造物_RelicConfig_A.csv,22,RelicConfig,Name,,<OrangeQuality:时灵摆「演绎」>,"<OrangeQuality:Chrono Pendulum ""Emulate"">",<OrangeQuality:маятник времени《Интерпретация》>,<OrangeQuality:péndulo crono「Interpretación」>,<OrangeQuality:時霊振り子「演繹」>,<OrangeQuality:시령배 “연기”>,<OrangeQuality: pendule chronique「Interprétation」>,<OrangeQuality:Chrono-Pendel「Darstellung」>,<OrangeQuality: pêndulo crono「interpretação」>,<OrangeQuality:ลูกตุ้มเวลา「การอธิบาย」>,<OrangeQuality:Pendulum waktu 「Interpretasi」>,<OrangeQuality:bàn lắc thời linh「biểu diễn」>
RelicConfig_13912_Desc,aJrK,z造物_RelicConfig_A.csv,22,RelicConfig,Desc,,回合结束时，每有 1 张剩余手牌，下回合开始时获得 1 点算力。,"At turn end, for each remaining card in hand, gain 1 Arithmetica at the start of next turn.",В конце хода за каждую оставшуюся карту в руке в начале следующего хода вы получите 1 единицу вычислительной мощности.,"Al final del turno, por cada carta restante en la mano, gana 1 punto de potencia al comienzo del próximo turno",ターン終了時、手札に 1 枚残っているごとに、次のターン開始時に 1 の計算力を獲得する。,"턴 종료 시, 남은 손패 1장당 다음 턴 시작 시 1점의 산출력을 획득합니다。","À la fin du tour, pour chaque carte restante dans la main, obtenir 1 point d'arsenal au début du prochain tour","Am Ende der Runde, für jede verbleibende Handkarte, erhält man zu Beginn der nächsten Runde 1 Punkt Arithmetica","Ao final da rodada, a cada 1 carta na mão, ganhe 1 ponto de poder ao iniciar a próxima rodada",เมื่อสิ้นสุดรอบ หากมีไพ่เหลือ 1 ใบ จะได้รับพลังการคำนวณ 1 หน่วยเมื่อเริ่มรอบถัดไป,"Pada akhir ronde, untuk setiap 1 kartu tangan yang tersisa, dapatkan 1 Aritmetika di awal ronde berikutnya.","Khi kết thúc lượt, với mỗi lá bài còn lại, nhận 1 điểm sức tính toán ở đầu lượt sau."
RelicConfig_13912_BattleDesc,aJrJ,z造物_RelicConfig_A.csv,22,RelicConfig,BattleDesc,,回合结束时，每有 1 张剩余手牌，下回合开始时获得 1 点算力。,"At turn end, for each remaining card in hand, obtain 1 Arithmetica at the start of next turn.",В конце хода за каждую оставшуюся карту в руке в начале следующего хода вы получите 1 единицу вычислительной мощности.,"Al final del turno, por cada carta restante en la mano, gana 1 punto de potencia al comienzo del próximo turno",ターン終了時、手札に 1 枚残っているごとに、次のターン開始時に 1 の計算力を獲得する。,"턴 종료 시, 남은 손패 1장당 다음 턴 시작 시 1점의 산출력을 획득합니다。","À la fin du tour, pour chaque carte restante dans la main, obtenir 1 point d'arsenal au début du prochain tour","Am Ende der Runde, für jede verbleibende Handkarte, erhält man zu Beginn der nächsten Runde 1 Punkt Arithmetica","Ao final da rodada, a cada 1 carta na mão, ganhe 1 ponto de poder ao iniciar a próxima rodada",เมื่อสิ้นสุดรอบ หากมีไพ่เหลือ 1 ใบ จะได้รับพลังการคำนวณ 1 หน่วยเมื่อเริ่มรอบถัดไป,"Pada akhir ronde, untuk setiap 1 kartu tangan yang tersisa, dapatkan 1 Aritmetika di awal ronde berikutnya.","Khi kết thúc lượt, với mỗi lá bài còn lại, nhận 1 điểm sức tính toán ở đầu lượt sau."
RelicConfig_20164_Name,aJuf,z造物_RelicConfig_A.csv,23,RelicConfig,Name,,<OrangeQuality:时灵摆「未眠」>,"<OrangeQuality:Chrono Pendulum ""Sleepless"">",<OrangeQuality:маятник времени 《Бессонница》>,<OrangeQuality:péndulo crono「Despertar」>,<OrangeQuality:時霊振り子「未眠」>,<OrangeQuality:시령배 “미면”>,<OrangeQuality: pendule chronique「Insomnie」>,<OrangeQuality:Chrono-Pendel「Wachlos」>,<OrangeQuality: pêndulo crono「insone」>,<OrangeQuality:ลูกตุ้มเวลา「ม่ายหมิ่น」>,<OrangeQuality:Pendulum waktu「Belum Tidur」>,<OrangeQuality:bàn lắc thời linh「thức trắng」>
