Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
LanguageConfig_RelicGroup_200_CN,aGZA,d多语言_LanguageConfig_C.csv,1184,LanguageConfig,CN,,维度影像,Dimensional Image,Измерение изображение,#N/A,次元イメージ,차원 영상,#N/A,#N/A,#N/A,มิติภาพเสมือน,Dimensi Gambar,Hình ảnh chiều không gian
RelicConfig_71197_Name,aJLT,z造物_RelicConfig_A.csv,455,RelicConfig,Name,,<OrangeQuality:维度影像·拉蒙娜>,<OrangeQuality:Dimensional Image: Ramona>,<OrangeQuality:размерность изображение·Рамона>,#N/A,<OrangeQuality:次元イメージ・ラモナ>,<OrangeQuality:차원 영상·라몬나>,#N/A,#N/A,#N/A,<OrangeQuality:มิติ·รามอน่า>,<OrangeQuality:Dimensi·Ramona>,<OrangeQuality:hình ảnh chiều·Ramona>
RelicConfig_71197_Desc,aJLS,z造物_RelicConfig_A.csv,455,RelicConfig,Desc,,回合开始时拉蒙娜获得 [Arg1] 狂气。每第 [Arg2] 张打出拉蒙娜的指令卡时，该指令卡额外生效 1 次并获得 [Arg3] 点银钥能量。,"At turn start, Ramona gains [Arg1] Exalt. For every [Arg2] Command Card played, that Command Card gains an additional effect and gains [Arg3]  Keyflare.","В начале хода Рамона получает [Arg1] безумия. Каждый раз, когда играется [Arg2]-я карта команды Рамоны, эта карта команды дополнительно активируется 1 раз и получает [Arg3] единиц серебряной энергии.",#N/A,ターン開始時にラモナは [Arg1] の狂気を獲得する。毎回 [Arg2] 枚目のラモナのコマンドカードをプレイするとき、そのコマンドカードが追加で 1 回発動し、[Arg3] 点のシルバーキーエネルギーを獲得する。,"턴이 시작될 때 라몬나는 [Arg1] 광기를 획득합니다. 매 [Arg2]번째로 라몬나의 명령 카드를 사용할 때, 해당 명령 카드가 추가로 1회 발동하고 [Arg3] 점의 은열에너지 획득합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ รามอน่าได้รับ [Arg1] ความคลั่ง ทุกครั้งที่การ์ดคำสั่งของรามอน่าถูกใช้งานเป็นครั้งที่ [Arg2] การ์ดคำสั่งนั้นจะมีผลเพิ่มเติม 1 ครั้งและได้รับ [Arg3] พลังกุญแจเงิน.,"Pada awal giliran, Ramona mendapatkan [Arg1] Aliemus. Setiap kali Kartu perintah Ramona yang ke-[Arg2] dimainkan, kartu perintah tersebut akan berlaku tambahan 1 kali dan mendapatkan [Arg3] Energi-s.","Vào đầu lượt, Ramona nhận được [Arg1] cuồng nộ. Mỗi lần đánh lá thẻ lệnh thứ [Arg2] của Ramona, lá thẻ lệnh đó sẽ có hiệu lực thêm 1 lần và nhận được [Arg3] điểm năng lượng chìa khóa bạc."
RelicConfig_71197_BattleDesc,aJLR,z造物_RelicConfig_A.csv,455,RelicConfig,BattleDesc,,回合开始时拉蒙娜获得 [Arg1] 狂气。每第 [Arg2] 张打出拉蒙娜的指令卡时，该指令卡额外生效 1 次并获得 [Arg3] 点银钥能量。,"At turn start, Ramona gains [Arg1] Aliemus. Every [Arg2] Command Card played by Ramona, that Command Card triggers an additional time and gains [Arg3] Keyflare.","В начале хода Рамона получает [Arg1] безумия. Каждый раз, когда играется [Arg2]-я карта команды Рамоны, эта карта команды дополнительно активируется 1 раз и получает [Arg3] единиц серебряной энергии.",#N/A,ターン開始時にラモナは [Arg1] の狂気を獲得する。毎回 [Arg2] 枚目のラモナのコマンドカードをプレイするとき、そのコマンドカードが追加で 1 回発動し、[Arg3] 点のシルバーキーエネルギーを獲得する。,"턴이 시작될 때 라몬나는 [Arg1] 광기를 획득합니다. 매 [Arg2]번째로 라몬나의 명령 카드를 사용할 때, 해당 명령 카드가 추가로 1회 발동하고 [Arg3] 점의 은열에너지 획득합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ รามอน่าได้รับ [Arg1] ความคลั่ง ทุกครั้งที่การ์ดคำสั่งของรามอน่าถูกใช้งานเป็นครั้งที่ [Arg2] การ์ดคำสั่งนั้นจะมีผลเพิ่มเติม 1 ครั้งและได้รับ [Arg3] พลังกุญแจเงิน.,"Pada awal giliran, Ramona mendapatkan [Arg1] Aliemus. Setiap kali Kartu perintah Ramona yang ke-[Arg2] dimainkan, kartu perintah tersebut akan berlaku tambahan 1 kali dan mendapatkan [Arg3] Energi-s.","Vào đầu lượt, Ramona nhận được [Arg1] cuồng nộ. Mỗi lần đánh lá thẻ lệnh thứ [Arg2] của Ramona, lá thẻ lệnh đó sẽ có hiệu lực thêm 1 lần và nhận được [Arg3] điểm năng lượng chìa khóa bạc."
RelicConfig_71195_Name,aJLL,z造物_RelicConfig_A.csv,456,RelicConfig,Name,,<OrangeQuality:维度影像·环行·拉蒙娜>,<OrangeQuality:Dimensional Image: Ramona: Timeworn>,<OrangeQuality:размерность изображение · Кольцевая · Рамона>,#N/A,<OrangeQuality:次元イメージ・リング・ラモナ>,<OrangeQuality:차원 영상·환형·라몬나>,#N/A,#N/A,#N/A,<OrangeQuality:มิติภาพ·ฮวนนิ่ง·รามอน่า>,<OrangeQuality:Dimensi·Ramona-loop>,<OrangeQuality:chiều ảnh · Vòng tròn · Ramona>
RelicConfig_71195_Desc,aJLK,z造物_RelicConfig_A.csv,456,RelicConfig,Desc,,回合开始时环行·拉蒙娜获得 [Arg1] 狂气。每回合首次触发「回环」时，获得 [Arg2] 点银钥能量和 [Arg3] 层「负熵」。,"At turn start, Ramona-loop gains [Arg1] Aliemus. The first time ""Loop"" is triggered each turn, gain [Arg2]  Keyflare and [Arg3] stacks of ""Negentropy"".","В начале хода Кольцевая · Рамона получает [Arg1] безумие. При первом срабатывании 《Цикл》 в каждом ходу, получает [Arg2] серебряную энергию и [Arg3] слои отрицательной энтропии.",#N/A,ターン開始時にリング・ラモナは [Arg1] の狂気を獲得する。毎ターン初めて「回環」が発動したとき、[Arg2] 点のシルバーキーエネルギーと [Arg3] 層の「エントロピーの減少」を獲得する。,"턴이 시작될 때 환형·라몬나는 [Arg1] 광기를 획득합니다. 매 턴 처음으로 “회환”이 발동할 때, [Arg2] 점의 은열에너지와 [Arg3] 층의 “음엔트로피”를 획득합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ ฮวนนิ่ง·รามอเน จะได้รับ [Arg1] ความคลั่ง ในการทริกเกอร์「วงแหวน」ครั้งแรกของทุกรอบ จะได้รับพลังกุญแจเงิน [Arg2] หน่วย และเอนโทรปีเชิงลบ [Arg3] ชั้น。,"Pada awal ronde, Ramona-loop mendapatkan [Arg1] Aliemus. Saat 「Loop」 pertama kali terpicu setiap ronde, dapatkan [Arg2] poin Energi-s dan [Arg3] lapisan 「Negentropy」.","Vào đầu lượt, Vòng tròn · Ramona nhận được [Arg1] điên cuồng. Mỗi lượt khi kích hoạt 「Hồi Hoàn」lần đầu tiên, nhận được [Arg2] điểm năng lượng chìa khóa bạc và [Arg3] tầng 「entropy âm」."
RelicConfig_71195_BattleDesc,aJLJ,z造物_RelicConfig_A.csv,456,RelicConfig,BattleDesc,,回合开始时环行·拉蒙娜获得 [Arg1] 狂气。每回合首次触发「回环」时，获得 [Arg2] 点银钥能量和 [Arg3] 层「负熵」。,"At turn start, Ramona: Timeworn gains [Arg1] Aliemus. The first time ""Loop"" is triggered each turn, gain [Arg2] Keyflare and [Arg3] stacks of ""Negentropy"".","В начале хода Кольцевая · Рамона получает [Arg1] безумие. При первом срабатывании 《Цикл》 в каждом ходу, получает [Arg2] серебряную энергию и [Arg3] слои отрицательной энтропии.",#N/A,ターン開始時にリング・ラモナは [Arg1] の狂気を獲得する。毎ターン初めて「回環」が発動したとき、[Arg2] 点のシルバーキーエネルギーと [Arg3] 層の「エントロピーの減少」を獲得する。,"턴이 시작될 때 환형·라몬나는 [Arg1] 광기를 획득합니다. 매 턴 처음으로 “회환”이 발동할 때, [Arg2] 점의 은열에너지와 [Arg3] 층의 “음엔트로피”를 획득합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ ฮวนนิ่ง·รามอเน จะได้รับ [Arg1] ความคลั่ง ในการทริกเกอร์「วงแหวน」ครั้งแรกของทุกรอบ จะได้รับพลังกุญแจเงิน [Arg2] หน่วย และเอนโทรปีเชิงลบ [Arg3] ชั้น。,"Pada awal ronde, Ramona-loop mendapatkan [Arg1] Aliemus. Saat 「Loop」 pertama kali terpicu setiap ronde, dapatkan [Arg2] poin Energi-s dan [Arg3] lapisan 「Negentropy」.","Vào đầu lượt, Vòng tròn · Ramona nhận được [Arg1] điên cuồng. Mỗi lượt khi kích hoạt 「Hồi Hoàn」lần đầu tiên, nhận được [Arg2] điểm năng lượng chìa khóa bạc và [Arg3] tầng 「entropy âm」."
RelicConfig_71196_Name,aJLP,z造物_RelicConfig_A.csv,457,RelicConfig,Name,,<OrangeQuality:维度影像·萝坦>,<OrangeQuality:Dimensional Image: Lotan>,<OrangeQuality:размерность изображение·Ротань>,#N/A,<OrangeQuality:次元イメージ・ロタン>,<OrangeQuality:차원 영상·로탄>,#N/A,#N/A,#N/A,<OrangeQuality:มิติ·โรแทน>,<OrangeQuality:Dimensi·Lotan>,<OrangeQuality:chiều ảnh · lơ-tan>
RelicConfig_71196_Desc,aJLO,z造物_RelicConfig_A.csv,457,RelicConfig,Desc,,回合开始时萝坦获得 [Arg1] 狂气。每回合首次打出萝坦的「防御」后，将 [Arg2] 张附加消耗与虚无的「桀骜之刃」置入手中。,"At turn start, Lotan gains [Arg1] Aliemus. After the first use of Lotan's ""Defense"" each turn, place [Arg2] additional Exhaust cards with the Illusion's ""Blade of Defiance"" into hand.","В начале хода Ротань получает [Arg1] безумие. После первого использования в ходу карты 《защита》 Ротаня, в руку добавляется [Arg2] 《яростный клинок》 с дополнительным расходом и ничто.",#N/A,ターン開始時にロタンは [Arg1] の狂気を得る。毎ターン、ロタンの「防御」を初めて使用した後、[Arg2] 枚の消費と虚無の「傲慢の刃」を手札に加える。,"턴이 시작될 때 로탄은 [Arg1] 광기를 획득합니다. 매 턴 처음으로 로탄의 “방어”를 발동한 후, [Arg2] 장의 소모와 공허가 부여된 “고집스러운 검”을 손에 추가합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ โรแทนจะได้รับ [Arg1] ความคลั่ง หลังจากใช้การ์ด「การป้องกัน」ของโรแทนเป็นครั้งแรกในแต่ละรอบ จะใส่การ์ด「ใบมีดแห่งความดื้อรั้น」ที่มีค่าใช้จ่ายเพิ่มเติมและความว่างเปล่า [Arg2] ใบลงในมือ。,"Pada awal ronde, Lotan memperoleh [Arg1] Aliemus. Setelah menggunakan kartu 「Pertahanan」 pertama Lotan di setiap ronde, tambahkan [Arg2] kartu 「Pedang Pemberontak」 dengan Lelah dan Ilusi ke tangan.","Vào đầu lượt, lơ-tan nhận được [Arg1] điên cuồng. Mỗi lượt, khi sử dụng 「phòng thủ」 lần đầu, đặt [Arg2] lá 「lưỡi kiếm kiêu ngạo」 có thêm tiêu thụ và hư vô vào tay."
RelicConfig_71196_BattleDesc,aJLN,z造物_RelicConfig_A.csv,457,RelicConfig,BattleDesc,,回合开始时萝坦获得 [Arg1] 狂气。每回合首次打出萝坦的「防御」后，将 [Arg2] 张附加消耗与虚无的「桀骜之刃」置入手中。,"At turn start, Lotan gains [Arg1] Aliemus. After the first play of Lotan's ""Defense"" each turn, place [Arg2] additional Consumes and Void ""Blade of Defiance"" into hand.","В начале хода Ротань получает [Arg1] безумие. После первого использования в ходу карты 《защита》 Ротаня, в руку добавляется [Arg2] 《яростный клинок》 с дополнительным расходом и ничто.",#N/A,ターン開始時にロタンは [Arg1] の狂気を得る。毎ターン、ロタンの「防御」を初めて使用した後、[Arg2] 枚の消費と虚無の「傲慢の刃」を手札に加える。,"턴이 시작될 때 로탄은 [Arg1] 광기를 획득합니다. 매 턴 처음으로 로탄의 “방어”를 발동한 후, [Arg2] 장의 소모와 공허가 부여된 “고집스러운 검”을 손에 추가합니다.",#N/A,#N/A,#N/A,เมื่อเริ่มต้นรอบ โรแทนจะได้รับ [Arg1] ความคลั่ง หลังจากใช้การ์ด「การป้องกัน」ของโรแทนเป็นครั้งแรกในแต่ละรอบ จะใส่การ์ด「ใบมีดแห่งความดื้อรั้น」ที่มีค่าใช้จ่ายเพิ่มเติมและความว่างเปล่า [Arg2] ใบลงในมือ。,"Pada awal ronde, Lotan memperoleh [Arg1] Aliemus. Setelah menggunakan kartu 「Pertahanan」 pertama Lotan di setiap ronde, tambahkan [Arg2] kartu 「Pedang Pemberontak」 dengan Lelah dan Ilusi ke tangan.","Vào đầu lượt, lơ-tan nhận được [Arg1] điên cuồng. Mỗi lượt, khi sử dụng 「phòng thủ」 lần đầu, đặt [Arg2] lá 「lưỡi kiếm kiêu ngạo」 có thêm tiêu thụ và hư vô vào tay."
