Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
RelicConfig_20171_Name,aJuH,z造物_RelicConfig_A.csv,10,RelicConfig,Name,,<OrangeQuality:逆向观赏+>,<OrangeQuality:Inverted View+>,<OrangeQuality:обратный обзор+>,<OrangeQuality:Observación Inversa+>,<OrangeQuality:逆向き鑑賞＋>,<OrangeQuality:역방향 감상+>,<OrangeQuality:Vision inversée+>,<OrangeQuality:Umgekehrte Betrachtung+>,<OrangeQuality:Visão Reversa+>,<OrangeQuality:การชมย้อนกลับ+>,<OrangeQuality:Penayangan Terbalik+>,<OrangeQuality:ngược chiều ngắm nhìn+>
RelicConfig_20171_Desc,aJuG,z造物_RelicConfig_A.csv,10,RelicConfig,Desc,,拾取时随机获得 1 个白银造物、1 个黄金造物、1 个诅咒造物。,"When picked up, randomly obtain 1 Silver Relic, 1 Golden Relic, and 1 Cursed Relic.","При подборе случайно получите 1 серебряное творение, 1 золотое творение, 1 проклятое создание.","Al recoger, obtienes aleatoriamente 1 reliquia de plata, 1 reliquia de oro y 1 reliquia maldita",ピックアップ時にランダムで 1 つのしろがねのつくりもの、1 つのゴールドクリエイション、1 つの呪いの造物を獲得します。,"줍을 때 랜덤으로 백은 조물주 1개, 황금 조물주 1개, 저주받은 조물주 1개를 획득합니다.","En ramassant, obtenez au hasard 1 relique d'argent, 1 relique en or et 1 relique maudite","Beim Aufheben erhält man zufällig 1 Silberrelikt, 1 goldenes Relikt und 1 verfluchtes Relikt","Ao coletar, receba aleatoriamente 1 relíquia de prata, 1 relíquia de ouro e 1 relíquia amaldiçoada","เมื่อเก็บจะได้รับแบบสุ่ม 1 สิ่งประดิษฐ์เงิน, 1 สิ่งประดิษฐ์ทองคำ, 1 สิ่งสร้างคำสาป。",Mendapatkan 1 Relik perak. 1 Relik emas. dan 1 Relik terkutuk secara acak saat diambil.,"Nhặt được ngẫu nhiên 1 vật tạo bạc, 1 vật tạo vàng, 1 vật bị nguyền rủa."
RelicConfig_20171_BattleDesc,aJuF,z造物_RelicConfig_A.csv,10,RelicConfig,BattleDesc,,拾取时随机获得 1 个白银造物、1 个黄金造物、1 个诅咒造物。,"When picked up, randomly obtain 1 Silver Relic, 1 Golden Relic, and 1 Cursed Relic.","При подборе случайно получите 1 серебряное творение, 1 золотое творение, 1 проклятое создание.","Al recoger, obtienes aleatoriamente 1 reliquia de plata, 1 reliquia de oro y 1 reliquia maldita",ピックアップ時にランダムで 1 つのしろがねのつくりもの、1 つのゴールドクリエイション、1 つの呪いの造物を獲得します。,"줍을 때 랜덤으로 백은 조물주 1개, 황금 조물주 1개, 저주받은 조물주 1개를 획득합니다.","En ramassant, obtenez au hasard 1 relique d'argent, 1 relique en or et 1 relique maudite","Beim Aufheben erhält man zufällig 1 Silberrelikt, 1 goldenes Relikt und 1 verfluchtes Relikt","Ao coletar, receba aleatoriamente 1 relíquia de prata, 1 relíquia de ouro e 1 relíquia amaldiçoada","เมื่อเก็บจะได้รับแบบสุ่ม 1 สิ่งประดิษฐ์เงิน, 1 สิ่งประดิษฐ์ทองคำ, 1 สิ่งสร้างคำสาป。",Mendapatkan 1 Relik perak. 1 Relik emas. dan 1 Relik terkutuk secara acak saat diambil.,"Nhặt được ngẫu nhiên 1 vật tạo bạc, 1 vật tạo vàng, 1 vật bị nguyền rủa."
RelicConfig_20171_StoryDesc,aJuI,z造物_RelicConfig_A.csv,10,RelicConfig,StoryDesc,,在奇异的纪元中，花朵才是人类的第一观赏者。\n不要动弹，祂们更偏爱安静的展品。,"In the strange era, flowers are humanity's primary spectators.\nStay still; they prefer quiet exhibits.","В странный эоне цветы были первыми наблюдателями человека.\nНе надо двигаться, они больше любят спокойные экспонаты.","En la era extraña, las flores eran los primeros espectadores de la humanidad.\nNo te muevas, prefieren las exhibiciones tranquilas",不思議な紀元において、花々こそが人類の最初の鑑賞者である。\n動かないでください、彼らは静かな展示品をより好む。,"기묘한 시대에서 꽃이야말로 인간의 첫 번째 관상자였다. \n움직이지 마세요, 그들은 조용한 전시물을 더 선호합니다.","Dans l'ère étrange, les fleurs sont les premiers spectateurs des humains.\nNe bouge pas, elles préfèrent les expositions calmes","In seltsamen Epochen sind Blumen die ersten Beobachter der Menschheit.\nBeweg dich nicht, sie bevorzugen ruhige Ausstellungsstücke","Na era estranha, as flores eram os primeiros espectadores da humanidade.\nNão se mova, elas preferem exposições silenciosas",ในยุคมหัศจรรย์ ดอกไม้คือผู้ชมรายแรกของมนุษย์\nอย่าขยับตัว พวกเขาชอบความสงบ,"Di era yang aneh, bunga adalah penonton pertama bagi manusia.\nJangan bergerak, mereka lebih menyukai objek pameran yang tenang.","Trong kỷ nguyên kỳ lạ, hoa mới là những người ngắm nhìn đầu tiên của loài người.\nĐừng động đậy, Họ thích những tác phẩm trưng bày yên tĩnh hơn."
RelicConfig_20170_Name,aJuD,z造物_RelicConfig_A.csv,11,RelicConfig,Name,,<OrangeQuality:通讯设备+>,<OrangeQuality:Signal Relay+>,<OrangeQuality:средства связи+>,<OrangeQuality:Equipo de Comunicación+>,<OrangeQuality:通信機器＋>,<OrangeQuality:통신 장비+>,<OrangeQuality:Équipement de communication+>,<OrangeQuality:Kommunikationsgerät+>,<OrangeQuality:Equipamento de Comunicação+>,<OrangeQuality:อุปกรณ์สื่อสาร+>,<OrangeQuality:Perangkat Komunikasi+>,<OrangeQuality:thiết bị liên lạc+>
RelicConfig_20170_Desc,aJuC,z造物_RelicConfig_A.csv,11,RelicConfig,Desc,,战斗开始时，所有唤醒体获得 50 点狂气。将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,"At the start of battle, all Awakeners gain 50 Aliemus. Draw 2 <DerivativeCardKeywords_1:""Eclipsed Echo""> into hand.","Бой начинается, все пробуждающие тела получают 50 очков безумия. Добавьте 2 карты <DerivativeCardKeywords_1:《Эхо призрачного образа》> в руку.","Al comenzar la batalla, todos los despertadores reciben 50 puntos de locura. Coloca 2 cartas <DerivativeCardKeywords_1:「eco de sombra」> en tu mano",バトル開始時、すべての覚醒体は50点の狂気を得る。<DerivativeCardKeywords_1:「遺影の響き」>を2枚手札に加える。,"전투 시작 시, 모든 웨이크업 바디는 50점의 광기를 획득합니다. 2장의 <DerivativeCardKeywords_1:“유영회향”>을 손에 추가합니다.","Au début du combat, tous les réveilleurs gagnent 50 points de aliemus. Placez 2 cartes <DerivativeCardKeywords_1:「retour d'ombre」> dans votre main",Zu Beginn des Kampfes erhält jeder Erwecker 50 Punkte Aelius. Lege 2 Karten<DerivativeCardKeywords_1:„Nachklang der Schatten“> in die Hand,"Ao início da batalha, todos os despertadores ganham 50 pontos de loucura. Coloque 2 cartas de<DerivativeCardKeywords_1:「eco das sombras」> na sua mão",เมื่อการต่อสู้เริ่มขึ้น ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับความคลั่ง 50 หน่วย เพิ่มการ์ด 2 ใบ <DerivativeCardKeywords_1:「เสียงสะท้อนแห่งเงาที่ลืมเลือน」> เข้าสู่มือ,"Pada awal pertempuran, semua Pembangun mendapatkan 50 poin Aliemus. Tempatkan 2 kartu <DerivativeCardKeywords_1:「Gema Bayangan Terlupakan」> di tangan.","Khi trận chiến bắt đầu, tất cả các thân thể được đánh thức nhận được 50 điểm điên cuồng. Đặt 2 lá <DerivativeCardKeywords_1:「dư ảnh hồi vang」> vào tay."
RelicConfig_20170_BattleDesc,aJuB,z造物_RelicConfig_A.csv,11,RelicConfig,BattleDesc,,战斗开始时，所有唤醒体获得 50 点狂气。将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,"At the start of battle, all Awakeners gain 50 Aliemus. Put 2 copies of <DerivativeCardKeywords_1:""Echoes of Lost Shadows""> into hand.","Бой начинается, все пробуждающие тела получают 50 очков безумия. Добавьте 2 карты <DerivativeCardKeywords_1:《Эхо призрачного образа》> в руку.","Al comenzar la batalla, todos los despertadores reciben 50 puntos de locura. Coloca 2 cartas <DerivativeCardKeywords_1:「eco de sombra」> en tu mano",バトル開始時、すべての覚醒体は50点の狂気を得る。<DerivativeCardKeywords_1:「遺影の響き」>を2枚手札に加える。,"전투 시작 시, 모든 웨이크업 바디는 50점의 광기를 획득합니다. 2장의 <DerivativeCardKeywords_1:“유영회향”>을 손에 추가합니다.","Au début du combat, tous les réveilleurs gagnent 50 points de aliemus. Placez 2 cartes <DerivativeCardKeywords_1:「retour d'ombre」> dans votre main",Zu Beginn des Kampfes erhält jeder Erwecker 50 Punkte Aelius. Lege 2 Karten<DerivativeCardKeywords_1:„Nachklang der Schatten“> in die Hand,"Ao início da batalha, todos os despertadores ganham 50 pontos de loucura. Coloque 2 cartas de<DerivativeCardKeywords_1:「eco das sombras」> na sua mão",เมื่อการต่อสู้เริ่มขึ้น ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับความคลั่ง 50 หน่วย เพิ่มการ์ด 2 ใบ <DerivativeCardKeywords_1:「เสียงสะท้อนแห่งเงาที่ลืมเลือน」> เข้าสู่มือ,"Pada awal pertempuran, semua Pembangun mendapatkan 50 poin Aliemus. Tempatkan 2 kartu <DerivativeCardKeywords_1:「Gema Bayangan Terlupakan」> di tangan.","Khi trận chiến bắt đầu, tất cả các thân thể được đánh thức nhận được 50 điểm điên cuồng. Đặt 2 lá <DerivativeCardKeywords_1:「dư ảnh hồi vang」> vào tay."
RelicConfig_20170_StoryDesc,aJuE,z造物_RelicConfig_A.csv,11,RelicConfig,StoryDesc,,期待或恐惧它发出清脆铃声的瞬间。,Anticipate or dread the moment it chimes.,"Ожидая или боясь момента, когда раздастся его звонкий перезвон.",Esperando o temiendo el momento en que suene la campana,そのクリアな鈴の音が鳴る瞬間を期待したり恐れたりする。,그것이 맑은 종소리를 내는 순간을 기대하거나 두려워합니다.,Attendre ou craindre le moment où il sonnera,"Erwartung oder Angst vor dem Moment, in dem es klingelt",Esperando ou temendo o momento em que o sino tocar,คาดหวังหรือกลัวว่าเสียงกริ่งใสจะดังขึ้นในจังหวะสำคัญ,Menantikan atau takut akan saat lonceng itu berbunyi dengan suara yang nyaring.,Ngóng trông hoặc lo lắng khoảnh khắc nó phát ra tiếng chuông trong trẻo.
RelicConfig_67793_Name,aJCr,z造物_RelicConfig_A.csv,12,RelicConfig,Name,,<OrangeQuality:通讯设备+β>,<OrangeQuality:Signal Relay +β>,<OrangeQuality:средства связи+β>,<OrangeQuality:dispositivo de comunicación +β>,<OrangeQuality:通信機器＋β>,<OrangeQuality:통신 장비+β>,<OrangeQuality:dispositif de communication +β>,<OrangeQuality:Kommunikationsgerät+β>,<OrangeQuality:dispositivo de comunicação+β>,<OrangeQuality:เครื่องมือสื่อสาร+β>,<OrangeQuality:Perangkat Komunikasi+β>,<OrangeQuality:thiết bị liên lạc+β>
RelicConfig_67793_Desc,aJCq,z造物_RelicConfig_A.csv,12,RelicConfig,Desc,,拾取时，所有唤醒体获得 50 点狂气，将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,"When picked up, all Awakeners gain 50 Aliemus, and place 2 <DerivativeCardKeywords_1:""Echoes of Lost Shadows""> into hand.","При подборе все пробуждающие тела получают 50 очков безумия, добавляются 2 карты <DerivativeCardKeywords_1:《Эхо призрачного образа》> в руку.","Al recoger, todos los despertadores obtienen 50 puntos de aliemus y se colocan 2 cartas <DerivativeCardKeywords_1:「eco de sombra」> en la mano",取得時、すべての覚醒体は 50 ポイントの狂気を得て、手札に 2 枚の<DerivativeCardKeywords_1:「遺影の響き」>を加える。,"아이템을 줍거나, 모든 웨이크업 바디가 50 포인트의 광기를 획득하고, 손에 2장의 <DerivativeCardKeywords_1:“유영회향”>을 넣습니다.","En ramassant, tous les réveilleurs obtiennent 50 points d’aliemus, mettez 2 cartes <DerivativeCardKeywords_1:「Écho des ombres」> dans votre main","Beim Aufheben erhalten alle Erwecker 50 Punkte Aelius, und 2 <DerivativeCardKeywords_1:„Echo der Schatten“> werden auf die Hand gelegt","Ao coletar, todos os despertadores ganham 50 pontos de aliemus e coloque 2 <DerivativeCardKeywords_1:「eco das sombras」> em sua mão","เมื่อเก็บ, ร่างกายที่ตื่นขึ้นทั้งหมดจะได้รับความคลั่ง 50 คะแนน และใส่การ์ด 2 ใบ <DerivativeCardKeywords_1:「เสียงสะท้อนแห่งเงาที่เหลือ」> เข้าสู่มือ。","Saat diambil, semua Pembangun mendapatkan 50 poin Aliemus, dan 2 kartu <DerivativeCardKeywords_1:「Gema Bayangan Terlupakan」> dimasukkan ke tangan.","Khi nhặt, tất cả các thân thể được đánh thức nhận được 50 điểm điên cuồng, đưa 2 lá <DerivativeCardKeywords_1:「Dư ảnh hồi hưởng」> vào tay."
