Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
RelicConfig_13829_Name,aJlL,z造物_RelicConfig_A.csv,9,RelicConfig,Name,,锈蚀钥匙,Rusted Key,Ржавый ключ,Llave oxidada,錆びた鍵,녹슨 열쇠,Clé rouillée,Verrosteter Schlüssel,Chave enferrujada,กุญแจสนิม,Kunci berkarat,Chìa khóa rỉ sét
RelicConfig_13829_Desc,aJlK,z造物_RelicConfig_A.csv,9,RelicConfig,Desc,,一串锈迹斑斑的钥匙。可用于开启门锁。,A string of rusty keys. Can be used to unlock doors.,Набор ржавых ключей. Может быть использован для включения замков.,Un manojo de llaves oxidadas. Puede usarse para abrir cerraduras,錆びたキーの束。ドアの鍵を開くのに使用できます。,녹슨 열쇠 꾸러미. 문 잠금을 푸는 데 사용할 수 있습니다.,Un trousseau de clés rouillées. Peut ouvrir des serrures,Ein rostiger Schlüsselbund. Kann zum Öffnen von Schlössern verwendet werden,Um molho de chaves enferrujadas. Pode ser usado para abrir fechaduras,ชุดกุญแจที่เต็มไปด้วยสนิม สามารถใช้ไขประตูได้。,Sekumpulan kunci yang berkarat. Dapat digunakan untuk membuka kunci pintu.,Một chuỗi chìa khóa rỉ sét. Có thể sử dụng để mở khóa cửa.
RelicConfig_13829_BattleDesc,aJlJ,z造物_RelicConfig_A.csv,9,RelicConfig,BattleDesc,,一串锈迹斑斑的钥匙。可用于开启门锁。,A string of rusty keys. Can be used to unlock doors.,Набор ржавых ключей. Может быть использован для включения замков.,Un manojo de llaves oxidadas. Puede usarse para abrir cerraduras,錆びたキーの束。ドアの鍵を開くのに使用できます。,녹슨 열쇠 꾸러미. 문 잠금을 푸는 데 사용할 수 있습니다.,Un trousseau de clés rouillées. Peut ouvrir des serrures,Ein rostiger Schlüsselbund. Kann zum Öffnen von Schlössern verwendet werden,Um molho de chaves enferrujadas. Pode ser usado para abrir fechaduras,ชุดกุญแจที่เต็มไปด้วยสนิม สามารถใช้ไขประตูได้。,Sekumpulan kunci yang berkarat. Dapat digunakan untuk membuka kunci pintu.,Một chuỗi chìa khóa rỉ sét. Có thể sử dụng để mở khóa cửa.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LanguageConfig_RelicGroup_1_CN,aGZz,d多语言_LanguageConfig_C.csv,1161,LanguageConfig,CN,,起源,Origin,Происхождение,Origen,起源,기원,Origine,Ursprung,Origem,ต้นกำเนิด,Awal,Khởi nguyên
RelicConfig_13835_Name,aJmj,z造物_RelicConfig_A.csv,59,RelicConfig,Name,,<WhiteQuality:定向罗盘>,<WhiteQuality:True North Compass>,<WhiteQuality:ориентировочный компас>,<WhiteQuality:Brújula>,<WhiteQuality:定向コンパス>,<WhiteQuality:정밀 나침반>,<WhiteQuality:Boussole>,<WhiteQuality:Kompass>,<WhiteQuality:Bússola Direcional>,<WhiteQuality:เข็มทิศทิศทาง>,<WhiteQuality: Kompas Terarah>,<WhiteQuality:la bàn định hướng>
RelicConfig_13835_Desc,aJmi,z造物_RelicConfig_A.csv,59,RelicConfig,Desc,,回合开始时抽 1 张牌。,Draw 1 card at turn start.,В начале хода берите 1 карту.,"Al inicio del turno, roba 1 carta",ターン開始時に1枚のカードを引く。,턴 시작 시 1장의 카드를 뽑습니다.,Piochez 1 carte au début du tour,Zu Beginn der Runde ziehst du 1 Karte,Compre 1 carta no início do turno,เมื่อเริ่มต้นเทิร์น จั่วการ์ดหนึ่งใบ,"Pada awal ronde, tarik 1 kartu.","Vào đầu lượt, rút 1 lá bài."
RelicConfig_13835_BattleDesc,aJmh,z造物_RelicConfig_A.csv,59,RelicConfig,BattleDesc,,回合开始时抽 1 张牌。,Draw 1 card at the start of your turn.,В начале хода берите 1 карту.,"Al inicio del turno, roba 1 carta",ターン開始時に1枚のカードを引く。,턴 시작 시 1장의 카드를 뽑습니다.,Piochez 1 carte au début du tour,Zu Beginn der Runde ziehst du 1 Karte,Compre 1 carta no início do turno,เมื่อเริ่มต้นเทิร์น จั่วการ์ดหนึ่งใบ,"Pada awal ronde, tarik 1 kartu.","Vào đầu lượt, rút 1 lá bài."
RelicConfig_13835_StoryDesc,aJmk,z造物_RelicConfig_A.csv,59,RelicConfig,StoryDesc,,指示的并非方向，仅是磁场。,"The indication is not a direction, but rather a magnetic field.","Это не указание пути, а лишь отражение магнитного поля.","No indica dirección, solo el campo magnético",これは方向ではなく、磁場のみを示しています。,지시하는 것은 방향이 아니라 자기장입니다.,"Ce qui est indiqué n'est pas une direction, mais un champ magnétique","Es zeigt nicht die Richtung, nur das Magnetfeld","Não aponta direção, apenas campo magnético",สิ่งที่ชี้นำไม่ใช่ทิศทาง หากแต่เป็นเพียงสนามแม่เหล็ก,"Yang ditunjukkan bukan arah, melainkan medan magnet.","Điều được chỉ ra không phải là hướng, mà chỉ là từ trường."
