Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
,,,,,,,,,,,,,,,,,,
RelicConfig_55847_Name,aJyD,z造物_RelicConfig_A.csv,279,RelicConfig,Name,,<RedQuality:☆模拟战造物☆>,<RedQuality:☆Simulation Relic☆>,<RedQuality:☆Симуляция боя создание☆>,<RedQuality:☆Creación de batalla simulada☆>,<RedQuality:☆シミュレーションバトルつくりもの☆>,<RedQuality:☆모의전 조물☆>,<RedQuality:☆Création de simulation☆>,<RedQuality:☆Simulationsartefakt☆>,<RedQuality:☆Criação de Batalha Simulada☆>,<RedQuality:☆สนามจำลองสิ่งสร้าง☆>,<RedQuality:☆Relik☆>,<RedQuality:☆Chiến Trường Giả Lập☆>
RelicConfig_55847_Desc,aJyC,z造物_RelicConfig_A.csv,279,RelicConfig,Desc,,模拟战标准造物7件套,Simulated Battle Standard Relic Set of 7,Симуляция боя стандартный комплект из 7 созданий,Set estándar de simulación 7 piezas,シミュレーションバトル標準つくりもの7点セット,모의전 표준 조물주 7세트,Simulation Set de 7 Artefacts Standards,Simulationskampf Standard-Set 7,Conjunto de 7 Itens Padrão,ชุดอุปกรณ์มาตรฐานสำหรับสนามจำลอง 7 ชิ้น สิ่งสร้าง,Set Standar Pertempuran Simulasi 7 Relik,Bộ trang bị chuẩn mực 7 món vật phẩm sáng tạo cho trận mô phỏng
RelicConfig_55847_BattleDesc,aJyB,z造物_RelicConfig_A.csv,279,RelicConfig,BattleDesc,,模拟战标准造物7件套,Simulated Battle Standard Relic Set of 7,Симуляция боя стандартный комплект из 7 созданий,Set estándar de simulación 7 piezas,シミュレーションバトル標準つくりもの7点セット,모의전 표준 조물주 7세트,Simulation Set de 7 Artefacts Standards,Simulationskampf Standard-Set 7,Conjunto de 7 Itens Padrão,ชุดอุปกรณ์มาตรฐานสำหรับสนามจำลอง 7 ชิ้น สิ่งสร้าง,Set Standar Pertempuran Simulasi 7 Relik,Bộ trang bị chuẩn mực 7 món vật phẩm sáng tạo cho trận mô phỏng
RelicConfig_55847_StoryDesc,aJyE,z造物_RelicConfig_A.csv,279,RelicConfig,StoryDesc,,在奇异的纪元中，花朵才是人类的第一观赏者。\n不要动弹，祂们更偏爱安静的展品。,"In the strange era, flowers are humanity's primary spectators.\nStay still; they prefer quiet exhibits.","В странный эоне цветы были первыми наблюдателями человека.\nНе надо двигаться, они больше любят спокойные экспонаты.","En la era extraña, las flores eran los primeros espectadores de la humanidad.\nNo te muevas, prefieren las exhibiciones tranquilas",不思議な紀元において、花々こそが人類の最初の鑑賞者である。\n動かないでください、彼らは静かな展示品をより好む。,"기묘한 시대에서 꽃이야말로 인간의 첫 번째 관상자였다. \n움직이지 마세요, 그들은 조용한 전시물을 더 선호합니다.","Dans l'ère étrange, les fleurs sont les premiers spectateurs des humains.\nNe bouge pas, elles préfèrent les expositions calmes","In seltsamen Epochen sind Blumen die ersten Beobachter der Menschheit.\nBeweg dich nicht, sie bevorzugen ruhige Ausstellungsstücke","Na era estranha, as flores eram os primeiros espectadores da humanidade.\nNão se mova, elas preferem exposições silenciosas",ในยุคมหัศจรรย์ ดอกไม้คือผู้ชมรายแรกของมนุษย์\nอย่าขยับตัว พวกเขาชอบความสงบ,"Di era yang aneh, bunga adalah penonton pertama bagi manusia.\nJangan bergerak, mereka lebih menyukai objek pameran yang tenang.","Trong kỷ nguyên kỳ lạ, hoa mới là những người ngắm nhìn đầu tiên của loài người.\nĐừng động đậy, Họ thích những tác phẩm trưng bày yên tĩnh hơn."
RelicConfig_59687_Name,aJAj,z造物_RelicConfig_A.csv,280,RelicConfig,Name,,<RedQuality:☆模拟战造物☆>,<RedQuality:☆Simulation Relic☆>,<RedQuality:☆Симуляция боя создание☆>,<RedQuality:☆Creación de batalla simulada☆>,<RedQuality:☆シミュレーションバトルつくりもの☆>,<RedQuality:☆모의전 조물☆>,<RedQuality:☆Création de simulation☆>,<RedQuality:☆Simulationsartefakt☆>,<RedQuality:☆Criação de Batalha Simulada☆>,<RedQuality:☆สนามจำลองสิ่งสร้าง☆>,<RedQuality:☆Relik☆>,<RedQuality:☆Chiến Trường Giả Lập☆>
RelicConfig_59687_Desc,aJAi,z造物_RelicConfig_A.csv,280,RelicConfig,Desc,,模拟战标准造物7件套,Simulated Battle Standard Relic Set of 7,Симуляция боя стандартный комплект из 7 созданий,Set estándar de simulación 7 piezas,シミュレーションバトル標準つくりもの7点セット,모의전 표준 조물주 7세트,Simulation Set de 7 Artefacts Standards,Simulationskampf Standard-Set 7,Conjunto de 7 Itens Padrão,ชุดอุปกรณ์มาตรฐานสำหรับสนามจำลอง 7 ชิ้น สิ่งสร้าง,Set Standar Pertempuran Simulasi 7 Relik,Bộ trang bị chuẩn mực 7 món vật phẩm sáng tạo cho trận mô phỏng
RelicConfig_59687_BattleDesc,aJAh,z造物_RelicConfig_A.csv,280,RelicConfig,BattleDesc,,模拟战标准造物7件套,Simulated Battle Standard Relic Set of 7,Симуляция боя стандартный комплект из 7 созданий,Set estándar de simulación 7 piezas,シミュレーションバトル標準つくりもの7点セット,모의전 표준 조물주 7세트,Simulation Set de 7 Artefacts Standards,Simulationskampf Standard-Set 7,Conjunto de 7 Itens Padrão,ชุดอุปกรณ์มาตรฐานสำหรับสนามจำลอง 7 ชิ้น สิ่งสร้าง,Set Standar Pertempuran Simulasi 7 Relik,Bộ trang bị chuẩn mực 7 món vật phẩm sáng tạo cho trận mô phỏng
RelicConfig_59687_StoryDesc,aJAk,z造物_RelicConfig_A.csv,280,RelicConfig,StoryDesc,,在奇异的纪元中，花朵才是人类的第一观赏者。\n不要动弹，祂们更偏爱安静的展品。,"In the strange era, flowers are humanity's primary spectators.\nStay still; they prefer quiet exhibits.","В странный эоне цветы были первыми наблюдателями человека.\nНе надо двигаться, они больше любят спокойные экспонаты.","En la era extraña, las flores eran los primeros espectadores de la humanidad.\nNo te muevas, prefieren las exhibiciones tranquilas",不思議な紀元において、花々こそが人類の最初の鑑賞者である。\n動かないでください、彼らは静かな展示品をより好む。,"기묘한 시대에서 꽃이야말로 인간의 첫 번째 관상자였다. \n움직이지 마세요, 그들은 조용한 전시물을 더 선호합니다.","Dans l'ère étrange, les fleurs sont les premiers spectateurs des humains.\nNe bouge pas, elles préfèrent les expositions calmes","In seltsamen Epochen sind Blumen die ersten Beobachter der Menschheit.\nBeweg dich nicht, sie bevorzugen ruhige Ausstellungsstücke","Na era estranha, as flores eram os primeiros espectadores da humanidade.\nNão se mova, elas preferem exposições silenciosas",ในยุคมหัศจรรย์ ดอกไม้คือผู้ชมรายแรกของมนุษย์\nอย่าขยับตัว พวกเขาชอบความสงบ,"Di era yang aneh, bunga adalah penonton pertama bagi manusia.\nJangan bergerak, mereka lebih menyukai objek pameran yang tenang.","Trong kỷ nguyên kỳ lạ, hoa mới là những người ngắm nhìn đầu tiên của loài người.\nĐừng động đậy, Họ thích những tác phẩm trưng bày yên tĩnh hơn."
,,,,,,,,,,,,,,,,,,
