Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,
StageGroup_15935_Name,aRcG,g关卡组_StageGroup_A.csv,8,StageGroup,Name,,入学日,Enrollment Day,День поступления,#N/A,入学日,입학식,#N/A,#N/A,#N/A,วันเข้าเรียน,Hari pendaftaran,Ngày nhập học,
StageGroup_15935_Desc,aRcF,g关卡组_StageGroup_A.csv,8,StageGroup,Desc,,启程日，钥冢细雨霏霏。在这里埋下你的墓碑、姓名和誓言。,"On this day of departure, a gentle drizzle falls over the Keygrave.\nHere, you shall bury your tombstone, your name, and your oath.","В день отправления, дождь идет мелким дождем. Положи здесь свой надгробный камень, имя и клятву.",#N/A,出発日、霧雨がしとしと降る。ここに君の墓石、名前、誓いを埋めろ。,"출발하는 날, 열쇠 무덤에는 가랑비가 부슬부슬 내린다. 이곳에 당신의 묘비와 이름, 그리고 맹세를 묻어라.",#N/A,#N/A,#N/A,"วันที่เดินทางมาถึง ข้างเคียงมีฝนโปรยปราย ที่นี่ฝังหลุมศพ, ชื่อ และคำสัตย์","Hari keberangkatan, hujan gerimis di pintu kubur. Tanamkan batu nisanmu, nama, dan sumpah di sini.","Ngày khởi hành, mưa nhẹ rơi nơi Huyệt Nghĩa. Chôn cất bia mộ, tên và lời thề của bạn ở đây.",
StageGroup_15935_TypeText,aRcI,g关卡组_StageGroup_A.csv,8,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,
,,,,,,,,,,,,,,,,,,,
AvgDialog_10126_Content_1,adnc,avg序章_AvgDialog_C_M.csv,8,AvgDialog,Content,拉蒙娜战损版,生命衰减至0时，精神力将难以支持仪器继续探测<Yellow:密境>，为保证战斗人员的安全，仪器会将你强制拉出战斗。,"When your HP drops to 0, your mind will struggle to continue investigating a <Yellow:Domain>. For your safety, you'll be evacuated.","При снижении жизни до 0, дух не сможет продолжить исследование <Yellow:мистический мир>. Для безопасности бойцов прибор автоматически выведет вас из боя.","Cuando la vida se reduce a 0, la fuerza espiritual no podrá soportar que el instrumento continúe detectando <Yellow: dominio>, y para garantizar la seguridad de los combatientes, el instrumento te forzará a salir de la batalla",ライフが0になると、精神力が低下して、装置による<Yellow:秘境>探索の維持が難しくなるの。戦闘員の安全を確保するために、装置はあなたを戦闘から強制的に離脱させるわ。,"HP가 0이 되면 <Yellow:비경> 탐사를 계속하기 어려워져. 그렇게 될 경우, 안전을 위해 장치가 자동적으로 수호자를 전투에서 이탈시킬 거야.","Lorsque la vie déclinera à 0, le pouvoir spirituel aura du mal à soutenir l'instrument pour continuer la détection <Yellow:domaine>, afin d'assurer la sécurité des combattants, l'instrument vous retirera de force du combat","Wenn die Lebenspunkte auf 0 sinken, wird die Geisterkraft unable sein, die Instrumente zur weiteren Erkundung des <Yellow:Bereichs> zu unterstützen. Um die Sicherheit der Kämpfer zu garantieren, wird das Instrument dich aus dem Kampf zwingen","Quando a vida chega a 0, o poder espiritual será incapaz de sustentar o instrumento para continuar a detectar <Yellow:domínio>, para garantir a segurança dos combatentes, o instrumento irá forçá-lo a sair da batalha",เมื่อชีวิตลดลงถึง 0 พลังจิตจะไม่สามารถสนับสนุนเครื่องมือให้ตรวจจับ<Yellow:ดินแดนลับแล>ต่อไปได้ เพื่อความปลอดภัย เครื่องมือจะดึงคุณออกจากการต่อสู้โดยอัตโนมัติ,"Ketika hidup berkurang hingga 0, kekuatan roh tidak akan mampu mendukung instrumen untuk terus menjelajahi <Yellow:Domain>. Demi menjamin keselamatan personel tempur, instrumen akan memaksa Anda keluar dari pertempuran.","Khi sức sống giảm xuống 0, sức mạnh tinh thần sẽ khó để thiết bị tiếp tục dò tìm <Yellow:thâm cảnh>, để đảm bảo an toàn cho nhân viên chiến đấu, thiết bị sẽ ép bạn ra khỏi chiến đấu.",
AvgDialog_10126_Content_2,adnd,avg序章_AvgDialog_C_M.csv,9,AvgDialog,Content,拉蒙娜战损版,本次情况紧急，我调整了仪器的功率，它将按照守密人体征健康且狂气充盈的功率进行输出。,"The situation is urgent! I've adjusted the device's power output to match your vitals, fully charging up our Aliemus!","В связи с чрезвычайной ситуацией я настроил мощность прибора. Теперь он будет работать с параметрами, соответствующими здоровью Хранителя тайн и избытку безумия.","La situación es urgente, ajusté la potencia del dispositivo para que funcione con la salud y locura del sujeto",今回は緊急事態だから、装置の出力をライフと狂気が最大の状態に調整してあるわ。,"상황이 급박해. 이번만 장치를 조정했으니, 수호자의 생체 징후와 광기가 충만한 상태에 맞춰 가동될 거야.","La situation est urgente, j'ai ajusté la puissance de l'appareil pour qu'il fonctionne selon les signes vitaux et la folie du sujet",In dieser Notlage habe ich die Leistung des Geräts angepasst. Es wird mit der Leistung eines gesunden und wahnsinnigen Geheimnisträgers arbeiten,"Situação urgente, ajustei a potência do dispositivo para operar com saúde e loucura máximas",ในครั้งนี้สถานการณ์เร่งด่วน ผมได้ปรับกำลังไฟของเครื่องมือ มันจะทำการส่งออกตามกำลังที่เหมาะสมกับสุขภาพร่างกายของผู้รักษาความลับและความคลั่งสูงสุด。,"Kali ini situasinya mendesak, saya telah menyesuaikan daya alat tersebut. Alat itu akan mengeluarkan daya berdasarkan kesehatan fisik Penjaga yang stabil dan penuh dengan Aliemus.","Lần này tình hình khẩn cấp, tôi đã điều chỉnh công suất của thiết bị, nó sẽ hoạt động với công suất phù hợp với thể trạng khỏe mạnh và điên cuồng dồi dào của người giữ bí mật.",
AvgDialog_10126_Content_3,adne,avg序章_AvgDialog_C_M.csv,10,AvgDialog,Content,拉蒙娜战损版,这种做法极为凶险，但我们不得不放手一搏。现在，使用狂气爆发来终结这一战吧！,"As it is, we have but one recourse left... it might be dangerous, but we're out of options. Now, unleash my Exalt to end this battle!","Этот метод крайне опасен, но нам не остается ничего, кроме как рискнуть. Сейчас используйте вспышку безумия, чтобы завершить эту битву!","Este modo de actuar es sumamente peligroso, pero no tenemos más remedio que jugárnosla. Ahora, ¡usa la locura para terminar esta batalla!",この方法はとても危険だけど、今は他に選択肢がないのよ。さあ、狂気開放を発動して、この戦いを終わらせましょう！,"위험한 방법이지만, 이젠 선택지가 없네. 지금, 광기 폭발을 사용해서 이 전투를 끝내자!","Cette méthode est extrêmement dangereuse, mais nous n'avons pas d'autre choix que de tenter notre chance. Utilisons maintenant l'exalter pour mettre fin à cette bataille !","Diese Vorgehensweise ist extrem gefährlich, aber wir müssen es wagen. Jetzt lass den Wahnsinn ausbrechen, um diesen Kampf zu beenden!","Esse tipo de prática é extremamente arriscado, mas não temos escolha a não ser arriscar. Agora, use a exaltação para terminar esta batalha!",วิธีนี้อันตรายมาก แต่เราไม่มีทางเลือกนอกจากต้องเสี่ยงทุ่มสุดตัว ตอนนี้ ใช้คลั่งไคล้ถึงขีดสุดเพื่อยุติการต่อสู้ครั้งนี้เถอะ！,"Pendekatan ini sangat berbahaya, namun kita tidak punya pilihan selain mencobanya. Sekarang, gunakan Muliakan untuk mengakhiri pertarungan ini!","Cách làm này cực kỳ nguy hiểm, nhưng chúng ta phải liều một phen. Bây giờ, sử dụng điên cuồng bùng phát để kết thúc trận chiến này!",
,,,,,,,,,,,,,,,,,,,
AvgDialog_10142_Content_2,adpT,avg序章_AvgDialog_C_M.csv,13,AvgDialog,Content,拉蒙娜,别在这么重要的仪式上走神哦，<Yellow:守密人>，下一个就轮到你被授予银钥匙了。,"Stay focused, <Yellow:Keeper>. The ceremony isn't over yet. You're next in line for a Silver Key.","Не отвлекайся на такой важной церемонии, <Yellow:Хранитель тайн>, следующим будешь ты, кому вручат серебряный ключ.","No te distraigas en una ceremonia tan importante, <Yellow:Guardián del Secreto>, tú serás el próximo en recibir la Llave de Plata",大事な儀式でぼんやりしないで、<Yellow:守密者>。\n次はあなたがシルバーキーを授与される番よ。,"중요한 의식이니 집중해, <Yellow:수호자>. 다음은 네가 은열쇠를 받을 차례야.","Ne te disperse pas pendant cette cérémonie importante, <Yellow:gardien>, c'est bientôt ton tour de recevoir la clé en argent","Verliere bei dieser wichtigen Zeremonie nicht die Konzentration, <Yellow:Hüter>, du bist der Nächste, der den Silberschlüssel erhält","Não se distraia em uma cerimônia tão importante, <Yellow:Guardião>, você será o próximo a receber a Chave de Prata",อย่าเหม่อในพิธีสำคัญแบบนี้นะ <Yellow:ผู้รักษาความลับ>，คุณจะเป็นคนต่อไปที่ได้รับกุญแจเงินแล้ว。,"Jangan melamun selama upacara penting seperti ini, <Yellow:Penjaga>, giliranmu berikutnya untuk dianugerahi Kunci perak.","Đừng để phân tâm trong một nghi lễ quan trọng như vậy, <Yellow:người giữ bí mật>, người tiếp theo sẽ được trao chìa khóa bạc.",
AvgDialog_10142_Content_3,adpU,avg序章_AvgDialog_C_M.csv,14,AvgDialog,Content,拉蒙娜,立下自己的墓碑，以此证明我们为<Yellow:对抗融蚀>献出生命的决意——这不仅是弥萨格的传统，也是我们结束预科学习、成为正式调查员的标志。,"Erect your tombstone, and devote your life to the fight against <Yellow:Dissolution>. This Mythag tradition marks your graduation as a student, and the beginning of your tenure as an Investigator.","Поставить свою собственную могилу, чтобы доказать нашу решимость <Yellow:бороться с растворением>, — это не только традиция Мисага, но и знак конец предварительного обучения и того, что мы стали полноценными следователями.","Erige tu propia lápida para demostrar nuestra determinación de <Yellow:enfrentar la corrupción> con nuestras vidas. Esto no solo es una tradición de Missaga, sino también un símbolo de nuestra transición a investigadores oficiales",自らの墓標を立て、<Yellow:融触>に抗うために命を捧げる決意を示すのーー\nこれはミサゴ大学の伝統であり、教育課程を終えて、正式な調査員となる証でもあるわ。,"자신의 무덤을 세우고 <Yellow:융식에 대항>하여 목숨을 바치겠다는 결의를 증명하는 거야——이는 미사그의 전통일 뿐만 아니라, 예비 과정을 마치고 정식 조사원이 되었다는 걸 알리는 상징이기도 해.",Érigez votre propre tombe pour prouver notre détermination à sacrifier nos vies pour <Yellow:combattre la corrosion> - c'est une tradition de Missaga et un symbole de notre passage à enquêteur officiel,"Errichte deinen eigenen Grabstein, um unseren Einsatz im <Yellow:Kampf gegen die Korrosion> zu beweisen – das ist nicht nur eine Tradition von Missaga, sondern auch ein Zeichen dafür, dass wir unsere Vorstudien abgeschlossen und offizielle Ermittler geworden sind","Erga sua própria lápide para provar nossa determinação em <Yellow:combater a corrosão>—não é apenas uma tradição de Missaga, mas também um marco de nossa transição para investigadores oficiais",สร้างหลุมศพของตัวเองเพื่อพิสูจน์ว่าเรามีความมุ่งมั่นที่จะเสียสละ<Yellow:ชีวิตเพื่อต่อสู้กับการหลอมกร่อน>——นี่ไม่ใช่เพียงแค่ประเพณีของมิซากะ แต่ยังเป็นสัญลักษณ์ของการจบการศึกษาระดับเตรียมสอบและกลายเป็นนักสืบอย่างเป็นทางการ,"Mendirikan nisan kita sendiri sebagai bukti tekad kami untuk <Yellow:melawan pelarutan> dengan hidup kami — ini bukan hanya tradisi Mythag, tetapi juga tanda berakhirnya studi pra-sekolah dan menjadi penyelidik resmi.","Đặt mộ bia của chính mình, để chứng minh quyết tâm chúng ta đã <Yellow:đối đầu với rỗng rỗng> hiến dâng sức sống — đây không chỉ là truyền thống của Misaque, mà còn là dấu hiệu chúng ta kết thúc giai đoạn học tiền khoa và trở thành điều tra viên chính thức.",
AvgDialog_10142_Content_4,adpV,avg序章_AvgDialog_C_M.csv,15,AvgDialog,Content,拉蒙娜,准备好了的话，就在墓碑上镌刻下你的名字吧。,Ready? Then engrave your name. Make it official.,"Если вы готовы, сделайте гравировку вашего имени на надгробии.","Si estás listo, graba tu nombre en la lápida",準備ができたら、墓標に名前を刻んで。,"준비가 되었다면, 묘비에 이름을 새겨.","Prêt, grave ton nom sur la tombe","Bereit, dann gravieren deinen Namen auf den Grabstein","Se estiver pronto, grave seu nome na lápide",ถ้าคุณพร้อมแล้ว ก็จารึกชื่อของคุณบนหลุมศพได้เลย,"Jika sudah siap, ukirlah nama kamu pada batu nisan.","Đã sẵn sàng rồi thì, hãy khắc tên của bạn lên bia mộ đi.",
,,,,,,,,,,,,,,,,,,,
AvgDialog_10130_Content_2,adnJ,avg序章_AvgDialog_C_M.csv,18,AvgDialog,Content,拉蒙娜,欢迎你加入弥萨格大学，%player%。,"Welcome to Mythag University, %player%.","Добро пожаловать, %player%, в университет Мисага.","Bienvenido a la universidad de mitag, %player%",ようこそミザゴ大学へ、%player%。,"미사그 대학에 온 걸 환영해, %player%.","Bienvenue à l'Université de Mythag, %player%","Willkommen an der Mythag Universität, %player%","Bem-vindo à universidade de Mythag, %player%",ยินดีต้อนรับสู่มหาวิทยาลัยมิซากะ %player%,"Selamat datang di Universitas Mythag, %player%.","Chào mừng bạn đến với Đại học Misaque, %player%.",
AvgDialog_10130_Content_3,adnO,avg序章_AvgDialog_C_M.csv,19,AvgDialog,Content,拉蒙娜,或者说……欢迎你，正式跨入世界的里侧。,"Or rather, welcome to the world beyond the veil.","Или же... добро пожаловать, официально переступив порог внутренней стороны мира.","¿O qué... bienvenido, oficialmente has cruzado al otro lado del mundo",それとも……裏側の世界へおかえり、かしら。,아니면... 정식으로 세계의 이면에 발을 들인 걸 환영한다고 해야 할까?,"Ou alors... bienvenue, tu as officiellement franchi le côté caché du monde","Oder... willkommen, du bist offiziell in die andere Seite der Welt eingetreten","Ou... bem-vindo, oficialmente, ao lado oculto do mundo",หรือจะบอกว่า... ยินดีต้อนรับสู่การก้าวเข้าสู่ด้านในของโลกจริงๆ,"Atau mungkin... selamat datang, kamu secara resmi melangkah ke sisi lain dari dunia.","Hay là… chào mừng bạn, chính thức bước vào thế giới.",
AvgDialog_10130_Content_4,adnP,avg序章_AvgDialog_C_M.csv,20,AvgDialog,Content,,我回来了。,I'm home.,Я дома.,He vuelto,ただいま。,다녀왔어.,Je suis de retour,Ich bin zurück,Voltei,ฉันกลับมาแล้ว。,Aku sudah kembali.,Tôi đã về.,
