Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15927_Name,aRca,g关卡组_StageGroup_A.csv,9,StageGroup,Name,,东区秘事,East District's Enigma,Восточный секрет,Secreto oriental,東地区の秘事,동부 지구의 비밀,Secret est,Ost-Geheimnis,Segredo oriental,ความลับตะวันออก,Rahasia timur,Bí mật đông,,
StageGroup_15927_Desc,aRbZ,g关卡组_StageGroup_A.csv,9,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach.","Древний Лентиниен окутан ночным туманом, в углах, где тусклое освещение не может пробиться, тёмный затаился в ожидании.","La antigua Lentinium está envuelta en niebla nocturna, en los rincones que las farolas amarillentas no pueden iluminar, la oscuridad acecha",古いレンディニエンの夜霧が立ち込める。昏黄の街路灯が照らさない隅で、闇が動き出すのを待っている。,"오래된 도시 론디니움은 밤안개가 자욱하고, 희미한 가로등 불빛이 닿지 않는 구석에서 어둠이 기회를 엿보고 있다.","La vieille ville de Lentini est enveloppée de brume nocturne, dans les coins que les lampadaires jaunâtres ne peuvent éclairer, l'obscurité attend son heure","Das alte Lentinium war neblig, in den Ecken, die die Straßenlaternen nicht erreichten, lauerte die Dunkelheit","A antiga Londinium está envolta em névoa noturna, nos cantos onde as luzes amareladas não alcançam, a escuridão está à espreita",ยามราตรีในลอนดีเนี่ยนปกคลุมไปด้วยหมอกหนา ตามมุมที่แสงไฟถนนสลัวส่องไม่ถึง ความมืดกำลังรอโอกาส,"Kabut malam kuno di Londinium tersebar luas. Di sudut-sudut yang tidak dapat diterangi oleh lampu jalan berwarna kuning redup, kegelapan sedang menunggu kesempatannya.","Sương mù đêm cổ xưa bao trùm Lentiennam. Trong những góc tối mà ánh đèn đường mờ không thể chiếu sáng, bóng tối đang rình rập.",,
StageGroup_15927_TypeText,aRcc,g关卡组_StageGroup_A.csv,9,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15917_Name,aRbm,g关卡组_StageGroup_A.csv,18,StageGroup,Name,,东区秘事,East District's Enigma,Восточный секрет,Secreto oriental,東地区の秘事,동부 지구의 비밀,Secret est,Ost-Geheimnis,Segredo oriental,ความลับตะวันออก,Rahasia timur,Bí mật đông,,
StageGroup_15917_Desc,aRbl,g关卡组_StageGroup_A.csv,18,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach.","Древний Лентиниен окутан ночным туманом, в углах, где тусклое освещение не может пробиться, тёмный затаился в ожидании.","La antigua Lentinium está envuelta en niebla nocturna, en los rincones que las farolas amarillentas no pueden iluminar, la oscuridad acecha",古いレンディニエンの夜霧が立ち込める。昏黄の街路灯が照らさない隅で、闇が動き出すのを待っている。,"오래된 론디니움은 밤안개가 자욱하고, 희미한 가로등 불빛이 닿지 않는 구석에서 어둠이 기회를 엿보고 있다.","La vieille ville de Lentini est enveloppée de brume nocturne, dans les coins que les lampadaires jaunâtres ne peuvent éclairer, l'obscurité attend son heure","Das alte Lentinium war neblig, in den Ecken, die die Straßenlaternen nicht erreichten, lauerte die Dunkelheit","A antiga Londinium está envolta em névoa noturna, nos cantos onde as luzes amareladas não alcançam, a escuridão está à espreita",ยามราตรีในลอนดีเนี่ยนปกคลุมไปด้วยหมอกหนา ตามมุมที่แสงไฟถนนสลัวส่องไม่ถึง ความมืดกำลังรอโอกาส,"Kabut malam kuno di Londinium tersebar luas. Di sudut-sudut yang tidak dapat diterangi oleh lampu jalan berwarna kuning redup, kegelapan sedang menunggu kesempatannya.","Sương mù đêm cổ xưa bao trùm Lentiennam. Trong những góc tối mà ánh đèn đường mờ không thể chiếu sáng, bóng tối đang rình rập.",,
StageGroup_15917_TypeText,aRbo,g关卡组_StageGroup_A.csv,18,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15896_Name,aQZG,g关卡组_StageGroup_A.csv,27,StageGroup,Name,,东区秘事(未完成),East District's Enigma (Incomplete),Тайны Восточного района (Не завершено),Secreto oriental (incompleto),東区の秘事(未完了),동부 지구의 비밀(미완성),Secret est (inachevé),Ost-Geheimnis (unvollständig),Segredo oriental (incompleto),เรื่องลับของเขตตะวันออก(ยังไม่สมบูรณ์),Rahasia timur (belum selesai),Bí mật khu Đông (chưa hoàn thành),,
StageGroup_15896_Desc,aQZF,g关卡组_StageGroup_A.csv,27,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach.","Древний Лентиниен окутан ночным туманом, в углах, где тусклое освещение не может пробиться, тёмный затаился в ожидании.","La antigua Lentinium está envuelta en niebla nocturna, en los rincones que las farolas amarillentas no pueden iluminar, la oscuridad acecha",古いレンディニエンの夜霧が立ち込める。昏黄の街路灯が照らさない隅で、闇が動き出すのを待っている。,"오래된 론디니움은 밤안개가 자욱하고, 희미한 가로등 불빛이 닿지 않는 구석에서 어둠이 기회를 엿보고 있다.","La vieille ville de Lentini est enveloppée de brume nocturne, dans les coins que les lampadaires jaunâtres ne peuvent éclairer, l'obscurité attend son heure","Das alte Lentinium war neblig, in den Ecken, die die Straßenlaternen nicht erreichten, lauerte die Dunkelheit","A antiga Londinium está envolta em névoa noturna, nos cantos onde as luzes amareladas não alcançam, a escuridão está à espreita",ยามราตรีในลอนดีเนี่ยนปกคลุมไปด้วยหมอกหนา ตามมุมที่แสงไฟถนนสลัวส่องไม่ถึง ความมืดกำลังรอโอกาส,"Kabut malam kuno di Londinium tersebar luas. Di sudut-sudut yang tidak dapat diterangi oleh lampu jalan berwarna kuning redup, kegelapan sedang menunggu kesempatannya.","Sương mù đêm cổ xưa bao trùm Lentiennam. Trong những góc tối mà ánh đèn đường mờ không thể chiếu sáng, bóng tối đang rình rập.",,
StageGroup_15896_TypeText,aQZI,g关卡组_StageGroup_A.csv,27,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
