Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15901_Name,aRaa,g关卡组_StageGroup_A.csv,10,StageGroup,Name,,以蜡像之名,Waxen Legacy,Во имя восковой фигуры,En nombre de la estatua de cera,ワックス像の名のもと,밀랍상의 이름으로,Au nom de la Statue de Cire,Im Namen der Wachsfigur,Em nome da cera,ในนามของหุ่นขี้ผึ้ง,Demi nama patung lilin,Nhân danh bình tượng nến,,
StageGroup_15901_Desc,aQZZ,g关卡组_StageGroup_A.csv,10,StageGroup,Desc,,一家能免费参观的蜡像馆。\n它只在午夜张开黑洞洞的大门，迎接那些不怀好意的访客……,"A wax museum that offers free admission.\nIt only opens its dark, gaping doors at midnight, welcoming those with ill intentions...","Музей восковых фигур, который можно посетить бесплатно.\nОн открывает свои черные врата только в полночь, приветствуя посетителей с недобрыми намерениями..","Un museo de cera con entrada gratuita.\nSolo abre sus puertas negras a medianoche, recibiendo a los visitantes con malas intenciones",無料で見学できるワックス像館。\nそれは真夜中にだけ真っ暗な扉を開き、悪意ある訪問者を迎える……,"무료로 관람할 수 있는 밀랍인형 박물관.\n그 캄캄한 정문은 오직 자정에만 열리며, 악의를 품은 채 방문객들을 맞이한다...","Un musée de cire à visiter gratuitement.\nIl n'ouvre sa grande porte noire qu'à minuit, pour accueillir les visiteurs peu bienveillants",Ein Wachsfigurenkabinett mit freiem Eintritt.\nEs öffnet nur um Mitternacht seine schwarzen Türen und empfängt unwillkommene Besucher,"Um museu de cera com entrada gratuita.\nEle só abre suas portas escuras à meia-noite, recebendo visitantes mal-intencionados",พิพิธภัณฑ์หุ่นขี้ผึ้งที่สามารถเข้าชมได้ฟรี \n ที่เปิดประตูมืดสนิทยามเที่ยงคืน เพื่อต้อนรับเหล่าผู้มาเยือนที่ไม่ประสงค์ดี..,"Sebuah museum lilin yang dapat dikunjungi secara gratis. \n Pintu hitamnya yang menganga hanya terbuka pada tengah malam, menyambut para pengunjung yang berniat jahat…","Một bảo tàng sáp có thể tham quan miễn phí. \nNó chỉ mở cánh cửa tối om của mình vào nửa đêm, chào đón những kẻ đến với ý đồ xấu…",,
StageGroup_15901_TypeText,aRac,g关卡组_StageGroup_A.csv,10,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15895_Name,aQZC,g关卡组_StageGroup_A.csv,19,StageGroup,Name,,以蜡像之名,Waxen Legacy,Во имя восковой фигуры,En nombre de la estatua de cera,ワックス像の名のもと,밀랍상의 이름으로,Au nom de la Statue de Cire,Im Namen der Wachsfigur,Em nome da cera,ในนามของหุ่นขี้ผึ้ง,Demi nama patung lilin,Nhân danh bình tượng nến,,
StageGroup_15895_Desc,aQZB,g关卡组_StageGroup_A.csv,19,StageGroup,Desc,,一家能免费参观的蜡像馆。\n它只在午夜张开黑洞洞的大门，迎接那些不怀好意的访客……,"A wax museum that offers free admission.\nIt only opens its dark, gaping doors at midnight, welcoming those with ill intentions...","Музей восковых фигур, который можно посетить бесплатно.\nОн открывает свои черные врата только в полночь, приветствуя посетителей с недобрыми намерениями..","Un museo de cera con entrada gratuita.\nSolo abre sus puertas negras a medianoche, recibiendo a los visitantes con malas intenciones",無料で見学できるワックス像館。\nそれは真夜中にだけ真っ暗な扉を開き、悪意ある訪問者を迎える……,"무료로 관람할 수 있는 밀랍인형 박물관.\n그 캄캄한 정문은 오직 자정에만 열리며, 악의를 품은 채 방문객들을 맞이한다...","Un musée de cire à visiter gratuitement.\nIl n'ouvre sa grande porte noire qu'à minuit, pour accueillir les visiteurs peu bienveillants",Ein Wachsfigurenkabinett mit freiem Eintritt.\nEs öffnet nur um Mitternacht seine schwarzen Türen und empfängt unwillkommene Besucher,"Um museu de cera com entrada gratuita.\nEle só abre suas portas escuras à meia-noite, recebendo visitantes mal-intencionados",พิพิธภัณฑ์หุ่นขี้ผึ้งที่สามารถเข้าชมได้ฟรี \n ที่เปิดประตูมืดสนิทยามเที่ยงคืน เพื่อต้อนรับเหล่าผู้มาเยือนที่ไม่ประสงค์ดี..,"Sebuah museum lilin yang dapat dikunjungi secara gratis. \n Pintu hitamnya yang menganga hanya terbuka pada tengah malam, menyambut para pengunjung yang berniat jahat…","Một bảo tàng sáp có thể tham quan miễn phí. \nNó chỉ mở cánh cửa tối om của mình vào nửa đêm, chào đón những kẻ đến với ý đồ xấu…",,
StageGroup_15895_TypeText,aQZE,g关卡组_StageGroup_A.csv,19,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15918_Name,aRbq,g关卡组_StageGroup_A.csv,28,StageGroup,Name,,以蜡像之名(未完成),Waxen Legacy (Incomplete),Во имя восковой фигуры (Не завершено),En nombre de la estatua de cera (incompleto),ワックス像の名のもと（未完了）,밀랍상의 이름으로(미완성),Au nom de la Statue de Cire (inachevé),Im Namen der Wachsfigur (unvollständig),Em nome da cera (incompleto),ในนามของหุ่นขี้ผึ้ง (ยังไม่เสร็จ),Demi nama patung lilin (belum selesai),Tên là bình tượng nến (chưa hoàn thành),,
StageGroup_15918_Desc,aRbp,g关卡组_StageGroup_A.csv,28,StageGroup,Desc,,一家能免费参观的蜡像馆。\n它只在午夜张开黑洞洞的大门，迎接那些不怀好意的访客……,"A wax museum that offers free admission.\nIt only opens its dark, gaping doors at midnight, welcoming those with ill intentions...","Музей восковых фигур, который можно посетить бесплатно.\nОн открывает свои черные врата только в полночь, приветствуя посетителей с недобрыми намерениями..","Un museo de cera con entrada gratuita.\nSolo abre sus puertas negras a medianoche, recibiendo a los visitantes con malas intenciones",無料で見学できるワックス像館。\nそれは真夜中にだけ真っ暗な扉を開き、悪意ある訪問者を迎える……,"무료로 관람할 수 있는 밀랍인형 박물관.\n그 캄캄한 정문은 오직 자정에만 열리며, 악의를 품은 채 방문객들을 맞이한다...","Un musée de cire à visiter gratuitement.\nIl n'ouvre sa grande porte noire qu'à minuit, pour accueillir les visiteurs peu bienveillants",Ein Wachsfigurenkabinett mit freiem Eintritt.\nEs öffnet nur um Mitternacht seine schwarzen Türen und empfängt unwillkommene Besucher,"Um museu de cera com entrada gratuita.\nEle só abre suas portas escuras à meia-noite, recebendo visitantes mal-intencionados",พิพิธภัณฑ์หุ่นขี้ผึ้งที่สามารถเข้าชมได้ฟรี \n ที่เปิดประตูมืดสนิทยามเที่ยงคืน เพื่อต้อนรับเหล่าผู้มาเยือนที่ไม่ประสงค์ดี..,"Sebuah museum lilin yang dapat dikunjungi secara gratis. \n Pintu hitamnya yang menganga hanya terbuka pada tengah malam, menyambut para pengunjung yang berniat jahat…","Một bảo tàng sáp có thể tham quan miễn phí. \nNó chỉ mở cánh cửa tối om của mình vào nửa đêm, chào đón những kẻ đến với ý đồ xấu…",,
StageGroup_15918_TypeText,aRbs,g关卡组_StageGroup_A.csv,28,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
