Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15922_Name,aRbG,g关卡组_StageGroup_A.csv,11,StageGroup,Name,,谨防恶犬,Beware of Hounds,Остерегайтесь собак,Cuidado con los perros,悪犬注意,맹견 주의,Attention aux chiens,Vorsicht vor Hunden,Cuidado com os cães,ระวังหมา,Awas anjing,Cẩn thận với chó,,
StageGroup_15922_Desc,aRbF,g关卡组_StageGroup_A.csv,11,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.,Добро пожаловать в гостеприимный Лайский городок — собачий лай в зимнюю ночь сделает каждого посетителя чувствовать себя как дома.,"Bienvenido al acogedor pueblo de Lai, donde los ladridos nocturnos te harán sentir como en casa",熱いおもてなしのらいちょうせんへようこそ――冬の夜の犬の遠吠えが、每位来訪者を温かく迎えます。,"손님을 따뜻하게 맞이하는 마을, 라이에 오신 것을 환영합니다— 겨울밤의 개 짖는 소리가 방문객들을 반겨 줄 것입니다.",Bienvenue dans la chaleureuse ville de Rai - les aboiements nocturnes vous feront sentir chez vous,Willkommen in der gastfreundlichen Stadt Rai – das Bellen der Hunde in der Winternacht wird jeden Besucher willkommen heißen,Bem-vindo à acolhedora cidade de Lai - os latidos noturnos farão todos se sentirem em casa,ยินดีต้อนรับสู่เมืองเล็กๆ ที่อบอุ่นและใจดีของไล่ —— เสียงเห่าของสุนัขในคืนฤดูหนาวจะทำให้ผู้มาเยือนทุกคนรู้สึกเหมือนอยู่บ้าน,Selamat datang di kota kecil Rai yang ramah tamah — gonggongan anjing di malam musim dingin akan membuat setiap pengunjung merasa seperti di rumah sendiri.,Chào mừng đến với thị trấn Rai hiếu khách —— tiếng sủa của chó trong đêm đông sẽ khiến mỗi du khách cảm thấy như ở nhà.,,
StageGroup_15922_TypeText,aRbI,g关卡组_StageGroup_A.csv,11,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15906_Name,aRau,g关卡组_StageGroup_A.csv,20,StageGroup,Name,,谨防恶犬,Beware of Hounds,Остерегайтесь собак,Cuidado con los perros,悪犬注意,맹견 주의,Attention aux chiens,Vorsicht vor Hunden,Cuidado com os cães,ระวังหมา,Awas anjing,Cẩn thận với chó,,
StageGroup_15906_Desc,aRat,g关卡组_StageGroup_A.csv,20,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.,Добро пожаловать в гостеприимный Лайский городок — собачий лай в зимнюю ночь сделает каждого посетителя чувствовать себя как дома.,"Bienvenido al acogedor pueblo de Lai, donde los ladridos nocturnos te harán sentir como en casa",熱いおもてなしのらいちょうせんへようこそ――冬の夜の犬の遠吠えが、每位来訪者を温かく迎えます。,"손님을 따뜻하게 맞이하는 마을, 라이에 오신 것을 환영합니다— 겨울밤의 개 짖는 소리가 방문객들을 반겨 줄 것입니다.",Bienvenue dans la chaleureuse ville de Rai - les aboiements nocturnes vous feront sentir chez vous,Willkommen in der gastfreundlichen Stadt Rai – das Bellen der Hunde in der Winternacht wird jeden Besucher willkommen heißen,Bem-vindo à acolhedora cidade de Lai - os latidos noturnos farão todos se sentirem em casa,ยินดีต้อนรับสู่เมืองเล็กๆ ที่อบอุ่นและใจดีของไล่ —— เสียงเห่าของสุนัขในคืนฤดูหนาวจะทำให้ผู้มาเยือนทุกคนรู้สึกเหมือนอยู่บ้าน,Selamat datang di kota kecil Rai yang ramah tamah — gonggongan anjing di malam musim dingin akan membuat setiap pengunjung merasa seperti di rumah sendiri.,Chào mừng đến với thị trấn Rai hiếu khách —— tiếng sủa của chó trong đêm đông sẽ khiến mỗi du khách cảm thấy như ở nhà.,,
StageGroup_15906_TypeText,aRaw,g关卡组_StageGroup_A.csv,20,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15913_Name,aRaW,g关卡组_StageGroup_A.csv,29,StageGroup,Name,,谨防恶犬(未完成),Beware of Hounds (Incomplete),"Будьте осторожны, здесь злые собаки (не завершено)",Cuidado con los perros (incompleto),悪犬に注意（未完了）,맹견 주의(미완성),Attention aux chiens (non terminé),Vorsicht vor Hunden (unvollständig),Cuidado com os cães (incompleto),ระวังสุนัขดุ (ยังไม่เสร็จ),Awas anjing (belum selesai),Cẩn thận chó dữ (Chưa xong),,
StageGroup_15913_Desc,aRaV,g关卡组_StageGroup_A.csv,29,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.,Добро пожаловать в гостеприимный Лайский городок — собачий лай в зимнюю ночь сделает каждого посетителя чувствовать себя как дома.,"Bienvenido al acogedor pueblo de Lai, donde los ladridos nocturnos te harán sentir como en casa",熱いおもてなしのらいちょうせんへようこそ――冬の夜の犬の遠吠えが、每位来訪者を温かく迎えます。,"손님을 따뜻하게 맞이하는 마을, 라이에 오신 것을 환영합니다— 겨울밤의 개 짖는 소리가 방문객들을 반겨 줄 것입니다.",Bienvenue dans la chaleureuse ville de Rai - les aboiements nocturnes vous feront sentir chez vous,Willkommen in der gastfreundlichen Stadt Rai – das Bellen der Hunde in der Winternacht wird jeden Besucher willkommen heißen,Bem-vindo à acolhedora cidade de Lai - os latidos noturnos farão todos se sentirem em casa,ยินดีต้อนรับสู่เมืองเล็กๆ ที่อบอุ่นและใจดีของไล่ —— เสียงเห่าของสุนัขในคืนฤดูหนาวจะทำให้ผู้มาเยือนทุกคนรู้สึกเหมือนอยู่บ้าน,Selamat datang di kota kecil Rai yang ramah tamah — gonggongan anjing di malam musim dingin akan membuat setiap pengunjung merasa seperti di rumah sendiri.,Chào mừng đến với thị trấn Rai hiếu khách —— tiếng sủa của chó trong đêm đông sẽ khiến mỗi du khách cảm thấy như ở nhà.,,
StageGroup_15913_TypeText,aRaY,g关卡组_StageGroup_A.csv,29,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
