Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15882_Name,aQYC,g关卡组_StageGroup_A.csv,12,StageGroup,Name,,于无声处,Where Silence Reigns,В тишине,En el Silencio,無言の処,소리 없는 곳에서,Dans le silence,In der Stille,No Silêncio,ในที่เงียบงัน,Di tempat yang hening,Nơi im lặng sâu thẳm,,
StageGroup_15882_Desc,aQYB,g关卡组_StageGroup_A.csv,12,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world.","В противоположность стереотипам о 《истерика》, здесь царит мир тишины и неподвижности.","Contrario al estereotipo de ""histérico"", aquí es un mundo de silencio inmóvil",「ヒステリック」という固定観念とは逆に、ここは静寂な無音の世界です。,"""히스테리""에 대한 고정관념과는 달리, 이곳은 소리도 움직임도 없는 세계다.","Contrairement au stéréotype de ""l'hystérie"", c'est un monde silencieux et immobile","Im Gegensatz zum Klischee der ""Hysterie"" ist dies eine stille, bewegungslose Welt","Contrário ao estereótipo de ""histeria"", aqui é um mundo silencioso e imóvel","ตรงกันข้ามกับความเชื่อแบบเหมารวมเรื่อง ""ภาพลักษณ์ของความวิตกกังวลสุดโต่ง"" ที่นี่คือโลกแห่งความเงียบงันและไร้เสียง","Bertentangan dengan stereotip ""histeris"", ini adalah dunia yang sunyi dan tanpa suara.","Trái ngược với định kiến về ""hysteria"", đây là một thế giới tĩnh lặng và không tiếng động.",,
StageGroup_15882_TypeText,aQYE,g关卡组_StageGroup_A.csv,12,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15921_Name,aRbC,g关卡组_StageGroup_A.csv,21,StageGroup,Name,,于无声处,Where Silence Reigns,В тишине,En el Silencio,無言の処,소리 없는 곳에서,Dans le silence,In der Stille,No Silêncio,ในที่เงียบงัน,Di tempat yang hening,Nơi im lặng sâu thẳm,,
StageGroup_15921_Desc,aRbB,g关卡组_StageGroup_A.csv,21,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world.","В противоположность стереотипам о 《истерика》, здесь царит мир тишины и неподвижности.","Contrario al estereotipo de ""histérico"", aquí es un mundo de silencio inmóvil",「ヒステリック」という固定観念とは逆に、ここは静寂な無音の世界です。,"""히스테리""에 대한 고정관념과는 달리, 이곳은 소리도 움직임도 없는 세계다.","Contrairement au stéréotype de ""l'hystérie"", c'est un monde silencieux et immobile","Im Gegensatz zum Klischee der ""Hysterie"" ist dies eine stille, bewegungslose Welt","Contrário ao estereótipo de ""histeria"", aqui é um mundo silencioso e imóvel","ตรงกันข้ามกับความเชื่อแบบเหมารวมเรื่อง ""ภาพลักษณ์ของความวิตกกังวลสุดโต่ง"" ที่นี่คือโลกแห่งความเงียบงันและไร้เสียง","Bertentangan dengan stereotip ""histeris"", ini adalah dunia yang sunyi dan tanpa suara.","Trái ngược với định kiến về ""hysteria"", đây là một thế giới tĩnh lặng và không tiếng động.",,
StageGroup_15921_TypeText,aRbE,g关卡组_StageGroup_A.csv,21,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15925_Name,aRbS,g关卡组_StageGroup_A.csv,30,StageGroup,Name,,于无声处(未完成),Where Silence Reigns (Incomplete),В тишине (Не завершено),En el Silencio (Incompleto),無言の処 (未完了),소리 없는 곳에서(미완성),Dans le silence (Inachevé),In der Stille (unvollständig),No Silêncio (Incompleto),ในที่เงียบสงัด (ยังไม่สมบูรณ์),Di Tempat yang Sunyi (Belum Selesai),Tại nơi yên lặng (chưa hoàn thành),,
StageGroup_15925_Desc,aRbR,g关卡组_StageGroup_A.csv,30,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world.","В противоположность стереотипам о 《истерика》, здесь царит мир тишины и неподвижности.","Contrario al estereotipo de ""histérico"", aquí es un mundo de silencio inmóvil",「ヒステリック」という固定観念とは逆に、ここは静寂な無音の世界です。,"""히스테리""에 대한 고정관념과는 달리, 이곳은 소리도 움직임도 없는 세계다.","Contrairement au stéréotype de ""l'hystérie"", c'est un monde silencieux et immobile","Im Gegensatz zum Klischee der ""Hysterie"" ist dies eine stille, bewegungslose Welt","Contrário ao estereótipo de ""histeria"", aqui é um mundo silencioso e imóvel","ตรงกันข้ามกับความเชื่อแบบเหมารวมเรื่อง ""ภาพลักษณ์ของความวิตกกังวลสุดโต่ง"" ที่นี่คือโลกแห่งความเงียบงันและไร้เสียง","Bertentangan dengan stereotip ""histeris"", ini adalah dunia yang sunyi dan tanpa suara.","Trái ngược với định kiến về ""hysteria"", đây là một thế giới tĩnh lặng và không tiếng động.",,
StageGroup_15925_TypeText,aRbU,g关卡组_StageGroup_A.csv,30,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
Stage_8027_Name,aVnu,g关卡_Stage_A.csv,114,Stage,Name,,疯人之口,Mouth of the Mad,Рот сумасшедшего,Boca del loco,狂人の口,광인의 입,Bouche du fou,Mund des Wahnsinnigen,Boca do Louco,ปากของผู้คลั่ง,Mulut Gila,Miệng kẻ điên,,
Stage_8027_Desc,aVnt,g关卡_Stage_A.csv,114,Stage,Desc,,世间的交锋不止于兵刃相接的战场，有时也存在于疯人之口。,"Conflict in this world is not limited to battles on the battlefield; sometimes, it can be found in the words of the mad.","Схватки в этом мире не ограничиваются лишь полем битвы с сталкивающимися клинками, иногда они происходят и в словах безумца.","Los enfrentamientos en el mundo no se limitan al campo de batalla, a veces también están en la boca de los locos",世の対決は、ただ兵刃が触れ合う戦場だけでなく、時には狂人の口にも存在する。,세상의 대결은 병장이 맞붙는 전장뿐만 아니라 때로는 광인의 입에서도 존재한다.,"Les affrontements dans ce monde ne se limitent pas aux champs de bataille, ils existent parfois dans les paroles des fous","Konflikte in der Welt beschränken sich nicht nur auf das Schlachtfeld, manchmal finden sie auch in den Worten der Wahnsinnigen statt","Os confrontos no mundo não se limitam aos campos de batalha; às vezes, ocorrem nas palavras dos loucos",การปะทะกันในโลกนี้ไม่ได้จำกัดอยู่แค่สนามรบที่ดาบและโล่กระทบกันเท่านั้น บางครั้งมันยังซ่อนอยู่ในคำพูดของผู้ไร้สติ,"Pertempuran di dunia tidak hanya terjadi di medan perang dengan bentrokan senjata, tetapi kadang-kadang juga terdapat dalam ucapan orang gila.","Cuộc giao tranh trên thế gian không chỉ diễn ra trên chiến trường nơi lưỡi kiếm va chạm, mà đôi khi còn tồn tại trong miệng của những kẻ điên rồ.",,
