Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15907_Name,aRay,g关卡组_StageGroup_A.csv,13,StageGroup,Name,,风暴之眼,Eye of the Storm,Глаз шторма,Ojo de tormenta,嵐の眼,폭풍의 눈,Œil de la tempête,Sturm Auge,Olho da tempestade,ตาพายุ,Mata badai,Mắt bão,,
StageGroup_15907_Desc,aRax,g关卡组_StageGroup_A.csv,13,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate...","Чужие корабли, чужие девушки, чужие враги. Покачиваясь на волнах моря, следователям предстоит борьба с судьбой..","Barcos extraños, chicas extrañas, enemigos extraños. En el mar, los investigadores enfrentan su destino",見知らぬ船、見知らぬ少女、見知らぬ敵。大海に揺れ動く中、調査員たちを待ち受けているのは、運命との戦い……,"낯선 배, 낯선 소녀, 낯선 적. 바다 위에 떠다니는 가운데, 조사원들을 기다리는 것은 운명에 맞선 싸움이다...","Navires étranges, jeunes filles étranges, ennemis étranges. Flottant sur la mer, les enquêteurs affrontent leur destin","Fremdes Schiff, fremdes Mädchen, fremder Feind. Auf dem Meer treibend, erwartet die Ermittler ein Kampf gegen das Schicksal","Navios estranhos, garotas estranhas, inimigos estranhos. À deriva no mar, os investigadores enfrentam o destino",เรือที่ไม่คุ้นเคย เด็กสาวแปลกหน้า ศัตรูที่ไม่รู้จัก โคลงเคลงอยู่กลางทะเล สิ่งที่รอคอยผู้ตรวจสอบอยู่คือการต่อสู้กับชะตากรรม..,"Kapal asing, gadis asing, musuh asing. Terombang-ambing di lautan luas, yang menanti para Penyelidik adalah sebuah perjuangan melawan takdir..","Chiếc thuyền lạ, cô gái lạ, kẻ thù lạ. Trôi dạt giữa biển khơi, điều chờ đợi các điều tra viên là một cuộc đấu tranh với số phận…",,
StageGroup_15907_TypeText,aRaA,g关卡组_StageGroup_A.csv,13,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15905_Name,aRaq,g关卡组_StageGroup_A.csv,22,StageGroup,Name,,风暴之眼,Eye of the Storm,Глаз шторма,Ojo de tormenta,嵐の眼,폭풍의 눈,Œil de la tempête,Sturm Auge,Olho da tempestade,ตาพายุ,Mata badai,Mắt bão,,
StageGroup_15905_Desc,aRap,g关卡组_StageGroup_A.csv,22,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate...","Чужие корабли, чужие девушки, чужие враги. Покачиваясь на волнах моря, следователям предстоит борьба с судьбой..","Barcos extraños, chicas extrañas, enemigos extraños. En el mar, los investigadores enfrentan su destino",見知らぬ船、見知らぬ少女、見知らぬ敵。大海に揺れ動く中、調査員たちを待ち受けているのは、運命との戦い……,"낯선 배, 낯선 소녀, 낯선 적. 바다 위에 떠다니는 가운데, 조사원들을 기다리는 것은 운명에 맞선 싸움이다...","Navires étranges, jeunes filles étranges, ennemis étranges. Flottant sur la mer, les enquêteurs affrontent leur destin","Fremdes Schiff, fremdes Mädchen, fremder Feind. Auf dem Meer treibend, erwartet die Ermittler ein Kampf gegen das Schicksal","Navios estranhos, garotas estranhas, inimigos estranhos. À deriva no mar, os investigadores enfrentam o destino",เรือที่ไม่คุ้นเคย เด็กสาวแปลกหน้า ศัตรูที่ไม่รู้จัก โคลงเคลงอยู่กลางทะเล สิ่งที่รอคอยผู้ตรวจสอบอยู่คือการต่อสู้กับชะตากรรม..,"Kapal asing, gadis asing, musuh asing. Terombang-ambing di lautan luas, yang menanti para Penyelidik adalah sebuah perjuangan melawan takdir..","Chiếc thuyền lạ, cô gái lạ, kẻ thù lạ. Trôi dạt giữa biển khơi, điều chờ đợi các điều tra viên là một cuộc đấu tranh với số phận…",,
StageGroup_15905_TypeText,aRas,g关卡组_StageGroup_A.csv,22,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15919_Name,aRbu,g关卡组_StageGroup_A.csv,31,StageGroup,Name,,风暴之眼(未完成),Eye of the Storm (Incomplete),Глаз Бури (Не завершено),Ojo de tormenta (incompleto),ストームアイ(未完了),폭풍의 눈(미완성),Œil de la tempête (inachevé),Das Sturm Auge (unvollständig),Olho da tempestade (incompleto),ตาพายุ(ยังไม่เสร็จ),Mata badai (belum selesai),Mắt Bão (chưa hoàn thành),,
StageGroup_15919_Desc,aRbt,g关卡组_StageGroup_A.csv,31,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate...","Чужие корабли, чужие девушки, чужие враги. Покачиваясь на волнах моря, следователям предстоит борьба с судьбой..","Barcos extraños, chicas extrañas, enemigos extraños. En el mar, los investigadores enfrentan su destino",見知らぬ船、見知らぬ少女、見知らぬ敵。大海に揺れ動く中、調査員たちを待ち受けているのは、運命との戦い……,"낯선 배, 낯선 소녀, 낯선 적. 바다 위에 떠다니는 가운데, 조사원들을 기다리는 것은 운명에 맞선 싸움이다...","Navires étranges, jeunes filles étranges, ennemis étranges. Flottant sur la mer, les enquêteurs affrontent leur destin","Fremdes Schiff, fremdes Mädchen, fremder Feind. Auf dem Meer treibend, erwartet die Ermittler ein Kampf gegen das Schicksal","Navios estranhos, garotas estranhas, inimigos estranhos. À deriva no mar, os investigadores enfrentam o destino",เรือที่ไม่คุ้นเคย เด็กสาวแปลกหน้า ศัตรูที่ไม่รู้จัก โคลงเคลงอยู่กลางทะเล สิ่งที่รอคอยผู้ตรวจสอบอยู่คือการต่อสู้กับชะตากรรม..,"Kapal asing, gadis asing, musuh asing. Terombang-ambing di lautan luas, yang menanti para Penyelidik adalah sebuah perjuangan melawan takdir..","Chiếc thuyền lạ, cô gái lạ, kẻ thù lạ. Trôi dạt giữa biển khơi, điều chờ đợi các điều tra viên là một cuộc đấu tranh với số phận…",,
StageGroup_15919_TypeText,aRbw,g关卡组_StageGroup_A.csv,31,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
