Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_15890_Name,aQZi,g关卡组_StageGroup_A.csv,14,StageGroup,Name,,倒错的群星,Twisted Stars,Искривленные звезды,Estrellas retorcidas,倒錯した星々,뒤틀린 별들,Étoiles tordues,Verzerrte Sterne,Estrelas distorcidas,ดาวบิดเบี้ยว,Bintang bengkok,Ngôi sao xoắn,,
StageGroup_15890_Desc,aQZh,g关卡组_StageGroup_A.csv,14,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher.","Звёзды падают в глубокое море, и на дне моря мигают желания, которые никто не может прочитать.","Las estrellas cayeron al mar profundo, brillando con deseos indescifrables",群星が深海に落ち、海底で誰も解読できない願いが閃いている。,"무수한 별들이 심해로 가라앉아, 아무도 해석할 수 없는 소망을 빛내고 있다.","Les étoiles tombent dans les profondeurs de la mer, scintillant avec des souhaits que personne ne peut déchiffrer",Die Sterne fielen ins tiefe Meer und funkelten am Meeresboden mit unergründlichen Wünschen,"As estrelas caem no mar profundo, brilhando com desejos indecifráveis",ดวงดาวตกลงสู่ทะเลลึก ส่องประกายอยู่ในเงามืดของก้นทะเลลึก พร่างพราวราวกับคำอธิษฐานที่ไม่มีผู้ใดเข้าใจ,"Bintang-bintang jatuh ke dalam Aequor, berkilauan di dasar laut dengan harapan yang tak seorang pun mampu memahami.","Những ngôi sao rơi vào biển sâu, dưới đáy biển lấp lánh những ước nguyện không ai hiểu được.",,
StageGroup_15890_TypeText,aQZk,g关卡组_StageGroup_A.csv,14,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_15946_Name,aRdy,g关卡组_StageGroup_A.csv,23,StageGroup,Name,,倒错的群星,Twisted Stars,Искривленные звезды,Estrellas retorcidas,倒錯した星々,뒤틀린 별들,Étoiles tordues,Verzerrte Sterne,Estrelas distorcidas,ดาวบิดเบี้ยว,Bintang bengkok,Ngôi sao xoắn,,
StageGroup_15946_Desc,aRdx,g关卡组_StageGroup_A.csv,23,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher.","Звёзды падают в глубокое море, и на дне моря мигают желания, которые никто не может прочитать.","Las estrellas cayeron al mar profundo, brillando con deseos indescifrables",群星が深海に落ち、海底で誰も解読できない願いが閃いている。,"무수한 별들이 심해로 가라앉아, 아무도 해석할 수 없는 소망을 빛내고 있다.","Les étoiles tombent dans les profondeurs de la mer, scintillant avec des souhaits que personne ne peut déchiffrer",Die Sterne fielen ins tiefe Meer und funkelten am Meeresboden mit unergründlichen Wünschen,"As estrelas caem no mar profundo, brilhando com desejos indecifráveis",ดวงดาวตกลงสู่ทะเลลึก ส่องประกายอยู่ในเงามืดของก้นทะเลลึก พร่างพราวราวกับคำอธิษฐานที่ไม่มีผู้ใดเข้าใจ,"Bintang-bintang jatuh ke dalam Aequor, berkilauan di dasar laut dengan harapan yang tak seorang pun mampu memahami.","Những ngôi sao rơi vào biển sâu, dưới đáy biển lấp lánh những ước nguyện không ai hiểu được.",,
StageGroup_15946_TypeText,aRdA,g关卡组_StageGroup_A.csv,23,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_15920_Name,aRby,g关卡组_StageGroup_A.csv,32,StageGroup,Name,,倒错的群星(未完成),Twisted Stars (Incomplete),Перевёрнутые звёзды (не зав.),Estrellas retorcidas (incompleto),逆さまの群星(未完了),뒤틀린 별들(미완성),Les étoiles tordues (inachevé),Verzerrte Sterne (unvollständig),Estrelas distorcidas (incompleto),ดวงดาวที่ผิดเพี้ยน(ยังไม่เสร็จ),Bintang bengkok (belum selesai),Sao sao đảo ngược (chưa hoàn thành),,
StageGroup_15920_Desc,aRbx,g关卡组_StageGroup_A.csv,32,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher.","Звёзды падают в глубокое море, и на дне моря мигают желания, которые никто не может прочитать.","Las estrellas cayeron al mar profundo, brillando con deseos indescifrables",群星が深海に落ち、海底で誰も解読できない願いが閃いている。,"무수한 별들이 심해로 가라앉아, 아무도 해석할 수 없는 소망을 빛내고 있다.","Les étoiles tombent dans les profondeurs de la mer, scintillant avec des souhaits que personne ne peut déchiffrer",Die Sterne fielen ins tiefe Meer und funkelten am Meeresboden mit unergründlichen Wünschen,"As estrelas caem no mar profundo, brilhando com desejos indecifráveis",ดวงดาวตกลงสู่ทะเลลึก ส่องประกายอยู่ในเงามืดของก้นทะเลลึก พร่างพราวราวกับคำอธิษฐานที่ไม่มีผู้ใดเข้าใจ,"Bintang-bintang jatuh ke dalam Aequor, berkilauan di dasar laut dengan harapan yang tak seorang pun mampu memahami.","Những ngôi sao rơi vào biển sâu, dưới đáy biển lấp lánh những ước nguyện không ai hiểu được.",,
StageGroup_15920_TypeText,aRbA,g关卡组_StageGroup_A.csv,32,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
