Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_48870_Name,aRmC,g???_StageGroup_A.csv,15,StageGroup,Name,,??,Desire's Flow,???????? ????,Río del Deseo,????,??? ?,Rivière du désir,Fluss der Begierde,Rio do Desejo,???????????????,Sungai Keinginan,Sông D?c,,
StageGroup_48870_Desc,aRmB,g???_StageGroup_A.csv,15,StageGroup,Desc,,?????????????????????????“??”????????????????????????……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away...","???????, ?????? ?????? ?????? ? ??????????? ????? ?????. ??? ???????????? ?????? ????-??????, ??????? ??????? ?????? ???????? ?????????? ?????, ??????????? ??? ????????? ???? ????? ?????????? ? ????????..","Remouahe, el país de la arena dorada en la región central de Kadath. Bajo el río madre, conocido por los locales como el ""río sagrado"", una civilización llamada Aram está creciendo y desapareciendo en secreto",?????????????????????????????????????????????????????????????……,"??? ?? ??? ??? ??? ??, ????. ""???? ?""? ??? ?? ??? ??? ???? ? ????...","Lemwashi, le pays des sables au centre de Kadath. Nourrie par la ""Rivière Sacrée"", la civilisation Aran se développe et disparaît en secret","Lemwashi, ein Land der Wüste im zentralen Kadath. Unter der Nahrung des Mutterflusses, der von den Einheimischen „Heiliger Fluss“ genannt wird, wächst und vergeht die Alam-Kultur im Verborgenen","Lemwash, o país das areias no centro de Kadath. Sob o cuidado do ""Rio Sagrado"", a civilização Aran cresce e desaparece em segredo",???????? ??????????????????????????? ?????????????????????? “??????????????????” ??????????????????????????????????????????????????…,"Lermwah, negara berpasir kuning di wilayah tengah Kadath. Dibesarkan oleh sungai induk yang disebut ""Sungai Suci"" oleh penduduk setempat, peradaban bernama Aran sedang tumbuh dan memudar dalam bayang-bayang…","Lemvasi, qu?c gia cát vàng ? trung tâm Cà ?a Sác. D??i s? nuôi d??ng c?a con sông m? ???c ng??i dân ??a ph??ng g?i là ""sông thiêng liêng"", n?n v?n minh tên là Aran ?ang trong bóng t?i phát tri?n r?i d?n bi?n m?t…",,
StageGroup_48870_TypeText,aRmE,g???_StageGroup_A.csv,15,StageGroup,TypeText,,??,Investigation,?????????????,Investigación,??,??,Investigation,Ermittlung,Investigação,?????????,Penyelidikan,?i?u tra,,
StageGroup_48869_Name,aRmy,g???_StageGroup_A.csv,24,StageGroup,Name,,??,Desire's Flow,???????? ????,Río del Deseo,????,??? ?,Rivière du désir,Fluss der Begierde,Rio do Desejo,???????????????,Sungai Keinginan,Sông D?c,,
StageGroup_48869_Desc,aRmx,g???_StageGroup_A.csv,24,StageGroup,Desc,,?????????????????????????“??”????????????????????????……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away...","???????, ?????? ?????? ?????? ? ??????????? ????? ?????. ??? ???????????? ?????? ????-??????, ??????? ??????? ?????? ???????? ?????????? ?????, ??????????? ??? ????????? ???? ????? ?????????? ? ????????..","Remouahe, el país de la arena dorada en la región central de Kadath. Bajo el río madre, conocido por los locales como el ""río sagrado"", una civilización llamada Aram está creciendo y desapareciendo en secreto",?????????????????????????????????????????????????????????????……,"??? ?? ??? ??? ??? ??, ????. ""???? ?""? ??? ?? ??? ??? ???? ? ????...","Lemwashi, le pays des sables au centre de Kadath. Nourrie par la ""Rivière Sacrée"", la civilisation Aran se développe et disparaît en secret","Lemwashi, ein Land der Wüste im zentralen Kadath. Unter der Nahrung des Mutterflusses, der von den Einheimischen „Heiliger Fluss“ genannt wird, wächst und vergeht die Alam-Kultur im Verborgenen","Lemwash, o país das areias no centro de Kadath. Sob o cuidado do ""Rio Sagrado"", a civilização Aran cresce e desaparece em segredo",???????? ??????????????????????????? ?????????????????????? “??????????????????” ??????????????????????????????????????????????????…,"Lermwah, negara berpasir kuning di wilayah tengah Kadath. Dibesarkan oleh sungai induk yang disebut ""Sungai Suci"" oleh penduduk setempat, peradaban bernama Aran sedang tumbuh dan memudar dalam bayang-bayang…","Lemvasi, qu?c gia cát vàng ? trung tâm Cà ?a Sác. D??i s? nuôi d??ng c?a con sông m? ???c ng??i dân ??a ph??ng g?i là ""sông thiêng liêng"", n?n v?n minh tên là Aran ?ang trong bóng t?i phát tri?n r?i d?n bi?n m?t…",,
StageGroup_48869_TypeText,aRmA,g???_StageGroup_A.csv,24,StageGroup,TypeText,,????,Investigation Hard,??????? ?????????????,#N/A,?????,?? ???,#N/A,#N/A,#N/A,????????????,Penyelidikan Keras,?i?u tra Khó kh?n,,
StageGroup_48868_Name,aRmu,g???_StageGroup_A.csv,33,StageGroup,Name,,??,Desire's Flow,???????? ????,Río del Deseo,????,??? ?,Rivière du désir,Fluss der Begierde,Rio do Desejo,???????????????,Sungai Keinginan,Sông D?c,,
StageGroup_48868_Desc,aRmt,g???_StageGroup_A.csv,33,StageGroup,Desc,,?????????????????????????“??”????????????????????????……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away...","???????, ?????? ?????? ?????? ? ??????????? ????? ?????. ??? ???????????? ?????? ????-??????, ??????? ??????? ?????? ???????? ?????????? ?????, ??????????? ??? ????????? ???? ????? ?????????? ? ????????..","Remouahe, el país de la arena dorada en la región central de Kadath. Bajo el río madre, conocido por los locales como el ""río sagrado"", una civilización llamada Aram está creciendo y desapareciendo en secreto",?????????????????????????????????????????????????????????????……,"??? ?? ??? ??? ??? ??, ????. ""???? ?""? ??? ?? ??? ??? ???? ? ????...","Lemwashi, le pays des sables au centre de Kadath. Nourrie par la ""Rivière Sacrée"", la civilisation Aran se développe et disparaît en secret","Lemwashi, ein Land der Wüste im zentralen Kadath. Unter der Nahrung des Mutterflusses, der von den Einheimischen „Heiliger Fluss“ genannt wird, wächst und vergeht die Alam-Kultur im Verborgenen","Lemwash, o país das areias no centro de Kadath. Sob o cuidado do ""Rio Sagrado"", a civilização Aran cresce e desaparece em segredo",???????? ??????????????????????????? ?????????????????????? “??????????????????” ??????????????????????????????????????????????????…,"Lermwah, negara berpasir kuning di wilayah tengah Kadath. Dibesarkan oleh sungai induk yang disebut ""Sungai Suci"" oleh penduduk setempat, peradaban bernama Aran sedang tumbuh dan memudar dalam bayang-bayang…","Lemvasi, qu?c gia cát vàng ? trung tâm Cà ?a Sác. D??i s? nuôi d??ng c?a con sông m? ???c ng??i dân ??a ph??ng g?i là ""sông thiêng liêng"", n?n v?n minh tên là Aran ?ang trong bóng t?i phát tri?n r?i d?n bi?n m?t…",,
StageGroup_48868_TypeText,aRmw,g???_StageGroup_A.csv,33,StageGroup,TypeText,,????,Investigation Madness,????????????? ???????,#N/A,????,?? ??,#N/A,#N/A,#N/A,?????????????????,Penyelidikan Kegilaan,?i?u tra ?iên lo?n,,
,,,,,,,,,,,,,,,,,,,,
