Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_58900_Name,aRBy,g关卡组_StageGroup_A.csv,16,StageGroup,Name,,终末交响曲,Last Symphony,Финальная симфония,Sinfonía final,終末交響曲,종말의 교향곡,Symphonie finale,Finale Symphonie,Sinfonia final,ซิมโฟนีสุดท้าย,Symphony terakhir,Bản giao hưởng cuối,,
StageGroup_58900_Desc,aRBx,g关卡组_StageGroup_A.csv,16,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?",Вход. Спокойно сидеть. Ожидание. Желание.\nДирижёрская палочка легко поднята. Готовы ли вы услышать самые сокровенные тайны вселенной?,Entrada. Sentarse. Esperar. Desear.\nLa batuta se levanta suavemente. ¿Listo para escuchar los secretos más profundos del universo?,入場。静かに座る。待つ。渇望する。\n指揮棒が軽く揚がる。準備ができましたか？この宇宙最深の秘密を聴きましょう。,"입장. 착석. 기다리고, 갈망하라.\n지휘봉이 가볍게 들어올려진다. 우주의 가장 깊은 비밀을 들을 준비가 되었는가?",Entrée. Assis. Attente. Désir.\nLa baguette se lève doucement. Prêt à écouter les secrets les plus profonds de l'univers ?,"Eintritt. Sitzen. Warten. Verlangen.\nDer Taktstock hebt sich sanft. Bereit, das tiefste Geheimnis des Universums zu hören?",Entrada. Sentar. Esperar. Desejar.\nA batuta se ergue suavemente. Pronto para ouvir os segredos mais profundos do universo?,เข้ามา นั่งเงียบๆ รอคอย ใฝ่หา\nไม้เท้าค่อยๆ ยกขึ้น เตรียมพร้อมที่จะรับฟังความลับอันลี้ลับที่สุดแห่งจักรวาลหรือยัง?,"Masuk. Duduk diam. Menunggu. Mendambakan.\nTongkat diangkat dengan lembut. Sudah siapkah kamu, mendengarkan rahasia paling dalam dari alam semesta ini?",Vào sân. Ngồi yên lặng. Chờ đợi. Khát khao. \nCây đũa chỉ huy nhẹ nhàng nâng lên. Bạn đã sẵn sàng để lắng nghe những bí ẩn sâu thẳm nhất của vũ trụ chưa?,,
StageGroup_58900_TypeText,aRBA,g关卡组_StageGroup_A.csv,16,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_58906_Name,aRBK,g关卡组_StageGroup_A.csv,25,StageGroup,Name,,终末交响曲,Last Symphony,Финальная симфония,Sinfonía final,終末交響曲,종말의 교향곡,Symphonie finale,Finale Symphonie,Sinfonia final,ซิมโฟนีสุดท้าย,Symphony terakhir,Bản giao hưởng cuối,,
StageGroup_58906_Desc,aRBJ,g关卡组_StageGroup_A.csv,25,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?",Вход. Спокойно сидеть. Ожидание. Желание.\nДирижёрская палочка легко поднята. Готовы ли вы услышать самые сокровенные тайны вселенной?,Entrada. Sentarse. Esperar. Desear.\nLa batuta se levanta suavemente. ¿Listo para escuchar los secretos más profundos del universo?,入場。静かに座る。待つ。渇望する。\n指揮棒が軽く揚がる。準備ができましたか？この宇宙最深の秘密を聴きましょう。,"입장. 착석. 기다리고, 갈망하라.\n지휘봉이 가볍게 들어올려진다. 우주의 가장 깊은 비밀을 들을 준비가 되었는가?",Entrée. Assis. Attente. Désir.\nLa baguette se lève doucement. Prêt à écouter les secrets les plus profonds de l'univers ?,"Eintritt. Sitzen. Warten. Verlangen.\nDer Taktstock hebt sich sanft. Bereit, das tiefste Geheimnis des Universums zu hören?",Entrada. Sentar. Esperar. Desejar.\nA batuta se ergue suavemente. Pronto para ouvir os segredos mais profundos do universo?,เข้ามา นั่งเงียบๆ รอคอย ใฝ่หา\nไม้เท้าค่อยๆ ยกขึ้น เตรียมพร้อมที่จะรับฟังความลับอันลี้ลับที่สุดแห่งจักรวาลหรือยัง?,"Masuk. Duduk diam. Menunggu. Mendambakan.\nTongkat diangkat dengan lembut. Sudah siapkah kamu, mendengarkan rahasia paling dalam dari alam semesta ini?",Vào sân. Ngồi yên lặng. Chờ đợi. Khát khao. \nCây đũa chỉ huy nhẹ nhàng nâng lên. Bạn đã sẵn sàng để lắng nghe những bí ẩn sâu thẳm nhất của vũ trụ chưa?,,
StageGroup_58906_TypeText,aRBM,g关卡组_StageGroup_A.csv,25,StageGroup,TypeText,,调查困难,Investigation Hard,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_58904_Name,aRBG,g关卡组_StageGroup_A.csv,34,StageGroup,Name,,终末交响曲,Last Symphony,Финальная симфония,Sinfonía final,終末交響曲,종말의 교향곡,Symphonie finale,Finale Symphonie,Sinfonia final,ซิมโฟนีสุดท้าย,Symphony terakhir,Bản giao hưởng cuối,,
StageGroup_58904_Desc,aRBF,g关卡组_StageGroup_A.csv,34,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?",Вход. Спокойно сидеть. Ожидание. Желание.\nДирижёрская палочка легко поднята. Готовы ли вы услышать самые сокровенные тайны вселенной?,Entrada. Sentarse. Esperar. Desear.\nLa batuta se levanta suavemente. ¿Listo para escuchar los secretos más profundos del universo?,入場。静かに座る。待つ。渇望する。\n指揮棒が軽く揚がる。準備ができましたか？この宇宙最深の秘密を聴きましょう。,"입장. 착석. 기다리고, 갈망하라.\n지휘봉이 가볍게 들어올려진다. 우주의 가장 깊은 비밀을 들을 준비가 되었는가?",Entrée. Assis. Attente. Désir.\nLa baguette se lève doucement. Prêt à écouter les secrets les plus profonds de l'univers ?,"Eintritt. Sitzen. Warten. Verlangen.\nDer Taktstock hebt sich sanft. Bereit, das tiefste Geheimnis des Universums zu hören?",Entrada. Sentar. Esperar. Desejar.\nA batuta se ergue suavemente. Pronto para ouvir os segredos mais profundos do universo?,เข้ามา นั่งเงียบๆ รอคอย ใฝ่หา\nไม้เท้าค่อยๆ ยกขึ้น เตรียมพร้อมที่จะรับฟังความลับอันลี้ลับที่สุดแห่งจักรวาลหรือยัง?,"Masuk. Duduk diam. Menunggu. Mendambakan.\nTongkat diangkat dengan lembut. Sudah siapkah kamu, mendengarkan rahasia paling dalam dari alam semesta ini?",Vào sân. Ngồi yên lặng. Chờ đợi. Khát khao. \nCây đũa chỉ huy nhẹ nhàng nâng lên. Bạn đã sẵn sàng để lắng nghe những bí ẩn sâu thẳm nhất của vũ trụ chưa?,,
StageGroup_58904_TypeText,aRBI,g关卡组_StageGroup_A.csv,34,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
