Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,,
StageGroup_67786_Name,aRCu,g关卡组_StageGroup_A.csv,17,StageGroup,Name,,长梦尽时,A Long Dream's End,Длинный сон истекает,Fin del largo sueño,長き夢の終わり,기나긴 꿈의 끝,Lorsque le long rêve prend fin,Langer Traum endet,Fim do longo sonho,เมื่อความฝันอันยาวนานถึงจุดสิ้นสุด,Saat Mimpi Panjang Berakhir,Khi giấc mộng dài kết thúc,,
StageGroup_67786_Desc,aRCt,g关卡组_StageGroup_A.csv,17,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed.","Он видел долгое сновидение.\nЕму снились боги и звёзды, снилось, как пыль превращается в цивилизацию, а цивилизация — в пыль.\nЕму снились ненависть и любовь, радость и страх.\nОн резко проснулся. Всё, что было в этом сновидении, никогда не существовало.","Tuvo un largo sueño.\nSoñó con dioses y estrellas, soñó con el polvo que da vida a las civilizaciones, civilizaciones que se convierten en polvo.\nSoñó con odio y amor, soñó con alegría y miedo.\nSe despertó de su sueño. Todo en el sueño nunca existió",神は長い夢を見た。\n神は神と星々、塵が文明に進化し、文明が塵となるのを夢見た。\n神は憎しみと愛、歓喜と恐怖を夢見た。\n神は眠りから驚いて目覚めた。夢の中のすべては、一度も存在したことがなかった。,"그분은 긴 꿈을 꾸었다. \n그분은 신과 별들의 꿈을 꾸었고, 먼지가 문명을 낳고 다시 먼지로 돌아가는 꿈을 꾸었다. \n그분은 증오와 사랑을, 환희와 공포를 꿈꾸었다. \n그분은 잠에서 놀라 깨어났다. 꿈 속의 모든 것은 결코 존재하지 않았다. ","Il a fait un long rêve.\nIl a rêvé de dieux et d'étoiles, de poussière transformant la civilisation, la civilisation redevenant poussière.\nIl a rêvé de haine et d'amour, de joie et de peur.\nIl s'est réveillé de son rêve. Tout dans le rêve n'a jamais existé","Er hatte einen langen Traum.\nEr träumte von Göttern und Sternen, vom Staub, der Zivilisationen hervorbrachte, und von Zivilisationen, die zu Staub wurden.\nEr träumte von Hass und Liebe, von Freude und Angst.\nEr wachte aus seinem Schlaf auf. Alles in seinem Traum hat nie existiert","Ele teve um longo sonho.\nEle sonhou com deuses e estrelas, sonhou com a poeira gerando civilizações, as civilizações se transformando em poeira.\nEle sonhou com ódio e amor, sonhou com alegria e medo. \nEle acordou de um sono profundo. Nada no sonho nunca existiu",พระองค์ทรงฝันไปอย่างยาวนาน.\nพระองค์ทรงฝันเห็นเทพเจ้าและดวงดาว ทรงฝันเห็นฝุ่นละอองพัฒนาเป็นอารยธรรม และอารยธรรมกลายเป็นฝุ่นละออง.\nพระองค์ทรงฝันเห็นความเกลียดชังและความรัก ทรงฝันเห็นความสุขและความหวาดกลัว.\nพระองค์ทรงตื่นขึ้นจากความฝัน ทุกสิ่งในความฝันไม่เคยมีอยู่จริง.,"Dia bermimpi panjang. \nDia memimpikan dewa dan bintang, memimpikan debu yang berubah menjadi peradaban, dan peradaban kembali menjadi debu. \nDia memimpikan kebencian dan cinta, memimpikan kebahagiaan dan ketakutan. \nDia terbangun dengan kaget dari tidurnya. Segala sesuatu dalam mimpi itu, tidak pernah ada. \n","Ngài đã có một giấc mơ dài. \nNgài mơ thấy thần và các vì sao, mơ thấy bụi hóa thành văn minh, văn minh hóa thành bụi. \nNgài mơ thấy hận và yêu, mơ thấy vui sướng và sợ hãi. \nNgài tỉnh dậy từ giấc mơ. Mọi thứ trong giấc mơ, chưa bao giờ tồn tại.",,
StageGroup_67786_TypeText,aRCw,g关卡组_StageGroup_A.csv,17,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,,
StageGroup_67785_Name,aRCq,g关卡组_StageGroup_A.csv,26,StageGroup,Name,,长梦尽时,A Long Dream's End,Длинный сон истекает,Fin del largo sueño,長き夢の終わり,기나긴 꿈의 끝,Lorsque le long rêve prend fin,Langer Traum endet,Fim do longo sonho,เมื่อความฝันอันยาวนานถึงจุดสิ้นสุด,Saat Mimpi Panjang Berakhir,Khi giấc mộng dài kết thúc,,
StageGroup_67785_Desc,aRCp,g关卡组_StageGroup_A.csv,26,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed.","Он видел долгое сновидение.\nЕму снились боги и звёзды, снилось, как пыль превращается в цивилизацию, а цивилизация — в пыль.\nЕму снились ненависть и любовь, радость и страх.\nОн резко проснулся. Всё, что было в этом сновидении, никогда не существовало.","Tuvo un largo sueño.\nSoñó con dioses y estrellas, soñó con el polvo que da vida a las civilizaciones, civilizaciones que se convierten en polvo.\nSoñó con odio y amor, soñó con alegría y miedo.\nSe despertó de su sueño. Todo en el sueño nunca existió",神は長い夢を見た。\n神は神と星々、塵が文明に進化し、文明が塵となるのを夢見た。\n神は憎しみと愛、歓喜と恐怖を夢見た。\n神は眠りから驚いて目覚めた。夢の中のすべては、一度も存在したことがなかった。,"그분은 긴 꿈을 꾸었다. \n그분은 신과 별들의 꿈을 꾸었고, 먼지가 문명을 낳고 다시 먼지로 돌아가는 꿈을 꾸었다. \n그분은 증오와 사랑을, 환희와 공포를 꿈꾸었다. \n그분은 잠에서 놀라 깨어났다. 꿈 속의 모든 것은 결코 존재하지 않았다. ","Il a fait un long rêve.\nIl a rêvé de dieux et d'étoiles, de poussière transformant la civilisation, la civilisation redevenant poussière.\nIl a rêvé de haine et d'amour, de joie et de peur.\nIl s'est réveillé de son rêve. Tout dans le rêve n'a jamais existé","Er hatte einen langen Traum.\nEr träumte von Göttern und Sternen, vom Staub, der Zivilisationen hervorbrachte, und von Zivilisationen, die zu Staub wurden.\nEr träumte von Hass und Liebe, von Freude und Angst.\nEr wachte aus seinem Schlaf auf. Alles in seinem Traum hat nie existiert","Ele teve um longo sonho.\nEle sonhou com deuses e estrelas, sonhou com a poeira gerando civilizações, as civilizações se transformando em poeira.\nEle sonhou com ódio e amor, sonhou com alegria e medo. \nEle acordou de um sono profundo. Nada no sonho nunca existiu",พระองค์ทรงฝันไปอย่างยาวนาน.\nพระองค์ทรงฝันเห็นเทพเจ้าและดวงดาว ทรงฝันเห็นฝุ่นละอองพัฒนาเป็นอารยธรรม และอารยธรรมกลายเป็นฝุ่นละออง.\nพระองค์ทรงฝันเห็นความเกลียดชังและความรัก ทรงฝันเห็นความสุขและความหวาดกลัว.\nพระองค์ทรงตื่นขึ้นจากความฝัน ทุกสิ่งในความฝันไม่เคยมีอยู่จริง.,"Dia bermimpi panjang. \nDia memimpikan dewa dan bintang, memimpikan debu yang berubah menjadi peradaban, dan peradaban kembali menjadi debu. \nDia memimpikan kebencian dan cinta, memimpikan kebahagiaan dan ketakutan. \nDia terbangun dengan kaget dari tidurnya. Segala sesuatu dalam mimpi itu, tidak pernah ada. \n","Ngài đã có một giấc mơ dài. \nNgài mơ thấy thần và các vì sao, mơ thấy bụi hóa thành văn minh, văn minh hóa thành bụi. \nNgài mơ thấy hận và yêu, mơ thấy vui sướng và sợ hãi. \nNgài tỉnh dậy từ giấc mơ. Mọi thứ trong giấc mơ, chưa bao giờ tồn tại.",,
StageGroup_67785_TypeText,aRCs,g关卡组_StageGroup_A.csv,26,StageGroup,TypeText,,调查困难,Investigation Difficulty,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,,
StageGroup_67787_Name,aRCy,g关卡组_StageGroup_A.csv,35,StageGroup,Name,,长梦尽时,A Long Dream's End,Длинный сон истекает,Fin del largo sueño,長き夢の終わり,기나긴 꿈의 끝,Lorsque le long rêve prend fin,Langer Traum endet,Fim do longo sonho,เมื่อความฝันอันยาวนานถึงจุดสิ้นสุด,Saat Mimpi Panjang Berakhir,Khi giấc mộng dài kết thúc,,
StageGroup_67787_Desc,aRCx,g关卡组_StageGroup_A.csv,35,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed.","Он видел долгое сновидение.\nЕму снились боги и звёзды, снилось, как пыль превращается в цивилизацию, а цивилизация — в пыль.\nЕму снились ненависть и любовь, радость и страх.\nОн резко проснулся. Всё, что было в этом сновидении, никогда не существовало.","Tuvo un largo sueño.\nSoñó con dioses y estrellas, soñó con el polvo que da vida a las civilizaciones, civilizaciones que se convierten en polvo.\nSoñó con odio y amor, soñó con alegría y miedo.\nSe despertó de su sueño. Todo en el sueño nunca existió",神は長い夢を見た。\n神は神と星々、塵が文明に進化し、文明が塵となるのを夢見た。\n神は憎しみと愛、歓喜と恐怖を夢見た。\n神は眠りから驚いて目覚めた。夢の中のすべては、一度も存在したことがなかった。,"그분은 긴 꿈을 꾸었다. \n그분은 신과 별들의 꿈을 꾸었고, 먼지가 문명을 낳고 다시 먼지로 돌아가는 꿈을 꾸었다. \n그분은 증오와 사랑을, 환희와 공포를 꿈꾸었다. \n그분은 잠에서 놀라 깨어났다. 꿈 속의 모든 것은 결코 존재하지 않았다. ","Il a fait un long rêve.\nIl a rêvé de dieux et d'étoiles, de poussière transformant la civilisation, la civilisation redevenant poussière.\nIl a rêvé de haine et d'amour, de joie et de peur.\nIl s'est réveillé de son rêve. Tout dans le rêve n'a jamais existé","Er hatte einen langen Traum.\nEr träumte von Göttern und Sternen, vom Staub, der Zivilisationen hervorbrachte, und von Zivilisationen, die zu Staub wurden.\nEr träumte von Hass und Liebe, von Freude und Angst.\nEr wachte aus seinem Schlaf auf. Alles in seinem Traum hat nie existiert","Ele teve um longo sonho.\nEle sonhou com deuses e estrelas, sonhou com a poeira gerando civilizações, as civilizações se transformando em poeira.\nEle sonhou com ódio e amor, sonhou com alegria e medo. \nEle acordou de um sono profundo. Nada no sonho nunca existiu",พระองค์ทรงฝันไปอย่างยาวนาน.\nพระองค์ทรงฝันเห็นเทพเจ้าและดวงดาว ทรงฝันเห็นฝุ่นละอองพัฒนาเป็นอารยธรรม และอารยธรรมกลายเป็นฝุ่นละออง.\nพระองค์ทรงฝันเห็นความเกลียดชังและความรัก ทรงฝันเห็นความสุขและความหวาดกลัว.\nพระองค์ทรงตื่นขึ้นจากความฝัน ทุกสิ่งในความฝันไม่เคยมีอยู่จริง.,"Dia bermimpi panjang. \nDia memimpikan dewa dan bintang, memimpikan debu yang berubah menjadi peradaban, dan peradaban kembali menjadi debu. \nDia memimpikan kebencian dan cinta, memimpikan kebahagiaan dan ketakutan. \nDia terbangun dengan kaget dari tidurnya. Segala sesuatu dalam mimpi itu, tidak pernah ada. \n","Ngài đã có một giấc mơ dài. \nNgài mơ thấy thần và các vì sao, mơ thấy bụi hóa thành văn minh, văn minh hóa thành bụi. \nNgài mơ thấy hận và yêu, mơ thấy vui sướng và sợ hãi. \nNgài tỉnh dậy từ giấc mơ. Mọi thứ trong giấc mơ, chưa bao giờ tồn tại.",,
StageGroup_67787_TypeText,aRCA,g关卡组_StageGroup_A.csv,35,StageGroup,TypeText,,调查癫狂,Investigation Madness,Расследование безумия,#N/A,調査癲狂,조사 광란,#N/A,#N/A,#N/A,การสืบสวนบ้าคลั่ง,Penyelidikan Kegilaan,Điều tra Điên loạn,,
,,,,,,,,,,,,,,,,,,,,
