Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,
StageGroup_70939_Name,aRGW,g关卡组_StageGroup_A.csv,36,StageGroup,Name,,重临雾都,Return to the Big Smoke,Возвращение в Туманный город,#N/A,霧都再臨,안개 도시로의 귀환,#N/A,#N/A,#N/A,กลับมาที่ลอนดอนเมืองแห่งสายหมอก,Kembali ke Kota Kabut,Trở lại thành phố sương mù,
StageGroup_70939_Desc,aRGV,g关卡组_StageGroup_A.csv,36,StageGroup,Desc,,被灰雾埋葬的旧日废都\n跨越无光的星辰，与无上意志的碎念在毁损维度重逢,"Buried in the gray mist lies the ruins of an ancient city.\nTraverse the void of lightless stars, reuniting with the fragmented thoughts of the Supreme Will in a damaged Dimension.","Погребённый под серой дымкой древний город-пепелище\nвстреча снова с бормотанием Воли Безграничного в повреждённых размерностях, пройдя через тёмные звёзды",#N/A,灰霧に埋もれた旧日の廃都\n光のない星を越え、破損した次元で無上の意志の断片と再会する,"회색 안개에 묻힌 옛 도시의 폐허.\n빛 없는 별들을 넘어, 파괴된 차원에서 절대적 의지의 파편과 재회한다.",#N/A,#N/A,#N/A,เมืองร้างในวันวานที่ถูกฝังอยู่ใต้หมอกสีเทา\nข้ามดวงดาวที่ไร้แสง และพบกับเศษเสี้ยวแห่งเจตจำนงสูงสุดในมิติที่ถูกทำลาย,"Kota tua yang terkubur dalam kabut abu-abu\nMenyeberangi bintang-bintang tanpa cahaya, bertemu kembali dengan serpihan pikiran Kehendak Tertinggi di Dimensi yang hancur","Thành phố phế tích bị chôn vùi trong sương xám\nvượt qua những vì tinh tú tối tăm, tái ngộ với những mảnh vỡ của ý chí vô thượng trong chiều hư hỏng",
StageGroup_70939_TypeText,aRGY,g关卡组_StageGroup_A.csv,36,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,
StageGroup_72075_Name,aRHe,g关卡组_StageGroup_A.csv,39,StageGroup,Name,,重临雾都,Return to the Big Smoke,Возвращение в Туманный город,#N/A,霧都再臨,안개 도시로의 귀환,#N/A,#N/A,#N/A,กลับมาที่ลอนดอนเมืองแห่งสายหมอก,Kembali ke Kota Kabut,Trở lại thành phố sương mù,
StageGroup_72075_Desc,aRHd,g关卡组_StageGroup_A.csv,39,StageGroup,Desc,,被灰雾埋葬的旧日废都\n跨越无光的星辰，与无上意志的碎念在毁损维度重逢,"Buried in the gray mist lies the ruins of an ancient city.\nTraverse the void of lightless stars, reuniting with the fragmented thoughts of the Supreme Will in a damaged Dimension.","Погребённый под серой дымкой древний город-пепелище\nвстреча снова с бормотанием Воли Безграничного в повреждённых размерностях, пройдя через тёмные звёзды",#N/A,灰霧に埋もれた旧日の廃都\n光のない星を越え、破損した次元で無上の意志の断片と再会する,"회색 안개에 묻힌 옛 도시의 폐허.\n빛 없는 별들을 넘어, 파괴된 차원에서 절대적 의지의 파편과 재회한다.",#N/A,#N/A,#N/A,เมืองร้างในวันวานที่ถูกฝังอยู่ใต้หมอกสีเทา\nข้ามดวงดาวที่ไร้แสง และพบกับเศษเสี้ยวแห่งเจตจำนงสูงสุดในมิติที่ถูกทำลาย,"Kota tua yang terkubur dalam kabut abu-abu\nMenyeberangi bintang-bintang tanpa cahaya, bertemu kembali dengan serpihan pikiran Kehendak Tertinggi di Dimensi yang hancur","Thành phố phế tích bị chôn vùi trong sương xám\nvượt qua những vì tinh tú tối tăm, tái ngộ với những mảnh vỡ của ý chí vô thượng trong chiều hư hỏng",
StageGroup_72075_TypeText,aRHg,g关卡组_StageGroup_A.csv,39,StageGroup,TypeText,,调查困难,Investigation Difficulty,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,
,,,,,,,,,,,,,,,,,,,
Stage_70937_Name,aUdL,g关卡_Stage_A.csv,301,Stage,Name,,缸中之梦,Dream in a Vat,Мечта в горшке,#N/A,缸の中の夢,통 속의 꿈,#N/A,#N/A,#N/A,ความฝันในโอ่ง,Mimpi dalam Tangki,Giấc mơ trong bình,
Stage_70937_Desc,aUdK,g关卡_Stage_A.csv,301,Stage,Desc,,缸中之脑会梦见机械义体吗？,Does the brain in a vat dream of a mechanical body?,Будет ли мозг в банке видеть сны о кибернетических протезах?,#N/A,缸の中の脳は機械義体を夢見ることができるのか？,뇌인두는 기계 의체를 꿈꾸는가?,#N/A,#N/A,#N/A,สมองในถังจะฝันเห็นร่างจักรกลไหม?,Apakah otak dalam toples akan memimpikan prostesis mekanik?,Não trong bình có mơ về cơ thể máy móc không?,
AvgDialog_72006_Content_1,apFV,avg星辰章1_AvgDialog_C_M.csv,8,AvgDialog,Content,,缸中之梦,Dream in a Jar,Мечта в горшке,#N/A,缸の中の夢,항중지몽,#N/A,#N/A,#N/A,ความฝันในโอ่ง,Mimpi dalam Tangki,Giấc mơ trong bình,
