Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,
StageGroup_70938_Name,bqZc,g关卡组_StageGroup_A.csv,37,StageGroup,Name,,蜕变,Metamorphosis,Метаморфоза,Transformación,変身,탈피,Métamorphose,Verwandlung,Metamorfose,การฟักตัว,Metamorfosis,Chuyển hóa,
StageGroup_70938_Desc,bqZb,g关卡组_StageGroup_A.csv,37,StageGroup,Desc,,群体潜意识构筑的疗养院\n在这里，躯壳的消解并非终点，心灵的死亡才是终结。\n踏入者啊，请保持理智，人性是你穿行心灵迷宫的唯一依仗。,"A sanatorium constructed by the collective subconscious.\nHere, the dissolution of the shell is not the end; the death of the mind is.\nThose who enter, please maintain your sanity. Your humanity shall be your only recourse as you traverse the maze of your mind.","Санаторий, составленный коллективным бессознательным\nЗдесь, упадок тела не является концом, только смерть разума значима.\nПутник, держи разум ясным, человечность - твоя единственная надежда, пробираясь сквозь лабиринт разума.",#N/A,群体の潜在意識が築いた療養所\nここでは、肉体の消失は終わりではなく、心の死が終結である。\n踏み入れる者よ、理性を保て、人性は心の迷宮を巡るための唯一の拠り所だ。,"집단 무의식에 의해 구축된 요양원.\n이곳에서 육체의 소멸은 결코 끝이 아니며, 정신의 죽음만이 진정한 끝이다.\n발을 들인 자여, 이성을 잃지 말라. 영혼의 미궁을 헤쳐나갈 때, 의지할 수 있는 것은 오직 인간성 뿐이다.",#N/A,#N/A,#N/A,สถานรักษาพยาบาลที่ถูกสร้างด้วยจิตใต้สำนึกของกลุ่ม\nที่นี่ การสูญสลายของร่างกายไม่ใช่จุดสิ้นสุด ความตายของจิตใจคือจุดสิ้นสุด。\nผู้ที่ก้าวเข้ามา ขอให้รักษาสติไว้ มนุษยชาติเป็นที่พึ่งเดียวของคุณในการเดินผ่านเขาวงกตจิตใจ。,"Sanatorium yang dibangun dari bawah sadar kolektif\nDi sini, pembubaran tubuh bukanlah akhir, melainkan kematian jiwa yang menjadi akhir.\nPergilah, wahai peziarah, jaga kewarasanmu, kemanusiaan adalah satu-satunya peganganmu saat menjelajahi labirin jiwa.","Viện điều dưỡng được xây dựng từ tiềm thức của tập thể\nTại đây, sự phân hủy của thân xác không phải là điểm kết thúc, mà cái chết của tâm hồn mới là kết thúc.\nHỡi những người bước vào, hãy giữ vững lý trí, nhân tính là điều duy nhất bạn dựa vào khi băng qua mê cung tâm hồn.",
StageGroup_70938_TypeText,bqZe,g关卡组_StageGroup_A.csv,37,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,
StageGroup_72074_Name,bqZg,g关卡组_StageGroup_A.csv,40,StageGroup,Name,,蜕变,Metamorphosis,Метаморфоза,Transformación,変身,탈피,Métamorphose,Verwandlung,Metamorfose,การฟักตัว,Metamorfosis,Chuyển hóa,
StageGroup_72074_Desc,bqZf,g关卡组_StageGroup_A.csv,40,StageGroup,Desc,,群体潜意识构筑的疗养院\n在这里，躯壳的消解并非终点，心灵的死亡才是终结。\n踏入者啊，请保持理智，人性是你穿行心灵迷宫的唯一依仗。,"A sanatorium constructed by the collective subconscious.\nHere, the dissolution of the shell is not the end; the death of the mind is.\nThose who enter, please maintain your sanity. Your humanity shall be your only recourse as you traverse the maze of your mind.","Санаторий, составленный коллективным бессознательным\nЗдесь, упадок тела не является концом, только смерть разума значима.\nПутник, держи разум ясным, человечность - твоя единственная надежда, пробираясь сквозь лабиринт разума.",#N/A,群体の潜在意識が築いた療養所\nここでは、肉体の消失は終わりではなく、心の死が終結である。\n踏み入れる者よ、理性を保て、人性は心の迷宮を巡るための唯一の拠り所だ。,"집단 무의식에 의해 구축된 요양원.\n이곳에서 육체의 소멸은 결코 끝이 아니며, 정신의 죽음만이 진정한 끝이다.\n발을 들인 자여, 이성을 잃지 말라. 영혼의 미궁을 헤쳐나갈 때, 의지할 수 있는 것은 오직 인간성 뿐이다.",#N/A,#N/A,#N/A,สถานรักษาพยาบาลที่ถูกสร้างด้วยจิตใต้สำนึกของกลุ่ม\nที่นี่ การสูญสลายของร่างกายไม่ใช่จุดสิ้นสุด ความตายของจิตใจคือจุดสิ้นสุด。\nผู้ที่ก้าวเข้ามา ขอให้รักษาสติไว้ มนุษยชาติเป็นที่พึ่งเดียวของคุณในการเดินผ่านเขาวงกตจิตใจ。,"Sanatorium yang dibangun dari bawah sadar kolektif\nDi sini, pembubaran tubuh bukanlah akhir, melainkan kematian jiwa yang menjadi akhir.\nPergilah, wahai peziarah, jaga kewarasanmu, kemanusiaan adalah satu-satunya peganganmu saat menjelajahi labirin jiwa.","Viện điều dưỡng được xây dựng từ tiềm thức của tập thể\nTại đây, sự phân hủy của thân xác không phải là điểm kết thúc, mà cái chết của tâm hồn mới là kết thúc.\nHỡi những người bước vào, hãy giữ vững lý trí, nhân tính là điều duy nhất bạn dựa vào khi băng qua mê cung tâm hồn.",
StageGroup_72074_TypeText,bqZi,g关卡组_StageGroup_A.csv,40,StageGroup,TypeText,,调查困难,Investigation Difficulty,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,
,,,,,,,,,,,,,,,,,,,
Stage_80251_Name,bsUl,g关卡_Stage_A.csv,315,Stage,Name,,眼睛,Eyes,Глаза,#N/A,目,눈,#N/A,#N/A,#N/A,ตา,Mata,Đôi mắt,
Stage_80251_Desc,bsUk,g关卡_Stage_A.csv,315,Stage,Desc,,让我来看看，看看是什么样的成分与结构，组成了“你”与“我”。,"Let me see, what kind of components and structures constitute ""you"" and ""me.""","Давайте посмотрим, какие ингредиенты и структура составляют “тебя” и “меня”.",#N/A,私に見せてください、「あなた」と「私」を構成する成分と構造はどのようなものか。,"나에게 보여줘, ‘너’와 ‘나’를 구성하는 어떤 성분과 구조인지.",#N/A,#N/A,#N/A,ให้ฉันดูสิ ว่าส่วนผสมและโครงสร้างอะไรที่ประกอบเป็น“เธอ”และ“ฉัน”。,"Biarkan saya melihat, melihat komponen dan struktur apa yang membentuk ""kamu"" dan ""saya"".","Để tôi xem, xem thành phần và cấu trúc nào đã tạo nên “bạn” và “tôi”.",
AvgDialog_73784_Content_2,apYI,avg星辰章2_AvgDialog_C_M.csv,9,AvgDialog,Content,,眼睛,Eyes,Глаза,#N/A,目,눈,#N/A,#N/A,#N/A,ตา,Mata,Đôi mắt,
