Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI,
StageGroup_70940_Name,bzae,g关卡组_StageGroup_A.csv,38,StageGroup,Name,,餍飨,Ossuary Gala,Утоление,#N/A,満腹,유골의 연회,#N/A,#N/A,#N/A,ความสามารถในการกินอย่างอิ่มหนำ,Kenikmata,Tham ăn,
StageGroup_70940_Desc,bzad,g关卡组_StageGroup_A.csv,38,StageGroup,Desc,,欢庆吧，我的朋友♪\n月光下的骸骨悄然绽放，一位挚爱被送上餐盘♪\n所有的宾客都已到来！唱呀，跳呀♪\n我们从不为亡灵祈祷，我们从不为尸首哀悼♪\n她将记忆交予了我，她将眼泪交予了我♪\n让我们咽下她的魂灵与腐肉♪\n在死亡的盛宴中，我们再度重圆♪,"Rejoice, my friend♪\nBeneath the moonlight, bones quietly bloom♪\nMy beloved lies still on a silver plate♪\nAll the guests have arrived! Sing! Dance!♪\nWe never pray for the dead, we never mourn the corpses♪\nShe gave me her memories, she gave me her tears♪\nLet us swallow her soul, her decaying flesh♪\nIn this feast of death, we are reunited once more♪","Празднуй, мой друг♪\nКости под лунным светом тихо распускаются, дорогой любимый подается на блюде♪\nВсе гости собрались! Пойте и танцуйте♪\nМы никогда не молимся за мертвых, мы никогда не оплакиваем тела♪\nОна передала мне воспоминания, она передала мне слёзы♪\nДавайте проглотим её душу и гниль♪\nНа пиршестве смерти мы вновь встретимся♪",#N/A,祝おう、私の友よ♪  \n月光の下で骸骨がひっそりと咲き、親愛なる者が皿に載せられた♪  \n全ての客が到着した！歌おう、踊ろう♪  \n私たちは決して亡者のために祈らない、私たちは決して死体を悼むことはない♪  \n彼女は私に記憶を託し、彼女は私に涙を託した♪  \n私たちは彼女の魂と腐肉を飲み込もう♪  \n死の饗宴で、私たちは再び一つになる♪,"축하하자, 친구여♪\n달빛 아래 뼈들이 일어나고, 소중한 이가 식탁에 오르네♪\n모든 손님이 도착했다! 노래하자, 춤추자♪\n우린 망자를 위해 기도하지 않고, 그 시신을 애도하지 않는다네♪\n손에는 그녀의 기억, 이에는 그녀의 눈물이 있네♪\n그녀의 영혼과 부패한 살을 삼켜라♪\n죽음의 연회에서, 우리는 다시 재회하리라♪",#N/A,#N/A,#N/A,มาร่วมเฉลิมฉลองเถอะ เพื่อนของฉัน♪\nกระดูกภายใต้แสงจันทร์เบ่งบานอย่างเงียบบนจานอาหาร♪\nแขกทุกคนได้มาถึงแล้ว! ร้องเพลง，เต้นเลย♪\nพวกเราไม่เคยอวยพรผู้ตาย พวกเราไม่เคยเศร้าโศกสำหรับศพ♪\nเธอให้ความทรงจำกับฉัน เธอมอบน้ำตามาให้ฉัน♪\nให้เรากินวิญญาณและเนื้อของเธอ♪\nในงานเลี้ยงแห่งความตาย เราจะกลับมารวมตัวกันอีกครั้ง♪,"Rayakan, temanku ♪\n Tulang belulang di bawah cahaya bulan mekar dengan diam, seorang yang tercinta disajikan di atas piring♪\n Semua tamu sudah datang! Nyanyilah, menari!♪ \n Kami tidak pernah memanjatkan doa untuk arwah, kami tidak pernah meratapi tubuh-badan yangtiada♪ \n Dia menyerahkan memoria-nya padaku, dia menyerahkan air matanya padaku♪ \n Mari kita telan jiwa dan dagingnya♪ \n Dalam pesta kematian, kita bertemu kembali♪ ","Hãy tổ chức một buổi lễ, bạn của tôi ♪\nXương cốt dưới ánh trăng khe khẽ nở rộ, một người yêu dấu được đưa lên đĩa tiệc ♪\nTất cả khách mời đã đến! Hát nào, nhảy nào ♪\nChúng tôi chưa bao giờ cầu nguyện cho linh hồn, chúng tôi chưa bao giờ thương tiếc cho xác chết ♪\nCô ấy đã giao ký ức cho tôi, cô ấy đã giao nước mắt cho tôi ♪\nHãy để chúng ta nuốt linh hồn và thịt thối của cô ấy ♪\nTrong bữa tiệc của cái chết, chúng ta lại tái hợp!",
StageGroup_70940_TypeText,bzaf,g关卡组_StageGroup_A.csv,38,StageGroup,TypeText,,调查,Investigation,Расследование,Investigación,調査,조사,Investigation,Ermittlung,Investigação,การสืบสวน,Penyelidikan,Điều tra,
StageGroup_72073_Name,bzah,g关卡组_StageGroup_A.csv,41,StageGroup,Name,,餍飨,Feasting,Утоление,#N/A,満腹,유골의 연회,#N/A,#N/A,#N/A,ความสามารถในการกินอย่างอิ่มหนำ,Kenikmata,Tham ăn,
StageGroup_72073_Desc,bzag,g关卡组_StageGroup_A.csv,41,StageGroup,Desc,,欢庆吧，我的朋友♪\n月光下的骸骨悄然绽放，一位挚爱被送上餐盘♪\n所有的宾客都已到来！唱呀，跳呀♪\n我们从不为亡灵祈祷，我们从不为尸首哀悼♪\n她将记忆交予了我，她将眼泪交予了我♪\n让我们咽下她的魂灵与腐肉♪\n在死亡的盛宴中，我们再度重圆♪,"Rejoice, my friend♪\nBeneath the moonlight, bones quietly bloom♪\nMy beloved lies still on a silver plate♪\nAll the guests have arrived! Sing! Dance!♪\nWe never pray for the dead, we never mourn the corpses♪\nShe gave me her memories, she gave me her tears♪\nLet us swallow her soul, her decaying flesh♪\nIn this feast of death, we are reunited once more♪","Празднуй, мой друг♪\nКости под лунным светом тихо распускаются, дорогой любимый подается на блюде♪\nВсе гости собрались! Пойте и танцуйте♪\nМы никогда не молимся за мертвых, мы никогда не оплакиваем тела♪\nОна передала мне воспоминания, она передала мне слёзы♪\nДавайте проглотим её душу и гниль♪\nНа пиршестве смерти мы вновь встретимся♪",#N/A,祝おう、私の友よ♪  \n月光の下で骸骨がひっそりと咲き、親愛なる者が皿に載せられた♪  \n全ての客が到着した！歌おう、踊ろう♪  \n私たちは決して亡者のために祈らない、私たちは決して死体を悼むことはない♪  \n彼女は私に記憶を託し、彼女は私に涙を託した♪  \n私たちは彼女の魂と腐肉を飲み込もう♪  \n死の饗宴で、私たちは再び一つになる♪,"축하하자, 친구여♪\n달빛 아래 뼈들이 일어나고, 소중한 이가 식탁에 오르네♪\n모든 손님이 도착했다! 노래하자, 춤추자♪\n우린 망자를 위해 기도하지 않고, 그 시신을 애도하지 않는다네♪\n손에는 그녀의 기억, 이에는 그녀의 눈물이 있네♪\n그녀의 영혼과 부패한 살을 삼켜라♪\n죽음의 연회에서, 우리는 다시 재회하리라♪",#N/A,#N/A,#N/A,มาร่วมเฉลิมฉลองเถอะ เพื่อนของฉัน♪\nกระดูกภายใต้แสงจันทร์เบ่งบานอย่างเงียบบนจานอาหาร♪\nแขกทุกคนได้มาถึงแล้ว! ร้องเพลง，เต้นเลย♪\nพวกเราไม่เคยอวยพรผู้ตาย พวกเราไม่เคยเศร้าโศกสำหรับศพ♪\nเธอให้ความทรงจำกับฉัน เธอมอบน้ำตามาให้ฉัน♪\nให้เรากินวิญญาณและเนื้อของเธอ♪\nในงานเลี้ยงแห่งความตาย เราจะกลับมารวมตัวกันอีกครั้ง♪,"Rayakan, temanku ♪\n Tulang belulang di bawah cahaya bulan mekar dengan diam, seorang yang tercinta disajikan di atas piring♪\n Semua tamu sudah datang! Nyanyilah, menari!♪ \n Kami tidak pernah memanjatkan doa untuk arwah, kami tidak pernah meratapi tubuh-badan yangtiada♪ \n Dia menyerahkan memoria-nya padaku, dia menyerahkan air matanya padaku♪ \n Mari kita telan jiwa dan dagingnya♪ \n Dalam pesta kematian, kita bertemu kembali♪ ","Hãy tổ chức một buổi lễ, bạn của tôi ♪\nXương cốt dưới ánh trăng khe khẽ nở rộ, một người yêu dấu được đưa lên đĩa tiệc ♪\nTất cả khách mời đã đến! Hát nào, nhảy nào ♪\nChúng tôi chưa bao giờ cầu nguyện cho linh hồn, chúng tôi chưa bao giờ thương tiếc cho xác chết ♪\nCô ấy đã giao ký ức cho tôi, cô ấy đã giao nước mắt cho tôi ♪\nHãy để chúng ta nuốt linh hồn và thịt thối của cô ấy ♪\nTrong bữa tiệc của cái chết, chúng ta lại tái hợp!",
StageGroup_72073_TypeText,bzai,g关卡组_StageGroup_A.csv,41,StageGroup,TypeText,,调查困难,Investigation Difficulty,Трудное расследование,#N/A,調査難易度,조사 어려움,#N/A,#N/A,#N/A,การสืบสวนยาก,Penyelidikan Keras,Điều tra Khó khăn,
,,,,,,,,,,,,,,,,,,,
Stage_90676_Name,bzaR,g关卡_Stage_A.csv,333,Stage,Name,,梦境之下,Beneath Dream's Veil,Под сном,#N/A,夢の下,꿈의 저편,#N/A,#N/A,#N/A,ใต้ความฝัน,Di bawah mimpi,Dưới giấc mơ,
Stage_90676_Desc,bzaQ,g关卡_Stage_A.csv,333,Stage,Desc,,当墓园的钟声奏响，弥漫的黑雾将于梦境中消散。\n推开沉重的棺木吧，那宏伟的王城，已降临你身前。,"When the bells of the cemetery chime, the spreading black mist will dissipate in the dream.\nPush open the heavy coffin; the magnificent royal city has descended before you.","Когда звон в кладбище прозвенит, окутанное черное облако рассеется в сновидениях.\nОткрой тяжелую крышку гроба, это величественное королевство уже пришло к тебе.",#N/A,墓地の鐘が鳴り響く時、広がる黒い霧は夢の中で消え去る。\n重い棺を押し開けよ、それは荘厳な王城があなたの目の前に降臨している。,"묘원의 종소리가 울리면, 퍼지는 검은 안개는 꿈속에서 사라질 것이다.\n무거운 관을 열어라, 그 웅장한 왕국이 너의 앞에 내리게 될 것이다.",#N/A,#N/A,#N/A,เมื่อเสียงระฆังของสุสานดังขึ้น หมอกดำที่อบอวลจะสลายไปในความฝัน。\nเปิดโลงศพที่หนักหน่วง สู่เมืองหลวงที่ยิ่งใหญ่ซึ่งได้ลงมาอยู่ตรงหน้าเธอ。,"Ketika lonceng kuburan berbunyi, kabut hitam yang menyelimuti akan menghilang di dalam mimpi.\nDorong peti mati yang berat itu, kota kerajaan yang megah telah datang membawa tuannya.","Khi tiếng chuông nghĩa trang vang lên, những làn sương đen sẽ tan biến trong giấc mơ. \nHãy mở nắp quan tài nặng nề, thành phố hoàng gia hùng vĩ đã đổ xuống trước mặt bạn.",
Stage_90662_Name,bzax,g关卡_Stage_A.csv,366,Stage,Name,,梦境之下,Under the dream,Под сном,#N/A,夢の下,꿈의 저편,#N/A,#N/A,#N/A,ใต้ความฝัน,Di bawah mimpi,Dưới giấc mơ,
