Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_20452_Name,aRfu,g关卡组_StageGroup_A.csv,141,StageGroup,Name,,骑士的愿望,The Knight's Wish,Мечта рыцаря,Deseo del caballero,騎士の願い,기사의 소원,Souhait du Chevalier,Ritterwunsch,Desejo do Cavaleiro,ความปรารถนาของอัศวิน,Harapan Ksatria,Mong ước của hiệp sĩ
StageGroup_20452_Desc,aRft,g关卡组_StageGroup_A.csv,141,StageGroup,Desc,,灵与心的共振让你得以进入他们的记忆，进入他们的梦。\n亲历爱与痛苦，目击壮烈与温情吧。如此，你才理解情感之磅礴。,"The resonance of spirit and heart allows you to enter their memories and dreams.\nExperience love and pain, witness glory and warmth. Only then will you understand the magnitude of emotions.","Резонанс духа и сердца позволяет тебе войти в их память, в их сны.\nПереживи любовь и боль, стань свидетелем величия и теплоты. Только так ты поймёшь мощь и глубину эмоций.","La resonancia entre el espíritu y el corazón te permite entrar en sus recuerdos, en sus sueños.\nExperimenta el amor y el dolor, presencia la grandeza y la ternura. Solo así entenderás la magnitud de las emociones",霊と心の共鳴により、あなたは彼らの記憶に入り、彼らの夢を見ることができます。\n愛と苦しみを実際に体験し、壮絶な瞬間と温かい情景を目撃してください。これによって、あなたは感情の壮大さを理解することができるでしょう。,"당신은 영혼과 마음의 공명을 통해 그들의 기억과 꿈 속에 들어갈 수 있게 되었다.\n사랑과 고통을 경험하고, 영광과 온정을 목도하라. 그래야만 비로소 감정의 웅대한 힘을 이해할 수 있을 것이다.","La résonance de l'âme et du cœur te permet d'entrer dans leurs souvenirs, dans leurs rêves.\nVis l'amour et la douleur, sois témoin de la grandeur et de la tendresse. Ainsi, tu comprendras l'ampleur des émotions","Die Resonanz von Geist und Herz ließ dich in ihre Erinnerungen und Träume eintauchen.\nErlebe Liebe und Schmerz, Zeuge von Heldentum und Zärtlichkeit. So verstehst du die Macht der Gefühle","A ressonância entre alma e coração permite que você entre em suas memórias e sonhos.\nExperimente o amor e a dor, testemunhe o heroísmo e a ternura. Só assim você entenderá a magnitude das emoções",การสะท้อนของจิตวิญญาณและหัวใจทำให้คุณเข้าถึงความทรงจำของพวกเขา และก้าวเข้าสู่ความฝันของพวกเขา\nสัมผัสกับความรักและความเจ็บปวด พบเห็นความกล้าหาญและความอบอุ่นเถอะ เพื่อที่คุณจะเข้าใจพลังแห่งอารมณ์อย่างแท้จริง,"Resonansi jiwa dan hati memungkinkanmu masuk ke dalam memorinya, masuk ke dalam mimpinya. \n Rasakan cinta dan penderitaan, saksikan keberanian dan kelembutan. Dengan begitu, barulah kau memahami betapa besar kekuatan emosi.","Sự cộng hưởng giữa linh hồn và trái tim cho phép bạn bước vào ký ức của họ, bước vào giấc mơ của họ. \n Sống qua tình yêu và nỗi đau, cảm nhận sự bi tráng và ấm áp. Chỉ như vậy, bạn mới hiểu được sức mạnh của cảm xúc."
StageGroup_20452_TypeText,aRfw,g关卡组_StageGroup_A.csv,141,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20454_Name,aRfC,g关卡组_StageGroup_A.csv,142,StageGroup,Name,,骑士的愿望,The Knight's Wish,Мечта рыцаря,Deseo del caballero,騎士の願い,기사의 소원,Souhait du Chevalier,Ritterwunsch,Desejo do Cavaleiro,ความปรารถนาของอัศวิน,Harapan Ksatria,Mong ước của hiệp sĩ
StageGroup_20454_Desc,aRfB,g关卡组_StageGroup_A.csv,142,StageGroup,Desc,,灵与心的共振让你得以进入他们的记忆，进入他们的梦。\n亲历爱与痛苦，目击壮烈与温情吧。如此，你才理解情感之磅礴。,"The resonance of spirit and heart allows you to enter their memories and dreams.\nExperience love and pain, witness glory and warmth. Only then will you understand the magnitude of emotions.","Резонанс духа и сердца позволяет тебе войти в их память, в их сны.\nПереживи любовь и боль, стань свидетелем величия и теплоты. Только так ты поймёшь мощь и глубину эмоций.","La resonancia entre el espíritu y el corazón te permite entrar en sus recuerdos, en sus sueños.\nExperimenta el amor y el dolor, presencia la grandeza y la ternura. Solo así entenderás la magnitud de las emociones",霊と心の共鳴により、あなたは彼らの記憶に入り、彼らの夢を見ることができます。\n愛と苦しみを実際に体験し、壮絶な瞬間と温かい情景を目撃してください。これによって、あなたは感情の壮大さを理解することができるでしょう。,"당신은 영혼과 마음의 공명을 통해 그들의 기억과 꿈 속에 들어갈 수 있게 되었다.\n사랑과 고통을 경험하고, 영광과 온정을 목도하라. 그래야만 비로소 감정의 웅대한 힘을 이해할 수 있을 것이다.","La résonance de l'âme et du cœur te permet d'entrer dans leurs souvenirs, dans leurs rêves.\nVis l'amour et la douleur, sois témoin de la grandeur et de la tendresse. Ainsi, tu comprendras l'ampleur des émotions","Die Resonanz von Geist und Herz ließ dich in ihre Erinnerungen und Träume eintauchen.\nErlebe Liebe und Schmerz, Zeuge von Heldentum und Zärtlichkeit. So verstehst du die Macht der Gefühle","A ressonância entre alma e coração permite que você entre em suas memórias e sonhos.\nExperimente o amor e a dor, testemunhe o heroísmo e a ternura. Só assim você entenderá a magnitude das emoções",การสะท้อนของจิตวิญญาณและหัวใจทำให้คุณเข้าถึงความทรงจำของพวกเขา และก้าวเข้าสู่ความฝันของพวกเขา\nสัมผัสกับความรักและความเจ็บปวด พบเห็นความกล้าหาญและความอบอุ่นเถอะ เพื่อที่คุณจะเข้าใจพลังแห่งอารมณ์อย่างแท้จริง,"Resonansi jiwa dan hati memungkinkanmu masuk ke dalam memorinya, masuk ke dalam mimpinya. \n Rasakan cinta dan penderitaan, saksikan keberanian dan kelembutan. Dengan begitu, barulah kau memahami betapa besar kekuatan emosi.","Sự cộng hưởng giữa linh hồn và trái tim cho phép bạn bước vào ký ức của họ, bước vào giấc mơ của họ. \n Sống qua tình yêu và nỗi đau, cảm nhận sự bi tráng và ấm áp. Chỉ như vậy, bạn mới hiểu được sức mạnh của cảm xúc."
StageGroup_20454_TypeText,aRfE,g关卡组_StageGroup_A.csv,142,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20449_Name,aRfi,g关卡组_StageGroup_A.csv,143,StageGroup,Name,,骑士的愿望,The Knight's Wish,Мечта рыцаря,Deseo del caballero,騎士の願い,기사의 소원,Souhait du Chevalier,Ritterwunsch,Desejo do Cavaleiro,ความปรารถนาของอัศวิน,Harapan Ksatria,Mong ước của hiệp sĩ
StageGroup_20449_Desc,aRfh,g关卡组_StageGroup_A.csv,143,StageGroup,Desc,,灵与心的共振让你得以进入他们的记忆，进入他们的梦。\n亲历爱与痛苦，目击壮烈与温情吧。如此，你才理解情感之磅礴。,"The resonance of spirit and heart allows you to enter their memories and dreams.\nExperience love and pain, witness glory and warmth. Only then will you understand the magnitude of emotions.","Резонанс духа и сердца позволяет тебе войти в их память, в их сны.\nПереживи любовь и боль, стань свидетелем величия и теплоты. Только так ты поймёшь мощь и глубину эмоций.","La resonancia entre el espíritu y el corazón te permite entrar en sus recuerdos, en sus sueños.\nExperimenta el amor y el dolor, presencia la grandeza y la ternura. Solo así entenderás la magnitud de las emociones",霊と心の共鳴により、あなたは彼らの記憶に入り、彼らの夢を見ることができます。\n愛と苦しみを実際に体験し、壮絶な瞬間と温かい情景を目撃してください。これによって、あなたは感情の壮大さを理解することができるでしょう。,"당신은 영혼과 마음의 공명을 통해 그들의 기억과 꿈 속에 들어갈 수 있게 되었다.\n사랑과 고통을 경험하고, 영광과 온정을 목도하라. 그래야만 비로소 감정의 웅대한 힘을 이해할 수 있을 것이다.","La résonance de l'âme et du cœur te permet d'entrer dans leurs souvenirs, dans leurs rêves.\nVis l'amour et la douleur, sois témoin de la grandeur et de la tendresse. Ainsi, tu comprendras l'ampleur des émotions","Die Resonanz von Geist und Herz ließ dich in ihre Erinnerungen und Träume eintauchen.\nErlebe Liebe und Schmerz, Zeuge von Heldentum und Zärtlichkeit. So verstehst du die Macht der Gefühle","A ressonância entre alma e coração permite que você entre em suas memórias e sonhos.\nExperimente o amor e a dor, testemunhe o heroísmo e a ternura. Só assim você entenderá a magnitude das emoções",การสะท้อนของจิตวิญญาณและหัวใจทำให้คุณเข้าถึงความทรงจำของพวกเขา และก้าวเข้าสู่ความฝันของพวกเขา\nสัมผัสกับความรักและความเจ็บปวด พบเห็นความกล้าหาญและความอบอุ่นเถอะ เพื่อที่คุณจะเข้าใจพลังแห่งอารมณ์อย่างแท้จริง,"Resonansi jiwa dan hati memungkinkanmu masuk ke dalam memorinya, masuk ke dalam mimpinya. \n Rasakan cinta dan penderitaan, saksikan keberanian dan kelembutan. Dengan begitu, barulah kau memahami betapa besar kekuatan emosi.","Sự cộng hưởng giữa linh hồn và trái tim cho phép bạn bước vào ký ức của họ, bước vào giấc mơ của họ. \n Sống qua tình yêu và nỗi đau, cảm nhận sự bi tráng và ấm áp. Chỉ như vậy, bạn mới hiểu được sức mạnh của cảm xúc."
StageGroup_20449_TypeText,aRfk,g关卡组_StageGroup_A.csv,143,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
