Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_71850_Name,aRHa,g关卡组_StageGroup_A.csv,168,StageGroup,Name,,加冕之日,Coronation Day,День коронации,#N/A,加冕の日,대관의 날,#N/A,#N/A,#N/A,วันราชาภิเษก,Hari Penobatan,Ngày đăng quang
StageGroup_71850_Desc,aRGZ,g关卡组_StageGroup_A.csv,168,StageGroup,Desc,,荣耀、敬仰、无限的权力，王的位置至高无上。\n登上王座所需要的只是被神选中。\n那么，这一切会付出怎样的代价呢？,"Glory, reverence, infinite power—the throne's position is supreme.\nTo ascend the throne, one needs only to be chosen by the divine.\nSo, what price will all of this exact?","Слава, почитание, неограниченная власть, положение короля выше всего.\nЧтобы занять трон, нужно быть избранным богами.\nТак какой ценой всё это достанется?",#N/A,栄光、尊敬、無限の権力、王の地位は至高無上である。\n玉座に登るのに必要なのは神に選ばれることだけだ。\nでは、その全てにはどのような代価が伴うのか？,"영광, 경외, 무한한 권력- 왕의 지위는 지극히 높다.\n왕좌에 오르기 위해 필요한 것은 오직 신의 선택뿐이다.\n그렇다면, 이 모든 것에는 어떤 대가가 따를까?",#N/A,#N/A,#N/A,เกียรติยศ ความเคารพ และอำนาจที่ไร้ขีดจำกัด ตำแหน่งของกษัตริย์เป็นสิ่งสูงสุดเหนือทุกสิ่ง \n สิ่งที่จำเป็นในการขึ้นสู่บัลลังก์คือการได้รับเลือกจากเทพเจ้า \n แล้วราคาที่ต้องจ่ายสำหรับทั้งหมดนี้จะเป็นเช่นใด?,"Kemuliaan, penghormatan, kekuasaan tanpa batas, posisi Raja adalah yang tertinggi. \nYang diperlukan untuk naik ke Takhta hanyalah dipilih oleh para dewa. \nLalu, apa harga yang harus dibayar untuk semua ini?","Sự vinh quang, sự kính trọng, quyền lực vô hạn, ngai vàng tối cao vô thượng. \n Điều cần thiết để lên ngai vàng chỉ là được thần chọn. \n Vậy, tất cả những điều này sẽ phải trả giá như thế nào?"
StageGroup_71850_TypeText,aRHc,g关卡组_StageGroup_A.csv,168,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_71855_Name,aUeZ,g关卡_Stage_A.csv,1862,Stage,Name,,童年,Childhood,Детство,#N/A,こども時代,어린 시절,#N/A,#N/A,#N/A,วัยเด็ก,Masa kanak-kanak,Tuổi thơ
Stage_71855_Desc,aUeY,g关卡_Stage_A.csv,1862,Stage,Desc,,那顶王冠的重量，早早地便压在了那群孩子们的身上。,The weight of that crown had long weighed down on those children.,С самого начала тяжелая корона неотвратимо давила на плечи этих детей.,#N/A,その王冠の重さは、早くから子供たちの肩にのしかかっていた。,그 왕관의 무게는 이미 오래 전에 그 아이들의 어깨에 짓눌렸다.,#N/A,#N/A,#N/A,น้ำหนักของมงกุฎใบนั้น ได้กดทับลงบนไหล่ของเด็กๆ อย่างหนักตั้งแต่เนิ่นๆ,Berat mahkota itu telah menekan pundak anak-anak itu sejak awal.,"Trọng lượng của chiếc vương miện kia, từ lâu đã đè nặng lên vai những đứa trẻ."
AvgDialog_71794_Content_1,aprr,avgV2.0图鲁小型支线_AvgDialog_C_M.csv,8,AvgDialog,Content,,童年,Childhood,Детство,#N/A,こども時代,어린 시절,#N/A,#N/A,#N/A,วัยเด็ก,Masa kanak-kanak,Tuổi thơ
AvgDialog_71794_Content_2,apsf,avgV2.0图鲁小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,梦境是有边缘的。,Dreams have boundaries.,Сновидение имеет границы.,#N/A,夢には境界がある。,꿈은 가장자리가 있다.,#N/A,#N/A,#N/A,ความฝันมีขอบเขต。,Mimpi memiliki batas.,Giấc mơ có rìa.
AvgDialog_71794_Content_3,apsq,avgV2.0图鲁小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,对凡俗之人来说，梦是颠倒神秘、不可捉摸的泡沫幻影。,"For ordinary people, dreams are inverted mysteries and elusive bubble phantoms.","Для обычных людей сон — это загадка, ведущая к обратному смыслу, иллюзорные видения неуловимых фантомов.",#N/A,凡俗の人にとっては、夢は反転した神秘的な、つかみどころのない泡のような幻影である。,"일반인들에게 꿈은 비밀스러운, 잡을 수 없는 거품 같은 환영입니다.",#N/A,#N/A,#N/A,สำหรับคนธรรมดาแล้ว ความฝันคือสิ่งที่ลึกลับและยากจะหยั่งถึง เปรียบเสมือนภาพลวงตา,"Bagi orang biasa, mimpi adalah fatamorgana yang misterius, terbalik, dan sulit dipahami.","Đối với người phàm, giấc mơ là những bong bóng huyền ảo, đảo lộn và không thể nắm bắt."
AvgDialog_71794_Content_4,apsB,avgV2.0图鲁小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,对于有知者而言，那泡沫的尽头是一层五光十色的薄膜。,"For the knowledgeable, the edge of that bubble is a film shimmering with multicolored light.","Для знающего, конец этих пузырей — это слой радужной плёнки.",#N/A,知識ある者にとって、その泡の果ては虹色の薄膜である。,"알고 있는 이들에게 있어, 그 거품의 끝은 다채로운 막이 있다.",#N/A,#N/A,#N/A,สำหรับผู้มีความรู้ จุดจบของฟองสบู่นั้นคือแผ่นฟิล์มบางๆ ที่มีสีสันสดใสและเปล่งประกาย,"Bagi mereka yang berpengetahuan, di ujung gelembung itu terdapat lapisan tipis dengan warna-warni yang memukau.","Đối với những người có tri thức, tận cùng của bọt nước là một lớp màng lấp lánh nhiều màu sắc."
