Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_81262_Name,bsTe,g关卡组_StageGroup_A.csv,173,StageGroup,Name,,最后的引航,Final Steersmanship,Последний штурман,#N/A,最後の誘導,마지막 항해,#N/A,#N/A,#N/A,การนำทางครั้งสุดท้าย,Pengarahan terakhir,Cuối cùng dẫn đường
StageGroup_81262_Desc,bsTd,g关卡组_StageGroup_A.csv,173,StageGroup,Desc,,这本该是一场充满欢声笑语的航行。\n豪华的游轮，梭巡大西洋，载着胜利品，载着人们征服海洋的野望。\n但海洋有自己的脾气。\n在远超理解的恐怖与未知面前，人类，终究渺小如蝼蚁。,"This voyage was meant to be joyful—a lavish cruise across the Atlantic, laden with trophies and dreams of conquering the sea.\nBut the ocean has its own will.","Это должно было быть путешествие, полное смеха и радости.\nРоскошный круизный лайнер, скользящий по Атлантике, несущий трофеи и мечты людей завоевать море.\nНо океан имеет свой нрав.\nПеред ужасом и неизвестностью, превышающими понимание, человечество, в конце концов, жалко как муравей.",#N/A,これは歓声と笑い声に満ちた航海のはずだった。\n豪華な客船で、大西洋を巡り、勝利の品を運び、人々が海を征服する野望を乗せていた。\nしかし、海には自身の気性がある。\n理解を超えた恐怖と未知の前で、人間は結局蟻のように小さい。,"원래 웃음소리가 가득한 항해여야 했다.\n대서양을 가로지르는 호화로운 유람선은 전리품과 사람들의 야망을 실었다.\n하지만 바다는 자신만의 성격이 있었다.\n이해를 초월하는 두려움과 미지 앞에서, 인간은 결국 한낱 개미처럼 미미하다.",#N/A,#N/A,#N/A,นี่ควรจะเป็นการเดินทางที่เต็มไปด้วยเสียงหัวเราะและรอยยิ้ม\nเรือหรูหราล่องลอยในมหาสมุทรแอตแลนติก นำโดยสินค้าชนะเลิศ และโดยความทะเยอทะยานของมนุษย์ที่จะพิชิตมหาสมุทร\nแต่มหาสมุทรมันมีอารมณ์ของมันเอง\nต่อหน้าความน่ากลัวและความไม่รู้ที่เกินไป มนุษย์ ในท้ายที่สุดมันเล็กน้อยเหมือนมด,"Seharusnya ini adalah perjalanan yang penuh tawa dan canda.\nKapal pesiar mewah, berlayar di Atlantik, membawa hasil menangkap, membawa ambisi manusia menaklukkan lautan.\nTetapi lautan memiliki temperamennya sendiri.\nDi hadapan kengerian dan ketidakpahaman yang jauh melampaui, manusia, akhirnya kecil seperti belatung.","Đáng lẽ đây phải là một cuộc hành trình tràn đầy tiếng cười và tiếng hát.\nChiếc du thuyền sang trọng, tuần tra Đại Tây Dương, chở theo chiến lợi phẩm, mang theo khát vọng chinh phục đại dương của con người.\nNhưng đại dương có tâm trạng riêng của nó.\nTrước nỗi sợ hãi và điều chưa biết vượt quá sự hiểu biết, con người, cuối cùng vẫn nhỏ bé như côn trùng."
StageGroup_81262_TypeText,bsTg,g关卡组_StageGroup_A.csv,173,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_81205_Name,bsWT,g关卡_Stage_A.csv,1872,Stage,Name,,黑暗降临前,Before the Darkness Falls,Перед наступлением темноты,#N/A,暗闇が降りる前,어둠이 강림하기 전,#N/A,#N/A,#N/A,ก่อนการมาถึงของความมืด,Sebelum kegelapan tiba,Trước khi bóng tối bao trùm
Stage_81205_Desc,bsWS,g关卡_Stage_A.csv,1872,Stage,Desc,,黑暗降临前，并非光明，而是不那么黑暗的黑暗。\n因为总有人，会举起火把。,"Before the Darkness Falls, it is not light, but a darkness that is not so dark. \nBecause there are always those who will raise a torch.","Перед приходом темноты не было света, а лишь менее темной тьмы.\nПоскольку всегда найдется кто-то, кто поднимет факел.",#N/A,暗闇が降りる前、光ではなく、あまりにも暗くない暗闇である。\nなぜなら、いつだって誰かが松明を掲げるからだ。,"어둠이 강림하기 전, 광명이 아닌, 덜 어두운 어둠이다。\n왜냐하면 항상 누군가가, 횃불을 들어 올릴 것이다。",#N/A,#N/A,#N/A,ก่อนการมาถึงของความมืด ไม่ใช่แสงสว่าง แต่เป็นความมืดที่ไม่มืดมากนัก。\nเพราะจะมีเสมอผู้ที่เอามือถือคบไฟ,"Sebelum kegelapan tiba, bukan cahaya, melainkan kegelapan yang tidak segelap itu.\nKarena selalu ada yang akan mengangkat obor.","Trước khi bóng tối bao trùm, không phải là ánh sáng, mà là một bóng tối không quá tối.\nBởi vì luôn có người sẽ giơ cao ngọn đuốc."
AvgDialog_78943_Content_1,bqDh,avgV2.2克珀珊特小型支线_AvgDialog_C_M.csv,8,AvgDialog,Content,,黑暗降临前,Before the Darkness Falls,Перед наступлением темноты,#N/A,暗闇が降りる前,어둠이 강림하기 전,#N/A,#N/A,#N/A,ก่อนการมาถึงของความมืด,Sebelum kegelapan tiba,Trước khi bóng tối bao trùm
AvgDialog_78943_Content_2,bqDs,avgV2.2克珀珊特小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,19@2，7月13日，诺第留斯号\n4个月的航行里，未知的传染病症快速蔓延，食物、水、药物还有其他补给即将告罄。\n这艘我深爱的船，似乎已经变成了人间地狱，折磨着所有人。\n但可惜，悲剧永无终点。\n不久后，我们将面临真正的恐怖。,"July 13, 19@2, the Nautilus  \nIn the four months of voyage, an unknown infectious disease rapidly spread, food, water, medicine, and other supplies are on the verge of exhaustion.  \nThis ship that I love dearly seems to have turned into a hell on earth, tormenting everyone.  \nHowever, unfortunately, the tragedy has no end.  \nSoon, we will face the real horror.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_78943_Content_3,bqDD,avgV2.2克珀珊特小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,水手约翰,船长，请你放了克……,"Captain, please let Kl—","Капитан, пожалуйста, отпустите К…",#N/A,船長、ク……を解放してください。,"선장님, 제발 클리…",#N/A,#N/A,#N/A,กัปตัน กรุณาปล่อยคลอ——,"Kapten, tolong lepaskan Kl……","Thuyền trưởng, xin hãy tha cho K…"
AvgDialog_78943_Content_4,bqDO,avgV2.2克珀珊特小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,深梦中，一道声音响起，让你反射性睁开眼睛。,"In the deep dream, a voice sounds, causing you to reflexively open your eyes.","В глубоком сне раздается голос, что заставляет вас reflexively открыть глаза. ",#N/A,深い夢の中、一つの声が響き、無意識に目を開けさせる。,"깊은 꿈속에서, 하나의 목소리가 울려 퍼져 당신은 반사적으로 눈을 뜬다.",#N/A,#N/A,#N/A,ในความฝันลึก เสียงหนึ่งดังขึ้น ทำให้คุณเปิดตาขึ้นโดยอัตโนมัติ。,"Dalam mimpi dalam, terdengar sebuah suara, membuatmu refleks membuka mata.","Trong giấc mơ sâu, một âm thanh vang lên khiến bạn phản xạ mở mắt. "
