Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_74237_Name,aRHm,g关卡组_StageGroup_A.csv,170,StageGroup,Name,,热情归尘,Dust of Passion,Страсть вернётся в пыль,#N/A,情熱の塵,열정은 먼지로,#N/A,#N/A,#N/A,ความหลงใหลจมสู่ผุยผง,Semangat yang Kembali ke Debu,Đam mê hóa thành cát bụi
StageGroup_74237_Desc,aRHl,g关卡组_StageGroup_A.csv,170,StageGroup,Desc,,火光焚天的那一夜，不止有她的艺术获得了新生。,"On the night of the blazing sky, not only did her art gain new life.","В ту ночь, когда пламя охватило небо, не только её искусство получило новорождённый.",#N/A,火光が空を焦がしたその夜、彼女の芸術だけでなく新生を得た。,"하늘이 불타던 그날 밤, 새로 거듭난 것은 그녀의 예술만이 아니었다.",#N/A,#N/A,#N/A,คืนที่เปลวไฟลุกโหมจนท้องฟ้าถูกปกคลุม ไม่ได้มีเพียงแค่ศิลปะของเธอที่ได้รับการฟื้นคืนชีพ,"Pada malam api membakar langit, bukan hanya seninya yang memperoleh kehidupan baru.","Đêm lửa cháy ngập trời, không chỉ có nghệ thuật của cô ấy được hồi sinh."
StageGroup_74237_TypeText,aRHo,g关卡组_StageGroup_A.csv,170,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_74236_Name,aRHi,g关卡组_StageGroup_A.csv,171,StageGroup,Name,,热情归尘,Dust of Passion,Страсть вернётся в пыль,#N/A,情熱の塵,열정은 먼지로,#N/A,#N/A,#N/A,ความหลงใหลจมสู่ผุยผง,Semangat yang Kembali ke Debu,Đam mê hóa thành cát bụi
StageGroup_74236_Desc,aRHh,g关卡组_StageGroup_A.csv,171,StageGroup,Desc,,火光焚天的那一夜，不止有她的艺术获得了新生。,"On the night of the blazing sky, not only did her art gain new life.","В ту ночь, когда пламя охватило небо, не только её искусство получило новорождённый.",#N/A,火光が空を焦がしたその夜、彼女の芸術だけでなく新生を得た。,"하늘이 불타던 그날 밤, 새로 거듭난 것은 그녀의 예술만이 아니었다.",#N/A,#N/A,#N/A,คืนที่เปลวไฟลุกโหมจนท้องฟ้าถูกปกคลุม ไม่ได้มีเพียงแค่ศิลปะของเธอที่ได้รับการฟื้นคืนชีพ,"Pada malam api membakar langit, bukan hanya seninya yang memperoleh kehidupan baru.","Đêm lửa cháy ngập trời, không chỉ có nghệ thuật của cô ấy được hồi sinh."
StageGroup_74236_TypeText,aRHk,g关卡组_StageGroup_A.csv,171,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_74238_Name,aRHq,g关卡组_StageGroup_A.csv,172,StageGroup,Name,,热情归尘,Dust of Passion,Страсть вернётся в пыль,#N/A,情熱の塵,열정은 먼지로,#N/A,#N/A,#N/A,ความหลงใหลจมสู่ผุยผง,Semangat yang Kembali ke Debu,Đam mê hóa thành cát bụi
StageGroup_74238_Desc,aRHp,g关卡组_StageGroup_A.csv,172,StageGroup,Desc,,火光焚天的那一夜，不止有她的艺术获得了新生。,"On the night of the blazing sky, not only did her art gain new life.","В ту ночь, когда пламя охватило небо, не только её искусство получило новорождённый.",#N/A,火光が空を焦がしたその夜、彼女の芸術だけでなく新生を得た。,"하늘이 불타던 그날 밤, 새로 거듭난 것은 그녀의 예술만이 아니었다.",#N/A,#N/A,#N/A,คืนที่เปลวไฟลุกโหมจนท้องฟ้าถูกปกคลุม ไม่ได้มีเพียงแค่ศิลปะของเธอที่ได้รับการฟื้นคืนชีพ,"Pada malam api membakar langit, bukan hanya seninya yang memperoleh kehidupan baru.","Đêm lửa cháy ngập trời, không chỉ có nghệ thuật của cô ấy được hồi sinh."
StageGroup_74238_TypeText,aRHs,g关卡组_StageGroup_A.csv,172,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
