Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_20223_Name,aReK,g关卡组_StageGroup_A.csv,144,StageGroup,Name,,如歌的雕琢,Sculpted Like a Song,"Мастерство, подобное песне",Como una canción esculpida,歌のような彫刻,노래처럼 조각된,Comme une sculpture chantante,Wie ein Lied gemeißelt,Esculpido como uma canção,การแกะสลักดุจทำนองเพลง,Seperti pahatan lagu,Điêu khắc như một khúc nhạc
StageGroup_20223_Desc,aReJ,g关卡组_StageGroup_A.csv,144,StageGroup,Desc,,侍女卡米耶在五岁时被带到小姐珊的面前。\n 珊就像雕塑一般美丽、若即若离。她迎着日光对卡米耶微笑。\n 从那天起，卡米耶许下心愿：我们要永远在一起。,"Maid Camille was brought before Miss Sanga at the age of five. \nSanga, as beautiful and aloof as a sculpture, smiled at Camille in the sunlight. \nFrom that day on, Camille made a wish: to be together forever.","Служанка Камиэль была приведена к девушке Шань, когда ей было пять лет.\n Шань была прекрасна как скульптура, казалась то близкой, то далёкой. Она подарила Камиэль улыбку, встречая солнечный свет.\n С того дня Камиэль загадала желание: мы всегда будем вместе.","La sirvienta Kamié fue llevada ante la señorita Sanga a la edad de cinco años.\n Sanga era tan hermosa como una escultura, siempre distante. Sonrió a Kamié bajo la luz del sol.\n Desde ese día, Kamié hizo un deseo: siempre debemos estar juntas",侍女カミ耶は五歳の時に小姐さんの前に連れてこられた。\n さんは彫刻のように美しく、遠くにいるようだった。彼女は日光に向かってカミ耶にほほえみかけた。\n その日から、カミ耶は願いを胸に誓った：私たちは永遠に一緒にいよう。,"시녀 카미유는 5살 때 산의 앞으로 데려가졌다. \n 산은 조각상처럼 아름다웠고, 가까우면서도 먼 존재였다. 그녀는 햇빛을 받으며 카미유에게 미소를 지었다. \n 그날부터 카미유는 소원을 가지게 되었다: 그녀와 영원히 함께하는 것.","La servante Camille a été conduite devant Mademoiselle Sanga à l'âge de cinq ans.\n Sanga était d'une beauté sculpturale, à la fois proche et distante. Elle souriait à Camille à la lumière du soleil.\n Depuis ce jour, Camille a formulé un souhait : nous serons toujours ensemble","Die Dienerin Kamiya wurde im Alter von fünf Jahren vor Miss Sanga gebracht.\n Sanga war schön wie eine Skulptur, fern und doch nah. Sie lächelte Kamiya im Sonnenlicht zu.\n Seit diesem Tag wünschte sich Kamiya: „Wir wollen für immer zusammen sein.“","A criada Kamie foi trazida diante da senhorita Sanga aos cinco anos.\n Sanga era tão bela quanto uma escultura, quase inalcançável. Ela sorriu para Kamie ao sol.\n Desde aquele dia, Kamie fez um desejo: que sempre estivéssemos juntas",เมื่ออายุได้ห้าขวบ สาวใช้คา밀ล์ถูกพาไปอยู่เบื้องหน้าคุณหนูซาน\n ซานงดงามเหมือนรูปปั้น ท่าทางของเธอสุขุมและลึกลับ เธอส่งยิ้มให้คา밀ล์ท่ามกลางแสงแดด\n ตั้งแต่วันนั้นเป็นต้นมา คาamilล์ได้ตั้งความปรารถนาไว้ว่า เราจะอยู่ด้วยกันตลอดไป,"Pelayan Kamille dibawa ke hadapan Nona Sanga saat ia berusia lima tahun.\n Sanga secantik patung, tampak begitu dekat namun juga jauh. Ia tersenyum pada Kamille sambil menghadap cahaya matahari.\n Sejak hari itu, Kamille mengucapkan keinginan: Kita akan selalu bersama selamanya.","Thiếu nữ Camille được đưa đến trước mặt tiểu thư Sơn khi mới năm tuổi. \n Sơn đẹp như một bức điêu khắc, vừa gần gũi vừa xa cách. Cô ấy mỉm cười với Camille dưới ánh nắng mặt trời. \n Từ ngày đó, Camille ước nguyện: Chúng ta sẽ mãi mãi bên nhau."
StageGroup_20223_TypeText,aReM,g关卡组_StageGroup_A.csv,144,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20224_Name,aReO,g关卡组_StageGroup_A.csv,145,StageGroup,Name,,如歌的雕琢,Sculpted Like a Song,"Мастерство, подобное песне",Como una canción esculpida,歌のような彫刻,노래처럼 조각된,Comme une sculpture chantante,Wie ein Lied gemeißelt,Esculpido como uma canção,การแกะสลักดุจทำนองเพลง,Seperti pahatan lagu,Điêu khắc như một khúc nhạc
StageGroup_20224_Desc,aReN,g关卡组_StageGroup_A.csv,145,StageGroup,Desc,,侍女卡米耶在五岁时被带到小姐珊的面前。\n 珊就像雕塑一般美丽、若即若离。她迎着日光对卡米耶微笑。\n 从那天起，卡米耶许下心愿：我们要永远在一起。,"Maid Camille was brought before Miss Sanga at the age of five. \nSanga, as beautiful and aloof as a sculpture, smiled at Camille in the sunlight. \nFrom that day on, Camille made a wish: to be together forever.","Служанка Камиэль была приведена к девушке Шань, когда ей было пять лет.\n Шань была прекрасна как скульптура, казалась то близкой, то далёкой. Она подарила Камиэль улыбку, встречая солнечный свет.\n С того дня Камиэль загадала желание: мы всегда будем вместе.","La sirvienta Kamié fue llevada ante la señorita Sanga a la edad de cinco años.\n Sanga era tan hermosa como una escultura, siempre distante. Sonrió a Kamié bajo la luz del sol.\n Desde ese día, Kamié hizo un deseo: siempre debemos estar juntas",侍女カミ耶は五歳の時に小姐さんの前に連れてこられた。\n さんは彫刻のように美しく、遠くにいるようだった。彼女は日光に向かってカミ耶にほほえみかけた。\n その日から、カミ耶は願いを胸に誓った：私たちは永遠に一緒にいよう。,"시녀 카미유는 5살 때부터 산의 시중을 들게 되었다. \n 산은 조각상처럼 아름다웠고, 가까우면서도 먼 존재였다. 그녀는 햇빛을 받으며 카미유에게 미소를 지었다. \n 그날부터 카미유는 소원을 가지게 되었다: 그녀와 영원히 함께하는 것.","La servante Camille a été conduite devant Mademoiselle Sanga à l'âge de cinq ans.\n Sanga était d'une beauté sculpturale, à la fois proche et distante. Elle souriait à Camille à la lumière du soleil.\n Depuis ce jour, Camille a formulé un souhait : nous serons toujours ensemble","Die Dienerin Kamiya wurde im Alter von fünf Jahren vor Miss Sanga gebracht.\n Sanga war schön wie eine Skulptur, fern und doch nah. Sie lächelte Kamiya im Sonnenlicht zu.\n Seit diesem Tag wünschte sich Kamiya: „Wir wollen für immer zusammen sein.“","A criada Kamie foi trazida diante da senhorita Sanga aos cinco anos.\n Sanga era tão bela quanto uma escultura, quase inalcançável. Ela sorriu para Kamie ao sol.\n Desde aquele dia, Kamie fez um desejo: que sempre estivéssemos juntas",เมื่ออายุได้ห้าขวบ สาวใช้คา밀ล์ถูกพาไปอยู่เบื้องหน้าคุณหนูซาน\n ซานงดงามเหมือนรูปปั้น ท่าทางของเธอสุขุมและลึกลับ เธอส่งยิ้มให้คา밀ล์ท่ามกลางแสงแดด\n ตั้งแต่วันนั้นเป็นต้นมา คาamilล์ได้ตั้งความปรารถนาไว้ว่า เราจะอยู่ด้วยกันตลอดไป,"Pelayan Kamille dibawa ke hadapan Nona Sanga saat ia berusia lima tahun.\n Sanga secantik patung, tampak begitu dekat namun juga jauh. Ia tersenyum pada Kamille sambil menghadap cahaya matahari.\n Sejak hari itu, Kamille mengucapkan keinginan: Kita akan selalu bersama selamanya.","Thiếu nữ Camille được đưa đến trước mặt tiểu thư Sơn khi mới năm tuổi. \n Sơn đẹp như một bức điêu khắc, vừa gần gũi vừa xa cách. Cô ấy mỉm cười với Camille dưới ánh nắng mặt trời. \n Từ ngày đó, Camille ước nguyện: Chúng ta sẽ mãi mãi bên nhau."
StageGroup_20224_TypeText,aReQ,g关卡组_StageGroup_A.csv,145,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20222_Name,aReG,g关卡组_StageGroup_A.csv,146,StageGroup,Name,,如歌的雕琢,Sculpted Like a Song,"Мастерство, подобное песне",Como una canción esculpida,歌のような彫刻,노래처럼 조각된,Comme une sculpture chantante,Wie ein Lied gemeißelt,Esculpido como uma canção,การแกะสลักดุจทำนองเพลง,Seperti pahatan lagu,Điêu khắc như một khúc nhạc
StageGroup_20222_Desc,aReF,g关卡组_StageGroup_A.csv,146,StageGroup,Desc,,侍女卡米耶在五岁时被带到小姐珊的面前。\n 珊就像雕塑一般美丽、若即若离。她迎着日光对卡米耶微笑。\n 从那天起，卡米耶许下心愿：我们要永远在一起。,"Maid Camille was brought before Miss Sanga at the age of five. \nSanga, as beautiful and aloof as a sculpture, smiled at Camille in the sunlight. \nFrom that day on, Camille made a wish: to be together forever.","Служанка Камиэль была приведена к девушке Шань, когда ей было пять лет.\n Шань была прекрасна как скульптура, казалась то близкой, то далёкой. Она подарила Камиэль улыбку, встречая солнечный свет.\n С того дня Камиэль загадала желание: мы всегда будем вместе.","La sirvienta Kamié fue llevada ante la señorita Sanga a la edad de cinco años.\n Sanga era tan hermosa como una escultura, siempre distante. Sonrió a Kamié bajo la luz del sol.\n Desde ese día, Kamié hizo un deseo: siempre debemos estar juntas",侍女カミ耶は五歳の時に小姐さんの前に連れてこられた。\n さんは彫刻のように美しく、遠くにいるようだった。彼女は日光に向かってカミ耶にほほえみかけた。\n その日から、カミ耶は願いを胸に誓った：私たちは永遠に一緒にいよう。,"시녀 카미유는 5살 때부터 산의 시중을 들게 되었다. \n 산은 조각상처럼 아름다웠고, 가까우면서도 먼 존재였다. 그녀는 햇빛을 받으며 카미유에게 미소를 지었다. \n 그날부터 카미유는 소원을 가지게 되었다: 그녀와 영원히 함께하는 것.","La servante Camille a été conduite devant Mademoiselle Sanga à l'âge de cinq ans.\n Sanga était d'une beauté sculpturale, à la fois proche et distante. Elle souriait à Camille à la lumière du soleil.\n Depuis ce jour, Camille a formulé un souhait : nous serons toujours ensemble","Die Dienerin Kamiya wurde im Alter von fünf Jahren vor Miss Sanga gebracht.\n Sanga war schön wie eine Skulptur, fern und doch nah. Sie lächelte Kamiya im Sonnenlicht zu.\n Seit diesem Tag wünschte sich Kamiya: „Wir wollen für immer zusammen sein.“","A criada Kamie foi trazida diante da senhorita Sanga aos cinco anos.\n Sanga era tão bela quanto uma escultura, quase inalcançável. Ela sorriu para Kamie ao sol.\n Desde aquele dia, Kamie fez um desejo: que sempre estivéssemos juntas",เมื่ออายุได้ห้าขวบ สาวใช้คา밀ล์ถูกพาไปอยู่เบื้องหน้าคุณหนูซาน\n ซานงดงามเหมือนรูปปั้น ท่าทางของเธอสุขุมและลึกลับ เธอส่งยิ้มให้คา밀ล์ท่ามกลางแสงแดด\n ตั้งแต่วันนั้นเป็นต้นมา คาamilล์ได้ตั้งความปรารถนาไว้ว่า เราจะอยู่ด้วยกันตลอดไป,"Pelayan Kamille dibawa ke hadapan Nona Sanga saat ia berusia lima tahun.\n Sanga secantik patung, tampak begitu dekat namun juga jauh. Ia tersenyum pada Kamille sambil menghadap cahaya matahari.\n Sejak hari itu, Kamille mengucapkan keinginan: Kita akan selalu bersama selamanya.","Thiếu nữ Camille được đưa đến trước mặt tiểu thư Sơn khi mới năm tuổi. \n Sơn đẹp như một bức điêu khắc, vừa gần gũi vừa xa cách. Cô ấy mỉm cười với Camille dưới ánh nắng mặt trời. \n Từ ngày đó, Camille ước nguyện: Chúng ta sẽ mãi mãi bên nhau."
StageGroup_20222_TypeText,aReI,g关卡组_StageGroup_A.csv,146,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_20092_Name,aRNL,g关卡_Stage_A.csv,1681,Stage,Name,,见信如唔,Epistolary Embrace,"Видеть письмо, как видеть тебя",Saludos,手紙を読むが如し,안녕하세요,"Lire cette lettre, c'est comme vous voir",Mit freundlichen Grüßen,Saudações,เห็นจดหมายราวกับได้พบหน้า,Seperti bertemu dalam surat,Đọc thư như gặp người thân
Stage_20092_Desc,aRNK,g关卡_Stage_A.csv,1681,Stage,Desc,,恩斯特·克劳岱尔曾是贝桑松的领主。\n直到今天，这个家族依旧在当地富有名望。,"Ernst Claudel was once the lord of Besançon.\nEven today, this family remains highly esteemed in the region.",Эрнст Клаудель когда-то был сеньором Безансона.\nДо тех пор этот род по-прежнему уважаем в регионе.,"Ernst Claudel fue señor de Besanzón.\nHasta hoy, su familia sigue siendo influyente en la región",エンスト・クローデルはかつてベザンソンの領主でした。\n今日まで、この家系は地元で高い名声を保っています。,엔스트 클라우델은 과거 베산송의 영주였습니다. \n현재까지 이 가문은 여전히 현지에서 명망이 높습니다.,"Ernst Claudel était autrefois le seigneur de Besançon.\nAujourd'hui encore, cette famille est très respectée dans la région",Ernst Claudel war einst der Herr von Besançon.\nBis heute ist diese Familie dort hoch angesehen,"Ernst Claudel foi senhor de Besançon.\nAté hoje, a família ainda é respeitada na região",แอร์นสท์ โครเดลเคยเป็นเจ้าเมืองของเบซองçon \nจนถึงทุกวันนี้ ตระกูลนี้ยังคงมีชื่อเสียงในท้องถิ่นอย่างต่อเนื่อง,"Ernst Claudel pernah menjadi tuan tanah Besançon. \n Hingga hari ini, keluarga tersebut masih memiliki reputasi yang baik di daerah tersebut.","Ernst Claudel từng là chúa tể của Besançon. \nĐến ngày nay, gia đình này vẫn có tiếng tăm ở địa phương. "
Stage_20444_Name,aRPi,g关卡_Stage_A.csv,1685,Stage,Name,,见信如唔,Epistolary Embrace,"Видеть письмо, как видеть тебя",Saludos,手紙を読むが如し,안녕하세요,"Lire cette lettre, c'est comme vous voir",Mit freundlichen Grüßen,Saudações,เห็นจดหมายราวกับได้พบหน้า,Seperti bertemu dalam surat,Đọc thư như gặp người thân
