Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_15923_Name,aRbK,g关卡组_StageGroup_A.csv,147,StageGroup,Name,,血与沙,Blood and Sand,Кровь и Песок,Sangre y arena,血と砂,피와 모래,Sang et Sable,Blut und Sand,Sangue e Areia,เลือดกับทราย,Darah dan Pasir,Máu và cát
StageGroup_15923_Desc,aRbJ,g关卡组_StageGroup_A.csv,147,StageGroup,Desc,,根据官方记载，共计三千余人参与了第@1次神圣东征。\n圣徒们的目标不尽相同，有人为了生计，有人为了复仇。\n还有人为了杀戮。,"According to official records, more than 3,000 people participated in the @1st Holy Crusade.\nThe goals of the saints varied: some sought livelihood, some sought revenge,\nand others sought slaughter.","Согласно официальным записям, в @1-м Священном Восточном походе приняли участие более трех тысяч человек.\nЦели участников были различны: кто-то стремился к пропитанию, кто-то жаждал мести.\nА кто-то участвовал ради самой резни.","Según los registros oficiales, más de tres mil personas participaron en la @1 Cruzada Sagrada.\nLos santos tenían diferentes objetivos: algunos por sustento, otros por venganza.\nY otros por matar",公式記録によると、第@1回の神聖東征に総計三千余人が参加した。\n聖徒たちの目標は異なり、生計のために参加した者もいれば、復讐のために参加した者もいた。\nさらに、殺戮のために参加した者もいた。,"공식 기록에 따르면, 총 3천여 명이 제@1차 성전에 참전했다. \n성도들의 목표는 다양했다. 생계를 위해, 복수를 위해, 그리고 누군가는 살육을 위해 참가했다.","Selon les archives officielles, plus de trois mille personnes ont participé à la @1ère Croisade Sacrée.\nLes motivations des saints variaient : certains pour survivre, d'autres pour se venger.\nEt certains pour tuer","Laut offiziellen Aufzeichnungen nahmen über 3000 Menschen am @1. Heiligen Kreuzzug teil.\nDie Ziele der Heiligen waren unterschiedlich: einige für den Lebensunterhalt, einige für Rache.\nUnd einige für das Töten","Segundo registros oficiais, mais de três mil pessoas participaram da @1ª Cruzada Sagrada.\nOs objetivos dos santos variavam: alguns buscavam sustento, outros vingança.\nE alguns, apenas matança",ตามบันทึกทางการ มีผู้เข้าร่วมการเดินทัพศักดิ์สิทธิ์ครั้งที่@1 ทั้งหมดสามพันกว่าคน \n เป้าหมายแตกต่างกันไป บางคนเพื่อการดำรงชีวิต บางคนเพื่อล้างแค้น \n และบางคนเพื่อการสังหาร,"Menurut catatan resmi, total lebih dari tiga ribu orang berpartisipasi dalam Perang Suci Timur yang ke-@1. \n Tujuan para santo berbeda-beda; ada yang demi penghidupan, ada yang untuk balas dendam. \n Ada pula yang untuk membunuh.","Theo các ghi chép chính thức, tổng cộng hơn ba nghìn người đã tham gia vào Cuộc Thập tự chinh Thần thánh thứ @1. \n Mục tiêu của các thánh đồ không giống nhau, có người vì sinh kế, có người vì báo thù. \n Còn có người vì thú vui giết chóc."
StageGroup_15923_TypeText,aRbM,g关卡组_StageGroup_A.csv,147,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_15888_Name,aQZa,g关卡组_StageGroup_A.csv,148,StageGroup,Name,,血与沙,Blood and Sand,Кровь и Песок,Sangre y arena,血と砂,피와 모래,Sang et Sable,Blut und Sand,Sangue e Areia,เลือดกับทราย,Darah dan Pasir,Máu và cát
StageGroup_15888_Desc,aQYZ,g关卡组_StageGroup_A.csv,148,StageGroup,Desc,,根据官方记载，共计三千余人参与了第@1次神圣东征。\n圣徒们的目标不尽相同，有人为了生计，有人为了复仇。\n还有人为了杀戮。,"According to official records, more than 3,000 people participated in the @1st Holy Crusade.\nThe goals of the saints varied: some sought livelihood, some sought revenge,\nand others sought slaughter.","Согласно официальным записям, в @1-м Священном Восточном походе приняли участие более трех тысяч человек.\nЦели участников были различны: кто-то стремился к пропитанию, кто-то жаждал мести.\nА кто-то участвовал ради самой резни.","Según los registros oficiales, más de tres mil personas participaron en la @1 Cruzada Sagrada.\nLos santos tenían diferentes objetivos: algunos por sustento, otros por venganza.\nY otros por matar",公式記録によると、第@1回の神聖東征に総計三千余人が参加した。\n聖徒たちの目標は異なり、生計のために参加した者もいれば、復讐のために参加した者もいた。\nさらに、殺戮のために参加した者もいた。,"공식 기록에 따르면, 총 3천여 명이 제@1차 성전에 참전했다. \n성도들의 목표는 다양했다. 생계를 위해, 복수를 위해, 그리고 누군가는 살육을 위해 참가했다.","Selon les archives officielles, plus de trois mille personnes ont participé à la @1ère Croisade Sacrée.\nLes motivations des saints variaient : certains pour survivre, d'autres pour se venger.\nEt certains pour tuer","Laut offiziellen Aufzeichnungen nahmen über 3000 Menschen am @1. Heiligen Kreuzzug teil.\nDie Ziele der Heiligen waren unterschiedlich: einige für den Lebensunterhalt, einige für Rache.\nUnd einige für das Töten","Segundo registros oficiais, mais de três mil pessoas participaram da @1ª Cruzada Sagrada.\nOs objetivos dos santos variavam: alguns buscavam sustento, outros vingança.\nE alguns, apenas matança",ตามบันทึกทางการ มีผู้เข้าร่วมการเดินทัพศักดิ์สิทธิ์ครั้งที่@1 ทั้งหมดสามพันกว่าคน \n เป้าหมายแตกต่างกันไป บางคนเพื่อการดำรงชีวิต บางคนเพื่อล้างแค้น \n และบางคนเพื่อการสังหาร,"Menurut catatan resmi, total lebih dari tiga ribu orang berpartisipasi dalam Perang Suci Timur yang ke-@1. \n Tujuan para santo berbeda-beda; ada yang demi penghidupan, ada yang untuk balas dendam. \n Ada pula yang untuk membunuh.","Theo các ghi chép chính thức, tổng cộng hơn ba nghìn người đã tham gia vào Cuộc Thập tự chinh Thần thánh thứ @1. \n Mục tiêu của các thánh đồ không giống nhau, có người vì sinh kế, có người vì báo thù. \n Còn có người vì thú vui giết chóc."
StageGroup_15888_TypeText,aQZc,g关卡组_StageGroup_A.csv,148,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_15960_Name,aReC,g关卡组_StageGroup_A.csv,149,StageGroup,Name,,血与沙,Blood and Sand,Кровь и Песок,Sangre y arena,血と砂,피와 모래,Sang et Sable,Blut und Sand,Sangue e Areia,เลือดกับทราย,Darah dan Pasir,Máu và cát
StageGroup_15960_Desc,aReB,g关卡组_StageGroup_A.csv,149,StageGroup,Desc,,根据官方记载，共计三千余人参与了第@1次神圣东征。\n圣徒们的目标不尽相同，有人为了生计，有人为了复仇。\n还有人为了杀戮。,"According to official records, more than 3,000 people participated in the @1st Holy Crusade.\nThe goals of the saints varied: some sought livelihood, some sought revenge,\nand others sought slaughter.","Согласно официальным записям, в @1-м Священном Восточном походе приняли участие более трех тысяч человек.\nЦели участников были различны: кто-то стремился к пропитанию, кто-то жаждал мести.\nА кто-то участвовал ради самой резни.","Según los registros oficiales, más de tres mil personas participaron en la @1 Cruzada Sagrada.\nLos santos tenían diferentes objetivos: algunos por sustento, otros por venganza.\nY otros por matar",公式記録によると、第@1回の神聖東征に総計三千余人が参加した。\n聖徒たちの目標は異なり、生計のために参加した者もいれば、復讐のために参加した者もいた。\nさらに、殺戮のために参加した者もいた。,"공식 기록에 따르면, 총 3천여 명이 제@1차 성전에 참전했다. \n성도들의 목표는 다양했다. 생계를 위해, 복수를 위해, 그리고 누군가는 살육을 위해 참가했다.","Selon les archives officielles, plus de trois mille personnes ont participé à la @1ère Croisade Sacrée.\nLes motivations des saints variaient : certains pour survivre, d'autres pour se venger.\nEt certains pour tuer","Laut offiziellen Aufzeichnungen nahmen über 3000 Menschen am @1. Heiligen Kreuzzug teil.\nDie Ziele der Heiligen waren unterschiedlich: einige für den Lebensunterhalt, einige für Rache.\nUnd einige für das Töten","Segundo registros oficiais, mais de três mil pessoas participaram da @1ª Cruzada Sagrada.\nOs objetivos dos santos variavam: alguns buscavam sustento, outros vingança.\nE alguns, apenas matança",ตามบันทึกทางการ มีผู้เข้าร่วมการเดินทัพศักดิ์สิทธิ์ครั้งที่@1 ทั้งหมดสามพันกว่าคน \n เป้าหมายแตกต่างกันไป บางคนเพื่อการดำรงชีวิต บางคนเพื่อล้างแค้น \n และบางคนเพื่อการสังหาร,"Menurut catatan resmi, total lebih dari tiga ribu orang berpartisipasi dalam Perang Suci Timur yang ke-@1. \n Tujuan para santo berbeda-beda; ada yang demi penghidupan, ada yang untuk balas dendam. \n Ada pula yang untuk membunuh.","Theo các ghi chép chính thức, tổng cộng hơn ba nghìn người đã tham gia vào Cuộc Thập tự chinh Thần thánh thứ @1. \n Mục tiêu của các thánh đồ không giống nhau, có người vì sinh kế, có người vì báo thù. \n Còn có người vì thú vui giết chóc."
StageGroup_15960_TypeText,aReE,g关卡组_StageGroup_A.csv,149,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
