Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_20448_Name,aRfe,g关卡组_StageGroup_A.csv,150,StageGroup,Name,,扭曲核心,Twisted Core,Искажённое ядро,Núcleo Distorsionado,ねじれたコア,뒤틀린 핵,Noyau tordu,Verzerrter Kern,Núcleo Distorcido,แกนบิดเบือน,Inti yang Terdistorsi,Lõi xoắn
StageGroup_20448_Desc,aRfd,g关卡组_StageGroup_A.csv,150,StageGroup,Desc,,她是由弥萨格大学复原而成的人偶。\n 她的骨架是金属，她的心脏是银芯，她的结构无比精妙，即使对着设计图纸，也再难造出第二个。 \n而在她成为冰冷的机械前，她有着一颗人类的心。,"She is a doll restored by Mythag University.\n Her skeleton is metal, her heart is a Silver. Her structure is so intricate that even with blueprints, another cannot be made.\n Before becoming a cold machine, she had a human heart.","Она — кукла, воссозданная Университетом Мисага.\n Её скелет металлический, её сердце — сердечник из серебра, её конструкция невероятно хитроумна, и даже по чертежам невозможно создать вторую такую же.\n До того как она стала холодным механизмом, у неё было человеческое сердце.","Ella es una marioneta restaurada por la universidad de mitag.\n Su esqueleto es de metal, su corazón es de plata, su estructura es extremadamente exquisita; incluso con los planos, es difícil crear un segundo igual.\nAntes de convertirse en una fría máquina, tenía un corazón humano",彼女はミサグ大学によって復元された人偶です。\n 彼女の骨組みは金属で、心臓はシルバーコアであり、その構造は非常に精妙で、設計図を見ても二つと作ることは困難です。\n そして、彼女が冷たい機械となる以前、彼女には人間の心がありました。,"그녀는 미사그 대학이 복원한 인형이다.\n뼈대는 금속으로, 심장은 은심으로 이루어져 있다. 그 구조는 매우 정교하여, 설계도를 본다고 해도 같은 것을 두 번 다시 만들기 어렵다.\n하지만 그녀가 차가운 기계가 되기 전에는, 인간의 마음을 지니고 있었다.","Elle était une poupée restaurée par l'université de Mythag.\nSon squelette était en métal, son cœur en argent, sa structure était incroyablement délicate, même face aux dessins, il était presque impossible d'en construire un autre. \nAvant de devenir une machine glacée, elle avait un cœur humain","Sie ist eine Puppe, die von der Mythag Universität wiederhergestellt wurde.\nIhr Skelett ist aus Metall, ihr Herz aus Silber, ihre Struktur ist unglaublich raffiniert; selbst im Angesicht der Entwurfspläne ist es unmöglich, ein zweites zu schaffen.\nDoch bevor sie zur kalten Maschine wurde, hatte sie ein menschliches Herz","Ela é uma boneca restaurada pela universidade de mythag.\n Sua estrutura é de metal, seu coração é de prata, sua construção é extremamente complexa, mesmo com os desenhos de projeto, é impossível criar um segundo exemplar.\nMas antes de se tornar uma máquina fria, ela possuía um coração humano",เธอเป็นตุ๊กตาที่ถูกสร้างขึ้นใหม่โดยมหาวิทยาลัยมิซากะ \n โครงกระดูกของเธอทำจากโลหะ หัวใจของเธอคือแกนเงิน โครงสร้างของเธอซับซ้อนอย่างยิ่ง แม้มีแบบแปลนการออกแบบ ก็แทบเป็นไปไม่ได้ที่จะสร้างอีกตัวหนึ่งได้ \n และก่อนที่เธอจะกลายเป็นเครื่องจักรที่ไร้ความรู้สึก เธอเคยมีหัวใจของมนุษย์,"Dia adalah boneka yang direkonstruksi oleh Universitas Mythag. \n Kerangkanya terbuat dari logam, jantungnya adalah inti perak, strukturnya sangat rumit, bahkan dengan melihat gambar desain, mustahil untuk membuat yang kedua. \n Sebelum dia menjadi mesin yang dingin, dia memiliki hati seorang manusia.","Cô ấy là một con rối được phục hồi bởi Đại học Misag. \n Bộ xương của cô ấy là kim loại, trái tim của cô ấy là bạc tâm, cấu trúc của cô ấy vô cùng tinh vi, ngay cả khi đối diện với bản vẽ thiết kế, cũng khó có thể tạo ra một cái thứ hai. \n Và trước khi trở thành một cỗ máy lạnh giá, cô ấy đã có một trái tim của con người."
StageGroup_20448_TypeText,aRfg,g关卡组_StageGroup_A.csv,150,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20451_Name,aRfq,g关卡组_StageGroup_A.csv,151,StageGroup,Name,,扭曲核心,Twisted Core,Искажённое ядро,Núcleo Distorsionado,ねじれたコア,뒤틀린 핵,Noyau tordu,Verzerrter Kern,Núcleo Distorcido,แกนบิดเบือน,Inti yang Terdistorsi,Lõi xoắn
StageGroup_20451_Desc,aRfp,g关卡组_StageGroup_A.csv,151,StageGroup,Desc,,她是由弥萨格大学复原而成的人偶。\n 她的骨架是金属，她的心脏是银芯，她的结构无比精妙，即使对着设计图纸，也再难造出第二个。 \n而在她成为冰冷的机械前，她有着一颗人类的心。,"She is a doll restored by Mythag University.\n Her skeleton is metal, her heart is a Silver. Her structure is so intricate that even with blueprints, another cannot be made.\n Before becoming a cold machine, she had a human heart.","Она — кукла, воссозданная Университетом Мисага.\n Её скелет металлический, её сердце — сердечник из серебра, её конструкция невероятно хитроумна, и даже по чертежам невозможно создать вторую такую же.\n До того как она стала холодным механизмом, у неё было человеческое сердце.","Ella es una marioneta restaurada por la universidad de mitag.\n Su esqueleto es de metal, su corazón es de plata, su estructura es extremadamente exquisita; incluso con los planos, es difícil crear un segundo igual.\nAntes de convertirse en una fría máquina, tenía un corazón humano",彼女はミサグ大学によって復元された人偶です。\n 彼女の骨組みは金属で、心臓はシルバーコアであり、その構造は非常に精妙で、設計図を見ても二つと作ることは困難です。\n そして、彼女が冷たい機械となる以前、彼女には人間の心がありました。,"그녀는 미사그 대학이 복원한 인형이다.\n뼈대는 금속으로, 심장은 은심으로 이루어져 있다. 그 구조는 매우 정교하여, 설계도를 본다고 해도 같은 것을 두 번 다시 만들기 어렵다.\n하지만 그녀가 차가운 기계가 되기 전에는, 인간의 마음을 지니고 있었다.","Elle était une poupée restaurée par l'université de Mythag.\nSon squelette était en métal, son cœur en argent, sa structure était incroyablement délicate, même face aux dessins, il était presque impossible d'en construire un autre. \nAvant de devenir une machine glacée, elle avait un cœur humain","Sie ist eine Puppe, die von der Mythag Universität wiederhergestellt wurde.\nIhr Skelett ist aus Metall, ihr Herz aus Silber, ihre Struktur ist unglaublich raffiniert; selbst im Angesicht der Entwurfspläne ist es unmöglich, ein zweites zu schaffen.\nDoch bevor sie zur kalten Maschine wurde, hatte sie ein menschliches Herz","Ela é uma boneca restaurada pela universidade de mythag.\n Sua estrutura é de metal, seu coração é de prata, sua construção é extremamente complexa, mesmo com os desenhos de projeto, é impossível criar um segundo exemplar.\nMas antes de se tornar uma máquina fria, ela possuía um coração humano",เธอเป็นตุ๊กตาที่ถูกสร้างขึ้นใหม่โดยมหาวิทยาลัยมิซากะ \n โครงกระดูกของเธอทำจากโลหะ หัวใจของเธอคือแกนเงิน โครงสร้างของเธอซับซ้อนอย่างยิ่ง แม้มีแบบแปลนการออกแบบ ก็แทบเป็นไปไม่ได้ที่จะสร้างอีกตัวหนึ่งได้ \n และก่อนที่เธอจะกลายเป็นเครื่องจักรที่ไร้ความรู้สึก เธอเคยมีหัวใจของมนุษย์,"Dia adalah boneka yang direkonstruksi oleh Universitas Mythag. \n Kerangkanya terbuat dari logam, jantungnya adalah inti perak, strukturnya sangat rumit, bahkan dengan melihat gambar desain, mustahil untuk membuat yang kedua. \n Sebelum dia menjadi mesin yang dingin, dia memiliki hati seorang manusia.","Cô ấy là một con rối được phục hồi bởi Đại học Misag. \n Bộ xương của cô ấy là kim loại, trái tim của cô ấy là bạc tâm, cấu trúc của cô ấy vô cùng tinh vi, ngay cả khi đối diện với bản vẽ thiết kế, cũng khó có thể tạo ra một cái thứ hai. \n Và trước khi trở thành một cỗ máy lạnh giá, cô ấy đã có một trái tim của con người."
StageGroup_20451_TypeText,aRfs,g关卡组_StageGroup_A.csv,151,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20447_Name,aRfa,g关卡组_StageGroup_A.csv,152,StageGroup,Name,,扭曲核心,Twisted Core,Искажённое ядро,Núcleo Distorsionado,ねじれたコア,뒤틀린 핵,Noyau tordu,Verzerrter Kern,Núcleo Distorcido,แกนบิดเบือน,Inti yang Terdistorsi,Lõi xoắn
StageGroup_20447_Desc,aReZ,g关卡组_StageGroup_A.csv,152,StageGroup,Desc,,她是由弥萨格大学复原而成的人偶。\n 她的骨架是金属，她的心脏是银芯，她的结构无比精妙，即使对着设计图纸，也再难造出第二个。 \n而在她成为冰冷的机械前，她有着一颗人类的心。,"She is a doll restored by Mythag University.\n Her skeleton is metal, her heart is a Silver. Her structure is so intricate that even with blueprints, another cannot be made.\n Before becoming a cold machine, she had a human heart.","Она — кукла, воссозданная Университетом Мисага.\n Её скелет металлический, её сердце — сердечник из серебра, её конструкция невероятно хитроумна, и даже по чертежам невозможно создать вторую такую же.\n До того как она стала холодным механизмом, у неё было человеческое сердце.","Ella es una marioneta restaurada por la universidad de mitag.\n Su esqueleto es de metal, su corazón es de plata, su estructura es extremadamente exquisita; incluso con los planos, es difícil crear un segundo igual.\nAntes de convertirse en una fría máquina, tenía un corazón humano",彼女はミサグ大学によって復元された人偶です。\n 彼女の骨組みは金属で、心臓はシルバーコアであり、その構造は非常に精妙で、設計図を見ても二つと作ることは困難です。\n そして、彼女が冷たい機械となる以前、彼女には人間の心がありました。,"그녀는 미사그 대학이 복원한 인형이다.\n뼈대는 금속으로, 심장은 은심으로 이루어져 있다. 그 구조는 매우 정교하여, 설계도를 본다고 해도 같은 것을 두 번 다시 만들기 어렵다.\n하지만 그녀가 차가운 기계가 되기 전에는, 인간의 마음을 지니고 있었다.","Elle était une poupée restaurée par l'université de Mythag.\nSon squelette était en métal, son cœur en argent, sa structure était incroyablement délicate, même face aux dessins, il était presque impossible d'en construire un autre. \nAvant de devenir une machine glacée, elle avait un cœur humain","Sie ist eine Puppe, die von der Mythag Universität wiederhergestellt wurde.\nIhr Skelett ist aus Metall, ihr Herz aus Silber, ihre Struktur ist unglaublich raffiniert; selbst im Angesicht der Entwurfspläne ist es unmöglich, ein zweites zu schaffen.\nDoch bevor sie zur kalten Maschine wurde, hatte sie ein menschliches Herz","Ela é uma boneca restaurada pela universidade de mythag.\n Sua estrutura é de metal, seu coração é de prata, sua construção é extremamente complexa, mesmo com os desenhos de projeto, é impossível criar um segundo exemplar.\nMas antes de se tornar uma máquina fria, ela possuía um coração humano",เธอเป็นตุ๊กตาที่ถูกสร้างขึ้นใหม่โดยมหาวิทยาลัยมิซากะ \n โครงกระดูกของเธอทำจากโลหะ หัวใจของเธอคือแกนเงิน โครงสร้างของเธอซับซ้อนอย่างยิ่ง แม้มีแบบแปลนการออกแบบ ก็แทบเป็นไปไม่ได้ที่จะสร้างอีกตัวหนึ่งได้ \n และก่อนที่เธอจะกลายเป็นเครื่องจักรที่ไร้ความรู้สึก เธอเคยมีหัวใจของมนุษย์,"Dia adalah boneka yang direkonstruksi oleh Universitas Mythag. \n Kerangkanya terbuat dari logam, jantungnya adalah inti perak, strukturnya sangat rumit, bahkan dengan melihat gambar desain, mustahil untuk membuat yang kedua. \n Sebelum dia menjadi mesin yang dingin, dia memiliki hati seorang manusia.","Cô ấy là một con rối được phục hồi bởi Đại học Misag. \n Bộ xương của cô ấy là kim loại, trái tim của cô ấy là bạc tâm, cấu trúc của cô ấy vô cùng tinh vi, ngay cả khi đối diện với bản vẽ thiết kế, cũng khó có thể tạo ra một cái thứ hai. \n Và trước khi trở thành một cỗ máy lạnh giá, cô ấy đã có một trái tim của con người."
StageGroup_20447_TypeText,aRfc,g关卡组_StageGroup_A.csv,152,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
