Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_20446_Name,aReW,g关卡组_StageGroup_A.csv,153,StageGroup,Name,,苍白后裔,Pale Descendant,Потомки бледных,Descendiente Pálido,蒼白の後裔,창백한 후예,Descendant pâle,Bleiches Erbe,Descendentes pálidos,ผู้สืบทอดแห่งความซีดเซียว,Keturunan Pucat,Hậu duệ bợt bạt
StageGroup_20446_Desc,aReV,g关卡组_StageGroup_A.csv,153,StageGroup,Desc,,相传在伦蒂尼恩的地下，有一扇唯一的门。\n 它通向苍白之主的所在……,It is said that there is a single door in the depths of Londinium.\nIt leads to the domain of the Pale Lord...,"Согласно преданию, под Лентиниеном находится единственная дверь.\n Она ведет к месту обитания Бледного Господина..","Se dice que en el subsuelo de Lentinién, hay una única puerta.\n Conduce al Señor Pálido",伝説によると、レンディニエンの地下には唯一の扉があるという。\n それは蒼白の主がいる場所へと通じている……,론디니움의 지하에는 유일무이한 문이 있다고 전해진다.\n 그 문은 창백한 주인의 영역으로 이어진다...,On dit qu'il y a une porte unique sous Lentiniens.\n Elle mène au Seigneur Pâle,"Es wird gesagt, dass es unter Lentinen eine einzige Tür gibt.\n Sie führt zum Ort des Blassen Herrn",Dizem que há uma única porta no subsolo de Lentinién.\n Ela leva ao Senhor Pálido,ตามตำนานเล่าว่า ใต้เมืองลอนดีเนี่ยน มีประตูเพียงบานเดียวเท่านั้น \n ซึ่งมันนำไปสู่ที่อยู่ของพระเจ้าแห่งความซีด..,"Konon, di bawah tanah Londinium, terdapat satu-satunya pintu.\n Pintu itu mengarah ke tempat Tuan Pucat berada…","Theo truyền thuyết, dưới lòng đất của Lentiennam, có một cánh cửa duy nhất. \n Nó dẫn đến nơi ở của Chủ Tể Bạc Nhợt…"
StageGroup_20446_TypeText,aReY,g关卡组_StageGroup_A.csv,153,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20453_Name,aRfy,g关卡组_StageGroup_A.csv,154,StageGroup,Name,,苍白后裔,Pale Descendant,Потомки бледных,Descendiente Pálido,蒼白の後裔,창백한 후예,Descendant pâle,Bleiches Erbe,Descendentes pálidos,ผู้สืบทอดแห่งความซีดเซียว,Keturunan Pucat,Hậu duệ bợt bạt
StageGroup_20453_Desc,aRfx,g关卡组_StageGroup_A.csv,154,StageGroup,Desc,,相传在伦蒂尼恩的地下，有一扇唯一的门。\n 它通向苍白之主的所在……,It is said that there is a single door in the depths of Londinium.\nIt leads to the domain of the Pale Lord...,"Согласно преданию, под Лентиниеном находится единственная дверь.\n Она ведет к месту обитания Бледного Господина..","Se dice que en el subsuelo de Lentinién, hay una única puerta.\n Conduce al Señor Pálido",伝説によると、レンディニエンの地下には唯一の扉があるという。\n それは蒼白の主がいる場所へと通じている……,론디니움의 지하에는 유일무이한 문이 있다고 전해진다.\n 그 문은 창백한 주인의 영역으로 이어진다...,On dit qu'il y a une porte unique sous Lentiniens.\n Elle mène au Seigneur Pâle,"Es wird gesagt, dass es unter Lentinen eine einzige Tür gibt.\n Sie führt zum Ort des Blassen Herrn",Dizem que há uma única porta no subsolo de Lentinién.\n Ela leva ao Senhor Pálido,ตามตำนานเล่าว่า ใต้เมืองลอนดีเนี่ยน มีประตูเพียงบานเดียวเท่านั้น \n ซึ่งมันนำไปสู่ที่อยู่ของพระเจ้าแห่งความซีด..,"Konon, di bawah tanah Londinium, terdapat satu-satunya pintu.\n Pintu itu mengarah ke tempat Tuan Pucat berada…","Theo truyền thuyết, dưới lòng đất của Lentiennam, có một cánh cửa duy nhất. \n Nó dẫn đến nơi ở của Chủ Tể Bạc Nhợt…"
StageGroup_20453_TypeText,aRfA,g关卡组_StageGroup_A.csv,154,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_20450_Name,aRfm,g关卡组_StageGroup_A.csv,155,StageGroup,Name,,苍白后裔,Pale Descendant,Потомки бледных,Descendiente Pálido,蒼白の後裔,창백한 후예,Descendant pâle,Bleiches Erbe,Descendentes pálidos,ผู้สืบทอดแห่งความซีดเซียว,Keturunan Pucat,Hậu duệ bợt bạt
StageGroup_20450_Desc,aRfl,g关卡组_StageGroup_A.csv,155,StageGroup,Desc,,相传在伦蒂尼恩的地下，有一扇唯一的门。\n 它通向苍白之主的所在……,It is said that there is a single door in the depths of Londinium.\nIt leads to the domain of the Pale Lord...,"Согласно преданию, под Лентиниеном находится единственная дверь.\n Она ведет к месту обитания Бледного Господина..","Se dice que en el subsuelo de Lentinién, hay una única puerta.\n Conduce al Señor Pálido",伝説によると、レンディニエンの地下には唯一の扉があるという。\n それは蒼白の主がいる場所へと通じている……,론디니움의 지하에는 유일무이한 문이 있다고 전해진다.\n 그 문은 창백한 주인의 영역으로 이어진다...,On dit qu'il y a une porte unique sous Lentiniens.\n Elle mène au Seigneur Pâle,"Es wird gesagt, dass es unter Lentinen eine einzige Tür gibt.\n Sie führt zum Ort des Blassen Herrn",Dizem que há uma única porta no subsolo de Lentinién.\n Ela leva ao Senhor Pálido,ตามตำนานเล่าว่า ใต้เมืองลอนดีเนี่ยน มีประตูเพียงบานเดียวเท่านั้น \n ซึ่งมันนำไปสู่ที่อยู่ของพระเจ้าแห่งความซีด..,"Konon, di bawah tanah Londinium, terdapat satu-satunya pintu.\n Pintu itu mengarah ke tempat Tuan Pucat berada…","Theo truyền thuyết, dưới lòng đất của Lentiennam, có một cánh cửa duy nhất. \n Nó dẫn đến nơi ở của Chủ Tể Bạc Nhợt…"
StageGroup_20450_TypeText,aRfo,g关卡组_StageGroup_A.csv,155,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
