Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_24553_Name,aRgy,g关卡组_StageGroup_A.csv,156,StageGroup,Name,,一步之遥,One Step Away,Шаг от,A un paso,一歩の差,한 걸음 차이,À un pas,Ein Schritt entfernt,A um passo,ใกล้แค่เอื้อม,Hanya selangkah lagi,Chỉ một bước chân
StageGroup_24553_Desc,aRgx,g关卡组_StageGroup_A.csv,156,StageGroup,Desc,,你向前一步，跨入了另一个时空。,You take a step forward and enter another dimension.,Ты делаешь шаг вперёд и переступаешь в другое пространство-время.,Diste un paso adelante y entraste en otro espacio-tiempo,あなたは一歩前に進み、別の時空へと踏み入れました。,"당신은 한 걸음 앞으로 나아가, 다른 차원 속으로 들어갔다.","Tu avances d'un pas, entrant dans une autre dimension",Du machst einen Schritt nach vorne und betrittst eine andere Zeit,"Você deu um passo à frente, entrando em outra dimensão",คุณก้าวไปข้างหน้า และเข้าสู่มิติเวลาอื่น,"Kamu melangkah maju, memasuki dimensi lain.","Bạn bước lên một bước, bước vào một chiều không gian khác."
StageGroup_24553_TypeText,aRgA,g关卡组_StageGroup_A.csv,156,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_24554_Name,aRgC,g关卡组_StageGroup_A.csv,157,StageGroup,Name,,一步之遥,One Step Away,Шаг от,A un paso,一歩の差,한 걸음 차이,À un pas,Ein Schritt entfernt,A um passo,ใกล้แค่เอื้อม,Hanya selangkah lagi,Chỉ một bước chân
StageGroup_24554_Desc,aRgB,g关卡组_StageGroup_A.csv,157,StageGroup,Desc,,你向前一步，跨入了另一个时空。,You take a step forward and enter another dimension.,Ты делаешь шаг вперёд и переступаешь в другое пространство-время.,Diste un paso adelante y entraste en otro espacio-tiempo,あなたは一歩前に進み、別の時空へと踏み入れました。,"당신은 한 걸음 앞으로 나아가, 다른 차원 속으로 들어갔다.","Tu avances d'un pas, entrant dans une autre dimension",Du machst einen Schritt nach vorne und betrittst eine andere Zeit,"Você deu um passo à frente, entrando em outra dimensão",คุณก้าวไปข้างหน้า และเข้าสู่มิติเวลาอื่น,"Kamu melangkah maju, memasuki dimensi lain.","Bạn bước lên một bước, bước vào một chiều không gian khác."
StageGroup_24554_TypeText,aRgE,g关卡组_StageGroup_A.csv,157,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_24552_Name,aRgu,g关卡组_StageGroup_A.csv,158,StageGroup,Name,,一步之遥,One Step Away,Шаг от,A un paso,一歩の差,한 걸음 차이,À un pas,Ein Schritt entfernt,A um passo,ใกล้แค่เอื้อม,Hanya selangkah lagi,Chỉ một bước chân
StageGroup_24552_Desc,aRgt,g关卡组_StageGroup_A.csv,158,StageGroup,Desc,,你向前一步，跨入了另一个时空。,You take a step forward and enter another dimension.,Ты делаешь шаг вперёд и переступаешь в другое пространство-время.,Diste un paso adelante y entraste en otro espacio-tiempo,あなたは一歩前に進み、別の時空へと踏み入れました。,"당신은 한 걸음 앞으로 나아가, 다른 차원 속으로 들어갔다.","Tu avances d'un pas, entrant dans une autre dimension",Du machst einen Schritt nach vorne und betrittst eine andere Zeit,"Você deu um passo à frente, entrando em outra dimensão",คุณก้าวไปข้างหน้า และเข้าสู่มิติเวลาอื่น,"Kamu melangkah maju, memasuki dimensi lain.","Bạn bước lên một bước, bước vào một chiều không gian khác."
StageGroup_24552_TypeText,aRgw,g关卡组_StageGroup_A.csv,158,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_24531_Name,aSbY,g关卡_Stage_A.csv,1774,Stage,Name,,似雨之泪,Rainlike Tears,"Слёзы, подобные дождю",Lágrimas como lluvia,雨のような涙,비와 같은 눈물,Larmes de pluie,Tränen wie Regen,Lágrimas como chuva,น้ำตาที่คล้ายสายฝน,Air mata seperti hujan,Nước mắt như mưa
Stage_24531_Desc,aSbX,g关卡_Stage_A.csv,1774,Stage,Desc,,寻常的一天，从不同寻常的梦境开始。,An ordinary day begins with an extraordinary dream.,Обычный день начинается с необычного сновидения.,Un día normal comienza con un sueño inusual,普通の一日は、不思議な夢から始まる。,"평범한 하루, 비일상적인 꿈으로 시작됩니다。",Une journée ordinaire commence par un rêve extraordinaire,Ein gewöhnlicher Tag beginnt mit einem ungewöhnlichen Traum,Um dia comum começa com um sonho incomum,วันธรรมดาเริ่มต้นจากความฝันที่ไม่ธรรมดา。,"Hari yang biasa, dimulai dari mimpi yang tidak biasa.","Ngày thường, bắt đầu từ một giấc mơ khác thường."
AvgDialog_14530_Content_2,adIf,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,似雨之泪,Tears of Rain,"Слёзы, подобные дождю",Lágrimas como lluvia,雨のような涙,비와 같은 눈물,Larmes de pluie,Tränen wie Regen,Lágrimas como chuva,น้ำตาที่คล้ายสายฝน,Air mata seperti hujan,Nước mắt như mưa
AvgDialog_14530_Content_3,adIq,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,下坠。,Falling.,Падение.,Caída,墜落。,떨어지다.,Chute,Absturz,Queda,การร่วงลง,Jatuh.,Sụp đổ.
AvgDialog_14530_Content_4,adIB,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,你在下坠。,You are falling.,Ты падаешь.,Estás cayendo,あなたは落下しています。,당신은 추락하고 있습니다.,Tu es en chute libre,Du fällst,Você está caindo,คุณกำลังตกลงไป.,Kamu sedang jatuh.,Bạn đang rơi.
AvgDialog_14530_Content_5,adIG,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,,下坠感牵拉着你，将你的意识缓缓抽出纯黑的梦境。,"The sensation of falling pulls you, slowly drawing your consciousness out of the pitch-black dream.","Ощущение падения тянет тебя, медленно извлекая твоё сознание из чёрного сновидения.","La sensación de caída te arrastra, sacando lentamente tu conciencia del sueño negro",落下感があなたを引き寄せ、あなたの意識をゆっくりと純黒の夢から引き出していく。,"추락감이 당신을 끌어당겨, 당신의 의식을 완전히 검은 꿈에서 천천히 빼낸다.","La sensation de chute vous tire, extrayant doucement votre conscience du rêve noir","Das Gefühl des Fallens zieht dich, zieht dein Bewusstsein langsam aus dem pechschwarzen Traum","A sensação de queda te puxa, extraindo sua consciência do sonho negro",ความรู้สึกเหมือนถูกดึงลงช้าๆ กระตุ้นให้จิตสำนึกของคุณหลุดออกจากความฝันที่ดำมืด,"Sensasi jatuh menarikmu, perlahan menarik kesadaranmu keluar dari mimpi hitam.","Cảm giác rơi xuống kéo bạn, từ từ rút ý thức của bạn ra khỏi giấc mơ đen tối."
AvgDialog_14530_Content_6,adIH,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,13,AvgDialog,Content,,模糊的光影出现在你眼前，你恍惚了半晌，发现自己好像是睁开了眼睛。,"A blurry light appears before your eyes. After a moment of confusion, you realize that you seem to have opened your eyes.","Размытые тени появились перед твоими глазами, ты пребывал в замешательстве несколько мгновений и обнаружил, что, кажется, открыл глаза.","Una sombra borrosa aparece ante ti, te quedas aturdido por un momento y te das cuenta de que has abierto los ojos",ぼんやりとした光と影があなたの目の前に現れ、あなたはしばらくぼんやりしていました。目が覚めたことに気づきました。,"모호한 그림자가 눈앞에 나타나고, 잠시 망설이다가 자신이 눈을 뜬 것을 발견합니다.",Des ombres floues apparaissent devant toi. Tu clignes des yeux et réalises que tu les as ouverts,"Verschwommene Licht- und Schattenbilder erscheinen vor deinen Augen. Du blinzelst und merkst, dass du die Augen geöffnet hast","Luzes borradas aparecem diante de você. Após um momento, percebe que abriu os olhos",เงาร่างพร่ามัวปรากฏขึ้นตรงหน้าคุณ คุณรู้สึกมึนงงไปพักใหญ่ ก่อนจะพบว่าตัวเองดูเหมือนจะลืมตาขึ้นแล้ว,"Bayangan kabur muncul di depan matamu. Kamu tercengang selama beberapa saat, lalu menyadari bahwa sepertinya kamu baru saja membuka mata.","Ánh sáng mờ ảo xuất hiện trước mắt bạn, bạn ngẩn ngơ một lúc, phát hiện ra mình có vẻ như đã mở mắt."
AvgDialog_14530_Content_7,adII,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,14,AvgDialog,Content,玩家,<Gray:怎么……看不清……>,<Gray:How... can't see clearly...>,<Gray:как... не могу разглядеть...>,<Gray:¿Qué… no puedo ver…?>,<Gray:どう……見えない……>,<Gray:어떻게…보이지 않아…>,<Gray:Pourquoi… Je ne vois rien…>,<Gray:Warum…kann nicht sehen…>,<Gray:O que... Não consigo ver...>,<Gray:อย่างไร...มองไม่ชัด...>,<Gray: Bagaimana... tidak bisa melihat dengan jelas...>,<Gray:thế nào... không rõ...>
AvgDialog_14530_Content_8,adIJ,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,15,AvgDialog,Content,,一滴，两滴……微凉的液体落在你额前，滚落你的脸颊。,"One drop, two drops... A cool liquid falls on your forehead, rolling down your cheek.","Капля, две капли... прохладная жидкость падает на твой лоб, скатывается по твоему лицу.","Una gota, dos gotas... Un líquido fresco cae en tu frente y rueda por tu mejilla",一滴、二滴……微冷の液体が額に落ち、頬を伝う。,"한 방울, 두 방울…… 약간 차가운 액체가 이마에 떨어지며 볼을 타고 흘러내립니다.","Une goutte, deux gouttes... Un liquide frais tombe sur ton front, roule sur ta joue","Ein Tropfen, zwei Tropfen... Kühle Flüssigkeit tropft auf deine Stirn und rollt über deine Wange","Uma gota, duas gotas... Líquido frio cai na sua testa, desliza pela sua bochecha",หยด... สองหยด... ของเหลวเย็นๆ ค่อยๆ ตกลงบนหน้าผากของคุณ และไหลผ่านแก้มอย่างแผ่วเบา,"Setetes, dua tetes... cairan yang sedikit dingin jatuh di dahimu, menggelinding melewati pipimu.","Một giọt, hai giọt…… chất lỏng hơi lạnh rơi trên trán bạn, lăn xuống má bạn."
AvgDialog_14530_Content_9,adIK,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,16,AvgDialog,Content,玩家,雨……？,Rain...?,Дождь...?,¿Lluvia...?,雨……？,비…?,Pluie... ?,Regen...?,Chuva...?,ฝน...?,Hujan…?,Mưa……?
AvgDialog_14530_Content_10,adHV,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,17,AvgDialog,Content,,嘴唇开合，淡淡的咸味蔓延开来。\n这不是雨。,"Lips parted, a faint salty taste spread.\nThis isn't rain.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_14530_Content_11,adHW,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,玩家,<Gray:……眼泪？>,<Gray:...Tears?>,<Gray:...слёзы?>,<Gray:...¿lágrimas?>,<Gray:……涙？>,<Gray:……눈물?>,<Gray:...Des larmes?>,<Gray:…Tränen?>,<Gray:...Lágrimas?>,<Gray:...น้ำตา?>,<Gray:…… air mata?>,<Gray:…nước mắt?>
AvgDialog_14530_Content_12,adHX,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,19,AvgDialog,Content,,仿佛被雨水冲刷去了污浊，视野中的景象渐渐变得清晰起来。,"As if washed clean by the rain, the view gradually becomes clearer.","Кажется, дождь смыл всю грязь, и картина в поле зрения постепенно становится более четкой.","Como si la lluvia hubiera lavado la suciedad, la vista se aclaró gradualmente",雨水で汚れが洗い流され、視野の景色が次第に鮮明になってきた。,비에 씻겨 더러움이 사라지면서 시야 속의 풍경이 점점 선명해졌다.,"Comme lavé par la pluie, la vue devient plus claire","Es ist, als ob der Regen den Schmutz weggewaschen hat, wird die Sicht allmählich klarer","Como se lavada pela chuva, a visão ficou mais clara",ราวกับว่าสิ่งสกปรกถูกชะล้างออกไปด้วยน้ำฝน ทัศนียภาพในสายตาก็ค่อยๆ ชัดเจนขึ้น,"Seolah-olah kotoran telah tercuci oleh hujan, pemandangan di hadapan perlahan-lahan menjadi jelas.","Giống như bị nước mưa rửa sạch bụi bẩn, cảnh vật trong tầm nhìn dần dần trở nên rõ ràng hơn."
AvgDialog_14530_Content_14,adHZ,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,21,AvgDialog,Content,玩家,拉……蒙娜……,Ra... Mona...,Ла...Монна..,La... Mona,ラ……モナ……,라……모나……,La... Mona,La... Mona,La... Mona,ลา...โมนา..,Ra... Monna...,Lkéo……Mona……
AvgDialog_14530_Content_15,adIa,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,22,AvgDialog,Content,,你的呼唤戛然而止。,Your call suddenly comes to an abrupt end.,Твоё призыв резко оборвалось.,Tu llamado se detiene abruptamente,あなたの呼び声が唐突に止まった。,당신의 부름이 갑자기 멈추었습니다.,Ton appel s'interrompt brusquement,Dein Ruf verstummt,Seu chamado cessa abruptamente,เสียงเรียกของคุณหยุดลงโดยไม่ทันตั้งตัว,Panggilanmu tiba-tiba terhenti.,Giọng gọi của bạn đột nhiên tắt ngấm.
AvgDialog_14530_Content_16,adIb,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,23,AvgDialog,Content,,汹涌的压力自四面八方而来，黑色的潮水将你吞没。,"Overwhelming stress comes from all directions, and black tides engulf you.","Бурное давление со всех сторон, черные волны поглощают тебя.","La presión desbordante proviene de todas partes, y las olas negras te envuelven",四方から押し寄せるプレッシャー、黒い潮水にあなたを飲み込む。,"사방에서 몰려오는 압력, 검은 물결이 당신을 삼킨다.","Une pression écrasante vient de toutes parts, la marée noire t'engloutit","Von überall strömt der drückende Stress heran, die schwarze Flut verschlingt dich","Uma pressão avassaladora vem de todos os lados, a onda negra o engole",ความกดดันถาโถมมาจากทุกทิศทาง，น้ำท่วมสีดำได้กลืนกินคุณ。,"Gelombang tekanan yang dahsyat datang dari segala arah, air hitam menelanmu.","Áp lực dữ dội từ bốn phía ùa đến, dòng nước đen tối nuốt chửng bạn."
AvgDialog_14530_Content_17,adIc,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,24,AvgDialog,Content,玩家,……,...,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_14530_Content_18,adId,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,25,AvgDialog,Content,,钟表嘀嗒，半开的窗户透入几声鸟鸣。,"The clock ticks, and the sound of birdsong filters through the half-open window.","Часы тикают, через полуоткрытое окно доносятся несколько птичьих голосов.","El reloj hace tictac, y por la ventana entreabierta se oyen unos pájaros",時計のチクタク、半開きの窓からいくつかの鳥の鳴き声が聞こえてくる。,"시계 초침 소리가 들리며, 반쯤 열린 창문으로 새들의 지저귐이 몇 번 들려온다.","Le tic-tac de l'horloge, quelques chants d'oiseaux par la fenêtre entrouverte","Uhr tickt, Vogelgezwitscher durch halb geöffnetes Fenster","O relógio tica, a janela entreaberta deixa entrar o canto dos pássaros",นาฬิกาเดินติ๊กต่อก หน้าต่างเปิดครึ่งเผยเสียงนกขับขานเข้ามาสองสามเสียง,"Jam berdetak, beberapa suara burung terdengar masuk melalui jendela yang sedikit terbuka.","Đồng hồ tích tắc, cửa sổ hé mở để lọt vài tiếng chim hót."
AvgDialog_14530_Content_19,adIe,avgV1.1本源拉蒙娜小型支线_AvgDialog_C_M.csv,26,AvgDialog,Content,,残存的窒息感让你忍不住拍了拍胸口，你缓缓坐起，好一会儿才有醒过来的实感。,"The lingering suffocation makes you instinctively pat your chest. Slowly sitting up, it takes a while before you truly feel awake.","Оставшееся удушение заставляет тебя не выдержать и похлопать себя по груди. Ты медленно садишься, и лишь спустя некоторое время до тебя доходит, что ты действительно проснулся.","La sensación de asfixia restante te hace golpear tu pecho, te sientas lentamente y te toma un rato sentirte completamente despierto",残存する息苦しさに耐えかねて胸を叩いた。ゆっくりと起き上がり、しばらくしてようやく現実に戻った感覚がした。,"잔존하는 질식감에 견디지 못한 당신은 가슴을 두드리며 천천히 일어나 앉았고, 한참 후에야 깨어난 실감이 들었다.","La sensation d'étouffement persistante te fait tapoter ta poitrine, tu te redresses lentement, prenant un moment pour te sentir vraiment réveillé",Das verbleibende Erstickungsgefühl lässt dich auf die Brust klopfen. Du setzt dich langsam auf und fühlst dich erst nach einer Weile wirklich wach,"A sensação de sufocamento restante faz você bater no peito, você se senta lentamente, demorando um pouco para sentir que acordou",ความรู้สึกหายใจไม่ออกที่หลงเหลืออยู่ทำให้คุณยกมือขึ้นตบหน้าอกอย่างอดไม่ได้ คุณลุกขึ้นนั่งช้าๆ ใช้เวลาสักพักกว่าจะรู้สึกตัวว่าฟื้นคืนสติแล้ว,"Rasa sesak yang tersisa membuatmu tak bisa menahan diri untuk menepuk dada. Kamu perlahan bangkit dalam posisi duduk, dan butuh beberapa saat sebelum akhirnya benar-benar merasakan kesadaran penuh.","Cảm giác ngạt thở vẫn còn khiến bạn không thể kiềm chế được mà vỗ nhẹ vào ngực. Bạn từ từ ngồi dậy. Mất một lúc, bạn mới nhận ra mình đã tỉnh."
