Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_35545_Name,aRhC,g关卡组_StageGroup_A.csv,159,StageGroup,Name,,诸事如常,Eadem Omnia,Всё идёт как обычно,Todo normal,何事も変わらず,언제나처럼,Tout est normal,Alles wie gewohnt,Tudo normal,ทุกสิ่งยังคงเดิม,Segala sesuatu berjalan seperti biasa.,Mọi việc đều bình thường
StageGroup_35545_Desc,aRhB,g关卡组_StageGroup_A.csv,159,StageGroup,Desc,,这是奥瑞塔生命中平常的一天，平常得一如灾难降临后，她独自度过的每一天。,"This is an ordinary day in Aurita's life, as ordinary as every day she has spent alone since the disaster.","Это был обычный день в жизни Ореты, такой же обычный, как каждый день после катастрофы, который она проводила одна.","Este es un día común en la vida de Aurita, tan común como cada uno de sus días pasados en soledad después de la llegada del desastre",これはオーリータのライフにおいて平凡な一日であり、降臨した災害の後、彼女が独りで過ごす毎日と同じくらい普通だった。,이 날은 오레타에게 그저 평범한 하루였다. 재난이 닥친 후 홀로 보낸 모든 날처럼.,"C'est une journée ordinaire pour Aurita, aussi ordinaire que chacune de ses journées passées seule après la catastrophe","Dies ist ein gewöhnlicher Tag im Leben von Aurita, gewöhnlich genug, um wie jeden Tag zu sein, den sie seit dem Eintreffen der Katastrophen allein verbracht hat","Este é um dia comum na vida de Aurita, tão comum quanto cada dia que ela passou sozinha após a calamidade",นี่เป็นวันธรรมดาในชีวิตของออรีตา ธรรมดาเหมือนทุกวันหลังจากเกิดหายนะ เธอใช้ชีวิตอยู่ตามลำพังทุกวัน,"Ini adalah hari yang biasa dalam hidup Aurita, sebiasa setiap hari yang dia jalani sendirian setelah kedatangan bencana.","Đây là một ngày bình thường trong sức sống của Ô Ryta, bình thường như mọi ngày cô ấy đã trải qua một mình sau khi thảm họa đến."
StageGroup_35545_TypeText,aRhE,g关卡组_StageGroup_A.csv,159,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_35546_Name,aRhG,g关卡组_StageGroup_A.csv,160,StageGroup,Name,,诸事如常,Eadem Omnia,Всё идёт как обычно,Todo normal,何事も変わらず,언제나처럼,Tout est normal,Alles wie gewohnt,Tudo normal,ทุกสิ่งยังคงเดิม,Segala sesuatu berjalan seperti biasa.,Mọi việc đều bình thường
StageGroup_35546_Desc,aRhF,g关卡组_StageGroup_A.csv,160,StageGroup,Desc,,这是奥瑞塔生命中平常的一天，平常得一如灾难降临后，她独自度过的每一天。,"This is an ordinary day in Aurita's life, as ordinary as every day she has spent alone since the disaster.","Это был обычный день в жизни Ореты, такой же обычный, как каждый день после катастрофы, который она проводила одна.","Este es un día común en la vida de Aurita, tan común como cada uno de sus días pasados en soledad después de la llegada del desastre",これはオーリータのライフにおいて平凡な一日であり、降臨した災害の後、彼女が独りで過ごす毎日と同じくらい普通だった。,이 날은 오레타에게 그저 평범한 하루였다. 재난이 닥친 후 홀로 보낸 모든 날처럼.,"C'est une journée ordinaire pour Aurita, aussi ordinaire que chacune de ses journées passées seule après la catastrophe","Dies ist ein gewöhnlicher Tag im Leben von Aurita, gewöhnlich genug, um wie jeden Tag zu sein, den sie seit dem Eintreffen der Katastrophen allein verbracht hat","Este é um dia comum na vida de Aurita, tão comum quanto cada dia que ela passou sozinha após a calamidade",นี่เป็นวันธรรมดาในชีวิตของออรีตา ธรรมดาเหมือนทุกวันหลังจากเกิดหายนะ เธอใช้ชีวิตอยู่ตามลำพังทุกวัน,"Ini adalah hari yang biasa dalam hidup Aurita, sebiasa setiap hari yang dia jalani sendirian setelah kedatangan bencana.","Đây là một ngày bình thường trong sức sống của Ô Ryta, bình thường như mọi ngày cô ấy đã trải qua một mình sau khi thảm họa đến."
StageGroup_35546_TypeText,aRhI,g关卡组_StageGroup_A.csv,160,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_35544_Name,aRhy,g关卡组_StageGroup_A.csv,161,StageGroup,Name,,诸事如常,Eadem Omnia,Всё идёт как обычно,Todo normal,何事も変わらず,언제나처럼,Tout est normal,Alles wie gewohnt,Tudo normal,ทุกสิ่งยังคงเดิม,Segala sesuatu berjalan seperti biasa.,Mọi việc đều bình thường
StageGroup_35544_Desc,aRhx,g关卡组_StageGroup_A.csv,161,StageGroup,Desc,,这是奥瑞塔生命中平常的一天，平常得一如灾难降临后，她独自度过的每一天。,"This is an ordinary day in Aurita's life, as ordinary as every day she has spent alone since the disaster.","Это был обычный день в жизни Ореты, такой же обычный, как каждый день после катастрофы, который она проводила одна.","Este es un día común en la vida de Aurita, tan común como cada uno de sus días pasados en soledad después de la llegada del desastre",これはオーリータのライフにおいて平凡な一日であり、降臨した災害の後、彼女が独りで過ごす毎日と同じくらい普通だった。,이 날은 오레타에게 그저 평범한 하루였다. 재난이 닥친 후 홀로 보낸 모든 날처럼.,"C'est une journée ordinaire pour Aurita, aussi ordinaire que chacune de ses journées passées seule après la catastrophe","Dies ist ein gewöhnlicher Tag im Leben von Aurita, gewöhnlich genug, um wie jeden Tag zu sein, den sie seit dem Eintreffen der Katastrophen allein verbracht hat","Este é um dia comum na vida de Aurita, tão comum quanto cada dia que ela passou sozinha após a calamidade",นี่เป็นวันธรรมดาในชีวิตของออรีตา ธรรมดาเหมือนทุกวันหลังจากเกิดหายนะ เธอใช้ชีวิตอยู่ตามลำพังทุกวัน,"Ini adalah hari yang biasa dalam hidup Aurita, sebiasa setiap hari yang dia jalani sendirian setelah kedatangan bencana.","Đây là một ngày bình thường trong sức sống của Ô Ryta, bình thường như mọi ngày cô ấy đã trải qua một mình sau khi thảm họa đến."
StageGroup_35544_TypeText,aRhA,g关卡组_StageGroup_A.csv,161,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
