Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_36627_Name,aRim,g关卡组_StageGroup_A.csv,162,StageGroup,Name,,燃烧的群宴,Feast of Flames,Пылающий пиршество,Banquete ardiente,燃える群宴,불꽃의 향연,Festin enflammé,Brennendes Festmahl,Festa em chamas,งานเลี้ยงกลุ่มเพลิงลุกโชน,Pesta Api yang Membara,Bữa tiệc bừng cháy
StageGroup_36627_Desc,aRil,g关卡组_StageGroup_A.csv,162,StageGroup,Desc,,这是一个修士与女王的故事。\n他们来自不同的时空，最后终将归于一处。,"This is a story of a monk and a queen.\nThey come from different times and spaces, but will ultimately converge.","Это история о монахе и королеве.\nОни пришли из разных временных пространств, но в конечном итоге сойдутся в одном месте.","Esta es una historia de un monje y una reina.\nVienen de diferentes tiempos y lugares, pero al final se unirán",これは修道者と女王のストーリーです。\n彼らは異なる時空から来て、最後には一つになる運命です。,"이것은 수도사와 여왕의 이야기이다.\n그들은 서로 다른 시공간에서 왔지만, 결국 한 곳에 모이게 될 것이다.","C'est l'histoire d'un moine et d'une reine.\nIls viennent de différents temps et espaces, mais finissent par se retrouver","Das ist eine Geschichte von einem Mönch und einer Königin.\nSie kommen aus verschiedenen Zeiten und Räumen, aber am Ende werden sie vereint","Esta é a história de um monge e uma rainha.\nEles vêm de tempos diferentes, mas no final se encontram",นี่คือเรื่องราวของนักพรตและราชินี\nพวกเขามาจากช่วงเวลาที่แตกต่างกัน แต่สุดท้ายแล้วจะมาบรรจบกัน,"Ini adalah cerita seorang biarawan dan seorang ratu.\nMereka berasal dari dimensi waktu yang berbeda, namun pada akhirnya akan bertemu di satu tempat.","Đây là câu chuyện về một tu sĩ và nữ hoàng. \nHọ đến từ những không gian và thời điểm khác nhau, cuối cùng sẽ gặp nhau tại một nơi."
StageGroup_36627_TypeText,aRio,g关卡组_StageGroup_A.csv,162,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_36625_Name,aRie,g关卡组_StageGroup_A.csv,163,StageGroup,Name,,燃烧的群宴,Feast of Flames,Пылающий пиршество,Banquete ardiente,燃える群宴,불꽃의 향연,Festin enflammé,Brennendes Festmahl,Festa em chamas,งานเลี้ยงกลุ่มเพลิงลุกโชน,Pesta Api yang Membara,Bữa tiệc bừng cháy
StageGroup_36625_Desc,aRid,g关卡组_StageGroup_A.csv,163,StageGroup,Desc,,这是一个修士与女王的故事。\n他们来自不同的时空，最后终将归于一处。,"This is a story of a monk and a queen.\nThey come from different times and spaces, but will ultimately converge.","Это история о монахе и королеве.\nОни пришли из разных временных пространств, но в конечном итоге сойдутся в одном месте.","Esta es una historia de un monje y una reina.\nVienen de diferentes tiempos y lugares, pero al final se unirán",これは修道者と女王のストーリーです。\n彼らは異なる時空から来て、最後には一つになる運命です。,"이것은 수도사와 여왕의 이야기이다.\n그들은 서로 다른 시공간에서 왔지만, 결국 한 곳에 모이게 될 것이다.","C'est l'histoire d'un moine et d'une reine.\nIls viennent de différents temps et espaces, mais finissent par se retrouver","Das ist eine Geschichte von einem Mönch und einer Königin.\nSie kommen aus verschiedenen Zeiten und Räumen, aber am Ende werden sie vereint","Esta é a história de um monge e uma rainha.\nEles vêm de tempos diferentes, mas no final se encontram",นี่คือเรื่องราวของนักพรตและราชินี\nพวกเขามาจากช่วงเวลาที่แตกต่างกัน แต่สุดท้ายแล้วจะมาบรรจบกัน,"Ini adalah cerita seorang biarawan dan seorang ratu.\nMereka berasal dari dimensi waktu yang berbeda, namun pada akhirnya akan bertemu di satu tempat.","Đây là câu chuyện về một tu sĩ và nữ hoàng. \nHọ đến từ những không gian và thời điểm khác nhau, cuối cùng sẽ gặp nhau tại một nơi."
StageGroup_36625_TypeText,aRig,g关卡组_StageGroup_A.csv,163,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_36626_Name,aRii,g关卡组_StageGroup_A.csv,164,StageGroup,Name,,燃烧的群宴,Feast of Flames,Пылающий пиршество,Banquete ardiente,燃える群宴,불꽃의 향연,Festin enflammé,Brennendes Festmahl,Festa em chamas,งานเลี้ยงกลุ่มเพลิงลุกโชน,Pesta Api yang Membara,Bữa tiệc bừng cháy
StageGroup_36626_Desc,aRih,g关卡组_StageGroup_A.csv,164,StageGroup,Desc,,这是一个修士与女王的故事。\n他们来自不同的时空，最后终将归于一处。,"This is a story of a monk and a queen.\nThey come from different times and spaces, but will ultimately converge.","Это история о монахе и королеве.\nОни пришли из разных временных пространств, но в конечном итоге сойдутся в одном месте.","Esta es una historia de un monje y una reina.\nVienen de diferentes tiempos y lugares, pero al final se unirán",これは修道者と女王のストーリーです。\n彼らは異なる時空から来て、最後には一つになる運命です。,"이것은 수도사와 여왕의 이야기이다.\n그들은 서로 다른 시공간에서 왔지만, 결국 한 곳에 모이게 될 것이다.","C'est l'histoire d'un moine et d'une reine.\nIls viennent de différents temps et espaces, mais finissent par se retrouver","Das ist eine Geschichte von einem Mönch und einer Königin.\nSie kommen aus verschiedenen Zeiten und Räumen, aber am Ende werden sie vereint","Esta é a história de um monge e uma rainha.\nEles vêm de tempos diferentes, mas no final se encontram",นี่คือเรื่องราวของนักพรตและราชินี\nพวกเขามาจากช่วงเวลาที่แตกต่างกัน แต่สุดท้ายแล้วจะมาบรรจบกัน,"Ini adalah cerita seorang biarawan dan seorang ratu.\nMereka berasal dari dimensi waktu yang berbeda, namun pada akhirnya akan bertemu di satu tempat.","Đây là câu chuyện về một tu sĩ và nữ hoàng. \nHọ đến từ những không gian và thời điểm khác nhau, cuối cùng sẽ gặp nhau tại một nơi."
StageGroup_36626_TypeText,aRik,g关卡组_StageGroup_A.csv,164,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_36620_Name,aSiw,g关卡_Stage_A.csv,1689,Stage,Name,,离群的女王,Outcast Queen,Королева-отступница,La reina solitaria,孤立の女王,이탈한 여왕,Reine isolée,Verlassene Königin,Rainha solitária,ราชินีผู้โดดเดี่ยว,Ratu yang Terpencil,Nữ hoàng bị bỏ rơi
