Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_43517_Name,aRju,g关卡组_StageGroup_A.csv,165,StageGroup,Name,,巨人的陨落,The Fall of Giant,Гибель великана,Caída del gigante,巨人の没落,거인의 몰락,La chute du géant,Sturz des Riesen,Queda do Gigante,การล่มสลายของยักษ์ใหญ่,Kehancuran Raksasa,Sự sụp đổ của người khổng lồ
StageGroup_43517_Desc,aRjt,g关卡组_StageGroup_A.csv,165,StageGroup,Desc,,无尽的海洋、烈日，被流放的非利士英雄和他唯一的随从。\n这是一个关于「陨落」的故事。,"The endless ocean, the blazing sun, the exiled Philistine hero, and his only companion.\nThis is a story about ""The Fall"".","Бесконечное море, палящее солнце, изгнанный филистимский герой и его единственный спутник.\nЭто история о 《Падении》.","Océano infinito, sol ardiente, el héroe filisteo exiliado y su único acompañante.\nEsta es una historia de ""caída""",無限の海、烈日、追放されたフィリスタインの英雄と彼の唯一の従者。\nこれは「没落」の物語である。,"끝없는 바다, 뜨거운 태양, 유배된 블레셋 영웅과 그의 유일한 수행원.\n이것은 '추락'에 관한 이야기다.","Océan infini, soleil brûlant, héros philistin exilé et son unique compagnon.\nC'est une histoire de « chute »","Endloses Meer, sengende Sonne, der verbannte Philisterheld und sein einziger Begleiter.\nEine Geschichte über den „Fall“","Oceano infinito, sol escaldante, o herói filisteu exilado e seu único seguidor.\nEsta é uma história sobre ""queda""",มหาสมุทรไร้ขอบเขต ดวงอาทิตย์แผดเผา วีรบุรุษผู้ถูกเนรเทศจากฟิลิสเตียและผู้ติดตามคนเดียวของเขา \n นี่คือเรื่องราวเกี่ยวกับ「การล่มสลาย」,"Lautan tanpa batas, matahari terik, pahlawan Filistin yang diasingkan dan satu-satunya pengikutnya.\nIni adalah sebuah cerita tentang 「kejatuhan」.","Biển cả vô tận, mặt trời chói chang, người anh hùng Philistia bị lưu đày và người hầu cận duy nhất của ông. \nĐây là câu chuyện về 「sự sa ngã」."
StageGroup_43517_TypeText,aRjw,g关卡组_StageGroup_A.csv,165,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_43515_Name,aRjm,g关卡组_StageGroup_A.csv,166,StageGroup,Name,,巨人的陨落,The Fall of Giant,Гибель великана,Caída del gigante,巨人の没落,거인의 몰락,La chute du géant,Sturz des Riesen,Queda do Gigante,การล่มสลายของยักษ์ใหญ่,Kehancuran Raksasa,Sự sụp đổ của người khổng lồ
StageGroup_43515_Desc,aRjl,g关卡组_StageGroup_A.csv,166,StageGroup,Desc,,无尽的海洋、烈日，被流放的非利士英雄和他唯一的随从。\n这是一个关于「陨落」的故事。,"The endless ocean, the blazing sun, the exiled Philistine hero, and his only companion.\nThis is a story about ""The Fall"".","Бесконечное море, палящее солнце, изгнанный филистимский герой и его единственный спутник.\nЭто история о 《Падении》.","Océano infinito, sol ardiente, el héroe filisteo exiliado y su único acompañante.\nEsta es una historia de ""caída""",無限の海、烈日、追放されたフィリスタインの英雄と彼の唯一の従者。\nこれは「没落」の物語である。,"끝없는 바다, 뜨거운 태양, 유배된 블레셋 영웅과 그의 유일한 수행원.\n이것은 '추락'에 관한 이야기다.","Océan infini, soleil brûlant, héros philistin exilé et son unique compagnon.\nC'est une histoire de « chute »","Endloses Meer, sengende Sonne, der verbannte Philisterheld und sein einziger Begleiter.\nEine Geschichte über den „Fall“","Oceano infinito, sol escaldante, o herói filisteu exilado e seu único seguidor.\nEsta é uma história sobre ""queda""",มหาสมุทรไร้ขอบเขต ดวงอาทิตย์แผดเผา วีรบุรุษผู้ถูกเนรเทศจากฟิลิสเตียและผู้ติดตามคนเดียวของเขา \n นี่คือเรื่องราวเกี่ยวกับ「การล่มสลาย」,"Lautan tanpa batas, matahari terik, pahlawan Filistin yang diasingkan dan satu-satunya pengikutnya.\nIni adalah sebuah cerita tentang 「kejatuhan」.","Biển cả vô tận, mặt trời chói chang, người anh hùng Philistia bị lưu đày và người hầu cận duy nhất của ông. \nĐây là câu chuyện về 「sự sa ngã」."
StageGroup_43515_TypeText,aRjo,g关卡组_StageGroup_A.csv,166,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
StageGroup_43516_Name,aRjq,g关卡组_StageGroup_A.csv,167,StageGroup,Name,,巨人的陨落,The Fall of Giant,Гибель великана,Caída del gigante,巨人の没落,거인의 몰락,La chute du géant,Sturz des Riesen,Queda do Gigante,การล่มสลายของยักษ์ใหญ่,Kehancuran Raksasa,Sự sụp đổ của người khổng lồ
StageGroup_43516_Desc,aRjp,g关卡组_StageGroup_A.csv,167,StageGroup,Desc,,无尽的海洋、烈日，被流放的非利士英雄和他唯一的随从。\n这是一个关于「陨落」的故事。,"The endless ocean, the blazing sun, the exiled Philistine hero, and his only companion.\nThis is a story about ""The Fall"".","Бесконечное море, палящее солнце, изгнанный филистимский герой и его единственный спутник.\nЭто история о 《Падении》.","Océano infinito, sol ardiente, el héroe filisteo exiliado y su único acompañante.\nEsta es una historia de ""caída""",無限の海、烈日、追放されたフィリスタインの英雄と彼の唯一の従者。\nこれは「没落」の物語である。,"끝없는 바다, 뜨거운 태양, 유배된 블레셋 영웅과 그의 유일한 수행원.\n이것은 '추락'에 관한 이야기다.","Océan infini, soleil brûlant, héros philistin exilé et son unique compagnon.\nC'est une histoire de « chute »","Endloses Meer, sengende Sonne, der verbannte Philisterheld und sein einziger Begleiter.\nEine Geschichte über den „Fall“","Oceano infinito, sol escaldante, o herói filisteu exilado e seu único seguidor.\nEsta é uma história sobre ""queda""",มหาสมุทรไร้ขอบเขต ดวงอาทิตย์แผดเผา วีรบุรุษผู้ถูกเนรเทศจากฟิลิสเตียและผู้ติดตามคนเดียวของเขา \n นี่คือเรื่องราวเกี่ยวกับ「การล่มสลาย」,"Lautan tanpa batas, matahari terik, pahlawan Filistin yang diasingkan dan satu-satunya pengikutnya.\nIni adalah sebuah cerita tentang 「kejatuhan」.","Biển cả vô tận, mặt trời chói chang, người anh hùng Philistia bị lưu đày và người hầu cận duy nhất của ông. \nĐây là câu chuyện về 「sự sa ngã」."
StageGroup_43516_TypeText,aRjs,g关卡组_StageGroup_A.csv,167,StageGroup,TypeText,,意识潜游,Psyche Deepdive,Скиталец,El errante,意識潜航,의식 잠수,Le vagabond,Das Wandern,O errante,ผู้พเนจร,Yang berkelana,Kẻ lang thang
,,,,,,,,,,,,,,,,,,
Stage_43508_Name,aSlz,g关卡_Stage_A.csv,1780,Stage,Name,,无依之海,Unmoored Sea,Бескрайнее море,Mar de desamparo,無依の海,무의지해,Mer sans attache,Meer der Verlassenen,Mar de Desamparo,ทะเลไร้ที่พึ่ง,Laut Tanpa Sandaran,Biển Cô Độc
