Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_51755_Name,aRpu,g关卡组_StageGroup_A.csv,169,StageGroup,Name,,亵渎,Desecrate,Богохульство,Blasfemia,冒涜,모독,Profanation,Blasphemie,Profanação,การหมิ่นประมาท,Penghujatan,Phỉ báng
StageGroup_51755_Desc,aRpt,g关卡组_StageGroup_A.csv,169,StageGroup,Desc,,一个海洋死去了，她埋葬海的尸体。\n深海的倒影上，王的梦境消散，神的国度也已腐朽。\n她看见，自己从旧日的幻梦中走来，走入未来坍塌的废墟。\n她询问深渊，深渊缄默不语。\n她向深渊祭祀，回应她的，只有她自己。,"An ocean perished, and she buried the ocean's remains.\nOn the reflection of the deep ocean, her King's dream dissipates, and the Divine Realm decays.\nShe emerges from ancient dreams, stepping into the ruins of a collapsing future.\nShe questions the Abyss, but the Abyss remains silent.\nShe offers sacrifices to the Abyss, only to hear her own echo.","Один океан умер, она похоронила тело моря.\nНа отражении глубокого моря, сновидение короля рассеялось, и царство бога уже подверглось гниению.\nОна увидела себя, идущую из старых грез в руины будущего.\nОна вопрошала абисс, но абисс безмолвствовал.\nОна приносила жертвоприношение абиссу, и только она сама ответила ей.","Un océano murió, ella enterró el cadáver del mar.\nEn el reflejo del abismo, el sueño del rey se desvaneció, el reino de los dioses se pudrió.\nElla vio, caminando desde los sueños del pasado hacia las ruinas del futuro.\nPreguntó al abismo, el abismo guardó silencio.\nOfreció sacrificios al abismo, y solo ella misma respondió",一つの海が死に、彼女は海の死体を埋葬した。\n深海の反射に、王の夢が消え、神の国も腐敗した。\n彼女は、古い幻想から未来の崩壊した廃墟へと歩んでくる自分を見た。\n彼女は深淵に問いかけたが、深淵は黙っていた。\n彼女が深淵に祭祀を捧げると、彼女に応答するものは、彼女自身だけだった。,"한 바다가 죽었고, 그녀는 그 유해를 묻었다.\n심해의 물결에 비친 상 위에서 왕의 꿈은 사라지고, 신국은 부패했다.\n그녀는 과거의 환상에서 걸어와 미래의 무너진 폐허로 들어가는 자신의 모습을 보았다.\n그녀는 심연에 물었으나, 심연은 침묵으로 일관했다. \n그녀는 심연에 제사를 지냈지만, 응답한 것은 그녀 자신뿐이었다.","Un océan est mort, elle a enterré le cadavre de la mer.\nDans le reflet des abysses, le rêve du roi s'est dissipé, le royaume des dieux est en ruine.\nElle voit, venant des rêves anciens, marchant vers les ruines du futur effondré.\nElle interroge l'abîme, l'abîme reste silencieux.\nElle sacrifie à l'abîme, seule elle-même lui répond","Ein Ozean starb, sie begrub die Leiche des Meeres.\nIm Spiegelbild der Tiefsee zerfiel der Traum des Königs, das Reich der Götter verfiel.\nSie sah sich selbst aus alten Träumen kommen und in die Ruinen der Zukunft gehen.\nSie fragte den Abgrund, der Abgrund schwieg.\nSie opferte dem Abgrund, und die einzige Antwort war sie selbst","Um oceano morreu, ela enterrou o corpo do mar.\nNo reflexo das profundezas, o sonho do rei se dissipou, o reino dos deuses apodreceu.\nEla viu-se emergir dos antigos sonhos ilusórios, entrando nas ruínas do futuro colapsado.\nEla perguntou ao abismo, o abismo permaneceu em silêncio.\nEla ofereceu sacrifícios ao abismo, e a única resposta foi ela mesma",มหาสมุทรหนึ่งตายไปแล้ว เธอปกปิดร่างของทะเลนั้น\nในเงาสะท้อนของทะเลลึก ความฝันของกษัตริย์จางหาย และอาณาจักรแห่งเทพก็ได้เสื่อมสลาย\nเธอเห็นตัวเองก้าวออกมาจากภาพลวงในอดีต สู่ซากปรักหักพังของอนาคตที่พินาศ\nเธอถามกับเหว เหวนั้นเงียบงัน\nเธอถวายเครื่องสังเวยแด่เหว แต่คำตอบที่ได้กลับมานั้นมีเพียงแค่ตัวเธอเอง,"Sebuah lautan mati, dia menguburkan tubuh laut itu.\nDi atas pantulan Aequor, mimpi sang Raja memudar, dan kerajaan para dewa telah mengalami pembusukan.\nDia melihat dirinya sendiri datang dari ilusi hari-hari lampau, melangkah ke dalam reruntuhan masa depan yang runtuh.\nDia bertanya kepada Jurang, namun Jurang tetap bungkam.\nDia memberikan persembahan kepada Jurang, dan yang menjawabnya hanyalah dirinya sendiri.","Một đại dương đã chết, cô chôn cất xác của biển cả. \n Trên phản chiếu của biển sâu, giấc mơ của vua tan biến, vương quốc của thần đã thối rữa. \n Cô thấy mình từ những ảo mộng xưa cũ bước ra, bước vào đống đổ nát tương lai sụp đổ. \n Cô hỏi hố sâu, hố sâu im lặng không trả lời. \n Cô tế lễ cho hố sâu, đáp lại cô chỉ có chính bản thân cô."
StageGroup_51755_TypeText,aRpw,g关卡组_StageGroup_A.csv,169,StageGroup,TypeText,,异梦视界,Dreamscape,Сонный пейзаж,Paisaje onírico,異夢視界,이몽세계,Paysage de rêve,Traumlandschaft,Paisagem dos sonhos,โลกแห่งความฝัน,Lanskap mimpi,Thế giới mộng mơ
,,,,,,,,,,,,,,,,,,
Stage_51769_Name,aSKm,g关卡_Stage_A.csv,1810,Stage,Name,,预言,Prophecy,Пророчество,Profecía,予言,예언,Prophétie,Prophezeiung,Profecia,คำทำนาย,Ramalan,Dự ngôn
Stage_51769_Desc,aSKl,g关卡_Stage_A.csv,1810,Stage,Desc,,祈祷，是利莫里亚人学会的第一件事。,Prayer is the first thing the Lemurians learned.,"Молитва, это первое, чему научились лиморийцы.",La oración es lo primero que el lemuriano aprende,祈り、リモリアンが最初に学んだことだ。,기도는 리모리아인이 배운 첫 번째 것이었습니다.,La prière est la première chose que les lémuriens ont appris,"Das Gebet ist die erste Sache, die die lemurischen Menschen lernten",A primeira coisa que os Lemurianos aprenderam foi a orar,การสวดมนต์ เป็นสิ่งแรกที่ชาวลีมูเรียเรียนรู้，,"Doa, adalah hal pertama yang dipelajari oleh Lemurian.","Cầu nguyện, điều đầu tiên mà người Lemuria học được chính là."
AvgDialog_47176_Content_1,amdd,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,9,AvgDialog,Content,,预言,Prophecy,Пророчество,Profecía,予言,예언,Prophétie,Prophezeiung,Profecia,คำทำนาย,Ramalan,Dự ngôn
AvgDialog_47176_Content_2,amdQ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,10,AvgDialog,Content,,「王座的幻梦中，王聆听神明的启示：」,"Deep in the dream crowning the Throne, He listeneth to the divine revelation:",《Во сне о троне король слушает откровение богов:》,"「En el sueño del trono, el rey escucha las revelaciones de los dioses:」",「玉座の幻夢の中で、王は神の啓示を聴く：」,“왕좌의 환몽에서 왕은 신성의 계시를 듣는다：”,"「Dans le rêve fantomatique du trône, le roi écoute l'inspiration du dieu :」",「Im Traumbild des Thrones lauscht der König der Offenbarung des Gottes:」,"'No sonho do trono, o rei escuta a revelação do Deus:'",「ในนิมิตแห่งบัลลังก์ พระราชาทรงรับฟังคำบอกของเทพเจ้า。」,"「Dalam mimpi ilusi Takhta, Raja mendengarkan wahyu dari para Dewa:」","「Trong ảo mộng của ngai vàng, nhà vua lắng nghe lời chỉ dẫn của thần minh:」"
AvgDialog_47176_Content_3,ameb,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,11,AvgDialog,Content,,「利莫里亚的风暴将平息。利莫里亚的深渊将消逝。」,Lemuria's tempest will surrender in slience. Lemuria's abyss will drown in salvation.,《Буря в Лимурии утихнет. Абисс в Лимурии исчезнет.》,「La tormenta de Lemuria se calmará. El abismo de Lemuria desaparecerá.」,「リモリアの嵐は静まるだろう。リモリアの深淵は消え去るだろう。」,“리모리아의 폭풍은 잦아들 것이다. 리모리아의 심연은 사라질 것이다.”,「La tempête de Lemuria s'apaisera. L'abîme de Lemuria disparaîtra.」,「Der Sturm von Lemuria wird sich legen. Der Abgrund von Lemuria wird verschwinden.」,「A tempestade de Lemúria vai acalmar. O abismo de Lemúria vai desaparecer.」,「พายุของลีมูเรียจะสงบลง เหวของลีมูเรียจะจางหายไป。」,「Badai di Lemuria akan mereda. Jurang di Lemuria akan lenyap.」,「Cơn bão Lemuria sẽ lắng xuống. Hố sâu Lemuria sẽ biến mất.」
AvgDialog_47176_Content_4,amem,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,12,AvgDialog,Content,,「王将庇护他良善的子民，带来神的国度。\n温柔的水，润泽每一寸草木……」,"His glory will descend, His realm will beckon,\nAs the tides bowing, brooklets teeming...",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
