Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_88934_Name,bwCr,g关卡组_StageGroup_A.csv,174,StageGroup,Name,,天边之外·上,Beyond the Skies Part I,За горизонтом·Вверх,#N/A,天辺の向こう・上,하늘의 저편·상,#N/A,#N/A,#N/A,นอกขอบฟ้า·บน,Di atas cakrawala·Atas,Bên kia chân trời·Trên
StageGroup_88934_Desc,bwCq,g关卡组_StageGroup_A.csv,174,StageGroup,Desc,,这是一首鸟儿对天空鸣唱的歌谣。\n外面的世界究竟是什么样？\n是否有忠诚的骑士与美丽的公主，有无垠的草原与神勇的骏马？\n去吧，去看看吧，今天就准备出发。\n咬断脚镣与栏杆，向着星空与月亮飞吧。\n不必害怕受伤与饥渴。\n那自由之路的尽头，必将充满清泉与鲜花。,"This is a ballad of birds singing to the sky:\nWhat does the outside world hold? Is there an end to the distant horizon?\nWill there be loyal knights and beautiful princesses?\nAre there boundless grasslands, mighty steeds waiting?\nGo—go and see for yourself.\nToday, the journey begins.","Это песня, которую поет птица для неба.\nКаков внешний мир?\nЕсть ли верные рыцари и красивые принцессы, бескрайние поляны и благородные скакуны？\nИдите, взгляните, готовьтесь к выходу сегодня.\nПокусайте оковы и перила, летите к звездам и луне.\nНе бойтесь ран и голода.\nКонец пути свободы должен быть полон родников и цветов.",#N/A,これは鳥が空に歌う歌だ。\n外の世界は一体どんな様子なのか？\n忠実な騎士や美しい公主、無限の草原や勇敢な名馬がいるのか？\n行け、行って見てこい、今日出発の準備をしよう。\n足かせや柵を断ち切り、星空と月明かりに向かって飛ぼう。\n怪我や飢えを恐れることはない。\nその自由の道の終わりには、必ず清泉と花が満ちているだろう。,"이것은 새가 하늘에게 지저귀는 노래다.\n바깥 세상은 어떤 모습일까?\n충직한 기사와 아름다운 공주, 끝없는 초원과 용맹한 말들이 있을까?\n가라, 가서 보거라. 오늘 바로 떠날 준비를 하라.\n족쇄와 난간을 끊고, 별과 달을 향해 날아라.\n상처와 굶주림을 두려워하지 마라.\n자유의 길의 끝에는 반드시 맑은 샘과 꽃이 가득할 것이다.",#N/A,#N/A,#N/A,นี่คือเพลงที่นกขับร้องให้ฟ้าผ่า。\nโลกภายนอกเป็นเช่นไร？\nมีอัศวินที่ซื่อสัตย์และเจ้าหญิงที่สวยงาม มีทุ่งหญ้าอันไม่มีที่สิ้นสุดและม้าผ่าเหล่าภูเขา?\nไปเถอะ ไปดูเถอะ เตรียมตัวออกเดินทางวันนี้\nกัดโซ่ตรวนและราวเหล็ก ทำให้บินไปสู่ท้องฟ้าและดวงจันทร์\nไม่ต้องกลัวการบาดเจ็บหรือความหิว\nที่ปลายถนนแห่งเสรีภาพ จะต้องเต็มไปด้วยน้ำพุและดอกไม้,"Ini adalah sebuah lagu yang dinyanyikan burung untuk langit.\nBagaimana dunia di luar sana?\nApakah ada kesatria setia dan putri cantik, padang rumput yang tak terbatas dan kuda-kuda gagah? \nAyo, pergi dan lihatlah, hari ini sudah siap untuk berangkat.\nGigit rantai dan pagar, terbang ke arah bintang dan bulan.\nJangan takut akan luka dan rasa lapar.\nDi ujung jalan kebebasan, pasti akan dipenuhi mata air dan bunga.","Đây là một bài ca chim hót về bầu trời.\nThế giới bên ngoài rốt cuộc như thế nào?\nCó những hiệp sĩ trung thành và những công chúa xinh đẹp, có những cánh đồng bao la và những chú ngựa dũng mãnh không?\nHãy đi đi, hãy đi xem, hôm nay chuẩn bị lên đường nhé.\nGặm đứt xích chân và hàng rào, bay về phía bầu trời sao và mặt trăng.\nĐừng sợ bị thương và đói.\nCái kết thúc của con đường tự do, chắc chắn sẽ tràn đầy suối nguồn và hoa tươi."
StageGroup_88934_TypeText,bwCt,g关卡组_StageGroup_A.csv,174,StageGroup,TypeText,,异梦视界,Dreamscape,Сонный пейзаж,Paisaje onírico,異夢視界,이몽세계,Paysage de rêve,Traumlandschaft,Paisagem dos sonhos,โลกแห่งความฝัน,Lanskap mimpi,Thế giới mộng mơ
,,,,,,,,,,,,,,,,,,
Stage_88903_Name,bwEk,g关卡_Stage_A.csv,1879,Stage,Name,,飞鸟之心,Heart of a Fledgling,Сердце ручной птицы,#N/A,飛鳥の心,날아다니는 새의 심장,#N/A,#N/A,#N/A,หัวใจของนกที่บิน,Hati burung terbang,Trái tim của loài chim
Stage_88903_Desc,bwEj,g关卡_Stage_A.csv,1879,Stage,Desc,,你可以关住一只鸟，但无法关住一颗自由的心。,"You can cage a bird, but you cannot cage a free heart.","Ты можешь запереть птицу, но не можешь запереть свободное сердце.",#N/A,あなたは一羽の鳥を閉じ込めることができるが、自由な心を閉じ込めることはできない。,"너는 한 마리 새는 가둘 수 있지만, 자유로운 마음은 가둘 수 없다.",#N/A,#N/A,#N/A,คุณสามารถกักนกตัวหนึ่งไว้ แต่ไม่สามารถกักจิตใจที่เป็นอิสระ,"Kamu bisa mengurung seekor burung, tetapi tidak bisa mengurung hati yang bebas.","Bạn có thể nhốt một con chim, nhưng không thể nhốt một tâm hồn tự do."
AvgDialog_81525_Content_1,brXH,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,8,AvgDialog,Content,,飞鸟之心,Heart of a Fledgling,Сердце ручной птицы,#N/A,飛鳥の心,날아다니는 새의 심장,#N/A,#N/A,#N/A,หัวใจของนกที่บิน,Hati burung terbang,Trái tim của loài chim
AvgDialog_81525_Content_2,brXZ,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,双生的圣子将承接祂的意志，\n让正义的持灯者降临人间。,"The Twin Divi shall bear His will, to bring the just Lightbearer to the mortal world.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_81525_Content_3,brYk,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,那纯银塑身者将带来无罪的净土，\n使所有的义人都前往永无苦难的极乐之地。,"The Silver One shall bring the innocent a purfied land, leading all the righteous to a paradise free of suffering forever.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_81525_Content_4,brYv,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,AF31@1年\n勒姆瓦希行动后,AF 31@1\nAfter the Remouahe Operation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgDialog_81525_Content_5,brYG,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,,一行行身量、步伐别无二致的侍女笼着轻纱，在圣子的寝宫中如梭般安静穿行。,"Maid after maid, indistinguishable in stature and stride, draped in gauze, moved silently like shuttles through the chambers of the Divus.","В ряде аккуратно одетых служанок, затянутых в легкие ткани, тихо проходили пожарные в покоях Сына.",#N/A,身長・歩き方が全く異ならない侍女たちが薄いヴェールに包まれ、聖子の寝室で静かに行き交っています。,한 줄기 길고 같은 크기의 시녀들이 얇은 베일을 두르고 성자의 침실에서 조용히 나아간다.,#N/A,#N/A,#N/A,สาวใช้จำนวนมากที่มีรูปร่างและก้าวที่เหมือนกัน สวมผ้าคลุมเบาๆ เดินเงียบ ๆ เข้าสู่ห้องนอนของพระบุตร,"Sekelompok pelayan dengan ukuran tubuh dan langkah yang tak berbeda, dibalut kain tipis, berjalan dengan tenang seperti jarum dalam kamar tidur si Putra Suci.","Những người hầu gái với chiều cao và bước đi đồng nhất, đeo một lớp voan nhẹ, lặng lẽ di chuyển như một chiếc thoi trong phòng ngủ của Thánh Tử."
AvgDialog_81525_Content_6,brYR,avgV2.0卡斯托尔小型支线_AvgDialog_C_M.csv,13,AvgDialog,Content,,起居、洗漱、更衣、用饭，圣子的一切都由她们侍奉。,"They serve Divus in all aspects of daily life, from sleeping and washing to changing clothes and eating meals.","Уборка, умывание, смена одежды, прием пищи — все это для Сына Святого осуществляют они.",#N/A,生活、洗面、着替え、食事、聖子のすべては彼女たちに奉仕されている。,"생활, 세면, 옷 갈아입기, 식사, 성자의 모든 것은 그녀들이 시중을 들었다.",#N/A,#N/A,#N/A,การใช้ชีวิตประจำวัน การล้างตัว การแต่งตัว การกิน ทุกอย่างของบุตรชายศักดิ์สิทธิ์มีคนคอยดูแลทั้งหมด,"Aktivitas, mencuci, berganti pakaian, makan - semua hal yang harus dilayani oleh Yang Mulia.","Sống, rửa mặt, thay đồ, ăn cơm, tất cả mọi thứ của Thánh Tử đều do họ phục vụ."
