Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_91021_Name,bypX,g关卡组_StageGroup_A.csv,175,StageGroup,Name,,征厨房记,Culinary Dominion,Запись о завоевании кухни,#N/A,征厨房記,주방 정복기,#N/A,#N/A,#N/A,บันทึกครัวพิชิต,Catatan Dapur Penaklukan,Nhật ký nhà bếp
StageGroup_91021_Desc,bypW,g关卡组_StageGroup_A.csv,175,StageGroup,Desc,,这是一场源于饥饿的战争。\n我们以战士的名义起誓：厨房虽小，征之必胜。,This war was forged in hunger's furnace. \nBy the warrior's oath we swear: even the meanest kitchen shall bow to our appetites!,"Это война, вызванная голодом. \nМы клянемся от имени воинов: хоть кухня и мала, но мы обязательно победим.",#N/A,これは飢餓から始まった戦争だ。\n我々は戦士の名のもとに誓う：キッチンは小さいが、征服必勝。 ,이것은 배고픔에서 시작된 전쟁이다.\n우리는 전사의 이름으로 맹세한다: 주방이 작아도 반드시 승리하리라.,#N/A,#N/A,#N/A,นี่คือสงครามที่เกิดจากความหิวโหย。\nเราขอสาบานในนามของนักรบ ห้องครัวอาจเล็ก แต่เราจะชนะ,"Ini adalah perang yang berasal dari kelaparan.\nKami bersumpah atas nama para pejuang: meskipun dapurnya kecil, kami akan menang.","Đây là một cuộc chiến xuất phát từ nỗi đói khát.\nChúng ta thề với danh nghĩa của những chiến binh: Dù bếp nhỏ, nhưng sẽ chiến thắng."
StageGroup_91021_TypeText,bypY,g关卡组_StageGroup_A.csv,175,StageGroup,TypeText,,异梦视界,Dreamscape,Сонный пейзаж,Paisaje onírico,異夢視界,이몽세계,Paysage de rêve,Traumlandschaft,Paisagem dos sonhos,โลกแห่งความฝัน,Lanskap mimpi,Thế giới mộng mơ
,,,,,,,,,,,,,,,,,,
Stage_91088_Name,byrI,g关卡_Stage_A.csv,1885,Stage,Name,,奴隶与奴隶主,Slave and Master,Раб и рабовладелец,#N/A,奴隷と奴隷主,노예와 노예주,#N/A,#N/A,#N/A,ทาสกับนายทาส,Budak dan Tuan Budak,Nô lệ và chủ nô
Stage_91088_Desc,byrH,g关卡_Stage_A.csv,1885,Stage,Desc,,他们是主仆、是凶手与死者、是同一片废墟的遗物。\n循着血脉的饥渴，他们在同一扇门前不期而遇。,"Master and servant, murderer and slain: They are two relics of a fallen age. \nBound by blood's hunger, they meet as fate decrees at the selfsame gate.","Они хозяева и рабы, убийцы и жертвы, артефакты одной и той же разрухи.\nСледуя жажде их крови, они случайно встретились у одной двери.",#N/A,彼らは主人と奴隷、殺人者と死者、同じ廃墟の遺物です。\n血脈の渇望に従い、同じ扉の前で偶然出会います。,"그들은 주인과 하인, 범죄자와 희생자, 같은 폐허의 유물이다.\n혈맥의 갈증을 따라 그들은 같은 문 앞에서 우연히 마주쳤다.",#N/A,#N/A,#N/A,พวกเขาคือเจ้านายกับลูกน้อง ฆาตกรกับเหยื่อ เป็นมรดกของซากปรักหักพังอันเดียวกัน。\nตามความกระหายเลือด พวกเขาพบกันโดยไม่ทันตั้งตัวที่ประตูเดียวกัน。,"Mereka adalah tuan dan budak, adalah pelaku dan korban, adalah sisa-sisa dari puing-puing yang sama.\nMenelusuri haus darah, mereka bertemu di depan pintu yang sama tanpa sengaja.","Họ là chủ và nô lệ, là kẻ sát nhân và nạn nhân, là di vật của cùng một đống đổ nát. \nTheo cơn khát máu huyết, họ tình cờ gặp nhau tại một cánh cửa duy nhất."
AvgDialog_91726_Content_1,byww,avgV2.2罗马特别活动小型支线_AvgDialog_C_M.csv,8,AvgDialog,Content,,奴隶与奴隶主,Slave and Master,Раб и рабовладелец,#N/A,奴隷と奴隷主,노예와 노예주,#N/A,#N/A,#N/A,ทาสกับนายทาส,Budak dan Tuan Budak,Nô lệ và chủ nô
AvgDialog_91726_Content_2,bywH,avgV2.2罗马特别活动小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,阿格里帕,由于银芯的物理特性，调查员在使用银芯制品时应注意……以下几个……,"Due to the physical properties of Silver Cores, investigators should pay attention while using Silver Core products in the following aspects...",Из-за физических свойств серебра детективам следует обратить внимание на использование серебряных изделий... на следующие несколько...,#N/A,銀芯の物理特性のため、調査員は銀芯製品を使用する際には……以下のいくつかに注意しなければなりません……,"은심의 물리적 특성으로 인해, 조사원은 은심 제품을 사용할 때 주의해야 할 사항이…… 다음 몇 가지……",#N/A,#N/A,#N/A,"เนื่องจากคุณสมบัติทางฟิสิกส์ของเงิน, นักสืบควรระมัดระวังเมื่อใช้ผลิตภัณฑ์เศษเงิน… ต่อไปนี้บางข้อ……","Karena sifat fisik perak, penyelidik harus memperhatikan saat menggunakan produk chip perak... beberapa hal berikut...","Do đặc tính vật lý của bạc, điều tra viên nên chú ý khi sử dụng sản phẩm mảnh bạc… những điều sau sẽ được nêu ra……"
AvgDialog_91726_Content_3,bywS,avgV2.2罗马特别活动小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,阿格里帕,及格……几……,As... pe... zZZZ...,Сдать… несколько…,#N/A,合格…数…,통과하다……몇……,#N/A,#N/A,#N/A,ผ่าน...กี่...,Lulus...berapa...,Đủ điểm … vài …
AvgDialog_91726_Content_4,byxd,avgV2.2罗马特别活动小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,砰的一声，阿格里帕一点一点的脑袋一下砸到了宿舍的书桌上，撞出了一块清晰的红印。,"Agrippa's head nods forward as she dozes off, until it slam down onto the desk, leaving an angry red mark on her forehead.","С громким стуком голова Агриппы со всей силы ударилась о стол в общежитии, оставив четкий красный след.",#N/A,バンという音と共に、アグリッパの頭が少しずつ宿舎の机にぶつかってはっきりした赤い跡を残した。,"팡 하는 소리와 함께, 아그리파의 머리가 천천히 기숙사 책상 위로 떨어지며, 또렷한 붉은 자국을 남겼습니다.",#N/A,#N/A,#N/A,เสียงดังปัง อักริปปาหัวของเขาไปกระทบกับโต๊ะในหอพัก ทำให้เกิดรอยแดงอย่างชัดเจน,"Dengan suara berdentum, kepala Agrippa perlahan-lahan menabrak meja belajar di asrama, meninggalkan bekas merah yang jelas.","Bùng một tiếng, đầu Agrippa cái một đâm xuống bàn học trong ký túc, để lại một vết đỏ rõ ràng."
