Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
StageGroup_74338_Name,aRHu,g关卡组_StageGroup_A.csv,180,StageGroup,Name,,逆转回合,My Turn!,Обратный ход,#N/A,逆転のターン,역전의 턴,#N/A,#N/A,#N/A,พลิกกลับรอบ,Membalikkan Giliran,Đảo chiều lượt
StageGroup_74338_Desc,aRHt,g关卡组_StageGroup_A.csv,180,StageGroup,Desc,,相位对弈迎来了神秘存在，头生双角的少女向众人发起赌约。\n收集橡果，击败强敌，一切都为了将空间再次逆转。\n当划破长空的银光击破照耀万象的烈阳之时，少女才恍然明悟。\n原来她始终无法放下的，是来自过去的执念。\n镣铐已破，执念已除，结束旅途的少女，为朋友送上最真挚的祝福。,"Traphase welcomes a mysterious presence, a girl with twin horns initiates a bet with everyone.\nCollect acorns and defeat strong enemies, all to reverse space once again.\nWhen the silver light cutting through the sky shatters the blazing sun illuminating all, the girl finally realizes.\nWhat she has been unable to let go of all along is the obsession from the past.\nThe shackles are broken, the obsession is removed, and as the journey comes to an end, the girl offers her truest blessings to her friends.","Фазовый поединок встречает таинственное существо, девушка с двумя рогами на голове бросает вызов публике.\nСобирать жёлуди, побеждать сильных врагов, всё это чтобы изменить пространство.\nКогда серебряный свет, рассекающий небо, разрушает яркое солнце, освещающее всё сущее, девушка внезапно обретает просветление.\nОказывается, то, что она не могла отпустить, это навязчивая идея из прошлого.\nОковы разрушены, навязчивая идея устранена, завершившая путешествие девушка дарит друзьям самое искреннее благословение.",#N/A,フェイズマッチに謎の存在が現れた。頭に二つの角を持つ少女が、みんなに賭けを仕掛ける。\nクリを集めて強敵を倒し、すべては空間を再び逆転させるためだった。\n長空を切り裂く銀光が万物を照らす烈日を打ち破ったとき、少女はようやく明悟する。\n彼女がついに手放せなかったのは、過去からの執念であった。\n鎖は壊れ、執念は消え、終了した旅の中で少女は友人に最も真摯なブレスを送った。,"페이즈 체스에 신비한 존재가 등장했다. 머리에 뿔이 두 개 달린 소녀는 여러 사람에게 도전장을 내밀었다.\n도토리를 모으고, 강적을 쓰러뜨리며 공간을 다시 뒤집고자 했다.\n하늘을 가르는 은빛 광선이 만물을 비추는 태양을 꿰뚫었을 때, 소녀는 비로소 깨달았다.\n그녀가 끝내 내려놓지 못한 것은 과거의 집착이었다.\n족쇄는 부서지고, 집착은 사라졌다. 여행을 마친 소녀는 친구들에게 진심 어린 축복을 전했다.",#N/A,#N/A,#N/A,การเล่นหมากรุกเฟสได้ต้อนรับผู้มีความลี้ลับ สาวน้อยที่มีเขาสองข้างได้เสนอการพนันแก่ทุกคน \nรวบรวมเมล็ดโอ๊ค พิชิตศัตรูที่แข็งแกร่ง ทุกอย่างเพื่อพลิกผันพื้นที่อีกครั้ง \nเมื่อแสงสีเงินผ่าฟ้าสว่างไสว ทำลายดวงอาทิตย์ที่ส่องแสงเหนือสรรพสิ่ง สาวน้อยจึงตระหนักขึ้นมา \nที่แท้สิ่งที่เธอยังคงไม่อาจปล่อยวางได้ ก็คือความยึดมั่นจากอดีต \nโซ่ตรวนได้แตกสลาย ความยึดมั่นได้ถูกกำจัด เมื่อสาวน้อยจบการเดินทาง เธอได้มอบพรอันบริสุทธิ์ที่สุดให้กับเพื่อนของเธอ,"Traphase menyambut kehadiran misterius, seorang gadis dengan dua tanduk di kepalanya mengajukan tantangan taruhan kepada semua orang.\nMengumpulkan kacang ek, mengalahkan musuh kuat, semuanya demi membalikkan ruang kembali.\nKetika cahaya perak yang membelah langit menghancurkan matahari terang yang menyinari segalanya, barulah sang gadis tersadar.\nTernyata apa yang selalu tak bisa ia lepaskan adalah obsesi dari masa lalu.\nBorgol telah hancur, obsesi telah hilang, sang gadis yang menyelesaikan perjalanannya memberikan berkah paling tulus kepada teman-temannya.","Cuộc đối đầu pha đã chào đón sự xuất hiện của một tồn tại bí ẩn, cô gái với đôi sừng trên đầu đã đưa ra lời thách đấu đến mọi người. \n Thu thập hạt dẻ, đánh bại kẻ thù mạnh mẽ, tất cả đều vì mục đích đảo ngược không gian một lần nữa. \n Khi ánh bạc lóe lên xuyên qua bầu trời và phá vỡ mặt trời rực rỡ chiếu sáng muôn nơi, cô gái mới bỗng nhiên hiểu ra. \n Hóa ra điều mà cô ấy luôn không thể buông bỏ chính là sự chấp niệm từ quá khứ. \n Xiềng xích đã bị phá vỡ, chấp niệm đã được xóa bỏ, cô gái kết thúc chuyến hành trình và gửi tặng những lời chúc chân thành nhất đến bạn bè."
StageGroup_74338_TypeText,aRHw,g关卡组_StageGroup_A.csv,180,StageGroup,TypeText,,多维连接,Multidimensional Link,Многомерное соединение,#N/A,多次元接続,다차원 연결,#N/A,#N/A,#N/A,การเชื่อมโยงหลายมิติ,Tautan Multidimensi,Kết nối đa chiều
,,,,,,,,,,,,,,,,,,
Stage_74330_Name,aUgR,g关卡_Stage_A.csv,1876,Stage,Name,,来自异界的客人,Outlander's Visit,Гость из иного мира,#N/A,異界からの訪問者,이계의 손님,#N/A,#N/A,#N/A,แขกจากต่างโลก,Tamu dari Dunia Lain,Khách từ thế giới khác
Stage_74330_Desc,aUgQ,g关卡_Stage_A.csv,1876,Stage,Desc,,一场意外让相位对弈空间迎来了一位特殊来客。为了夺回对弈空间，你踏上了成为最强卡牌大师的旅途。,"An unexpected incident has brought a special guest to the Traphase space. To reclaim the Traphase space, you embark on a journey to become the strongest Card Master.","Несчастный случай привёл в пространство фазового поединка специального гостя. Чтобы вернуть контроль над этим пространством, вы отправляетесь в путешествие, чтобы стать мастером карт.",#N/A,予期せぬ事故により、フェイズマッチ空間に特殊な来客が訪れました。対局空間を取り戻すため、あなたは最強のカードマスターになる旅に出ます。,한 번의 사고로 인해 페이즈 대결 공간에 특별한 손님이 찾아왔다. 페이즈 대결 공간을 되찾기 위해 당신은 최강의 카드 마스터가 되기 위한 여정을 시작했다.,#N/A,#N/A,#N/A,เหตุการณ์ไม่คาดฝันทำให้พื้นที่การเล่นหมากรุกเฟสได้รับผู้มาเยือนคนสำคัญ เพื่อชิงพื้นที่คืน คุณจึงออกเดินทางเพื่อก้าวขึ้นเป็นปรมาจารย์การ์ดที่แข็งแกร่งที่สุด,"Sebuah kecelakaan membuat ruang permainan Traphase kedatangan seorang tamu istimewa. Untuk merebut kembali ruang permainan, kamu memulai perjalanan untuk menjadi master kartu terkuat.","Một tai nạn bất ngờ đã đưa một vị khách đặc biệt đến không gian đối đầu pha. Để giành lại không gian này, bạn bắt đầu hành trình trở thành đại sư thẻ bài mạnh nhất."
AvgDialog_75907_Content_1,aquf,avgV2.1.1逆转回合联动_AvgDialog_C_M.csv,8,AvgDialog,Content,,来自异界的客人,A guest from another world,Гость из иного мира,#N/A,異界からの訪問者,이계의 손님,#N/A,#N/A,#N/A,แขกจากต่างโลก,Tamu dari Dunia Lain,Khách từ thế giới khác
AvgDialog_75907_Content_2,aquq,avgV2.1.1逆转回合联动_AvgDialog_C_M.csv,9,AvgDialog,Content,,清晨的阳光总是那么舒适，你伸了伸懒腰，打算开始享受美妙的假期……,The morning sunshine is always so comfortable. You stretch and plan to start enjoying the wonderful holiday...,"Утренний солнечный свет всегда такой комфортный, ты потянулся и решил начать наслаждаться прекрасным отпуском..",#N/A,朝日の光はいつも心地よく、あなたは伸びをして、素晴らしい休暇を満喫しようと思います……,"아침 햇살은 언제나 그렇게 편안하다. 당신은 기지개를 켜고, 아름다운 휴가를 즐기기 시작……",#N/A,#N/A,#N/A,"แสงแดดยามเช้า всегда так приятно, вы потянулись, собираясь насладиться прекрасным отдыхом..",Sinar matahari di pagi hari selalu terasa begitu nyaman. Kamu meregangkan tubuhmu dan berniat untuk mulai menikmati liburan yang indah ini…,"Ánh nắng buổi sáng luôn mang lại cảm giác thoải mái, bạn duỗi người và chuẩn bị tận hưởng kỳ nghỉ tuyệt vời…"
AvgDialog_75907_Content_3,aquB,avgV2.1.1逆转回合联动_AvgDialog_C_M.csv,10,AvgDialog,Content,,如果没有突如其来的爆炸声，以及匆匆进入房间的搭档的话。,If not for the sudden explosion and the partner rushing into the room.,"Если бы не совершенно неожиданный взрыв и напарник, спешно вошедший в комнату.",#N/A,もし突然の爆発音と、急いで部屋に入ってきたパートナーがいなければ。,만약 갑작스러운 폭발음과 급히 방으로 들어온 파트너가 없다면.,#N/A,#N/A,#N/A,หากไม่มีเสียงระเบิดที่เกิดขึ้นอย่างกะทันหัน และเพื่อนร่วมงานที่รีบเข้ามาในห้อง,Jika bukan karena suara ledakan yang tiba-tiba dan rekan yang masuk ke ruangan dengan terburu-buru.,Nếu không có tiếng nổ bất ngờ và người đồng đội vội vàng bước vào phòng thì.
AvgDialog_75907_Content_4,aquM,avgV2.1.1逆转回合联动_AvgDialog_C_M.csv,11,AvgDialog,Content,拉蒙娜,<Yellow:%player%>，你现在有时间么？,"<Yellow:%player%>, do you have time now?","<Yellow:%player%>, у тебя сейчас есть время?",#N/A,<Yellow:%player%>，あなたは今時間がありますか？,"<Yellow:%player%>, 지금 시간이 있니?",#N/A,#N/A,#N/A,<Yellow:%player%>，คุณมีเวลาตอนนี้ไหม？,"<Yellow:%player%>, apakah kamu punya waktu sekarang?","<Yellow:%player%>, bạn có thời gian bây giờ không?"
