Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
AvgDialog_46733_Content_1,alyA,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,8,AvgDialog,Content,,虽然只是又一个再普通不过的外勤之夜，但离校在外的夜晚，你总是睡得不那么安心。,"Even though it's just another ordinary night on the field, you always feel uneasy sleeping when you're away from school.","Хотя это была всего лишь еще одна обычная ночь в командировке, но ночи, проведенные вне школы, всегда были менее спокойными.","Aunque solo era otra noche de trabajo de campo, siempre duermes inquieto fuera de la escuela",たとえただいつもの外勤の夜であっても、学校を離れて外で過ごす夜は、あなたはいつも安らかに眠れない。,"비록 매우 평범한 외근의 밤이지만, 학교를 떠난 밤에는 항상 안심하고 잠들지 못한다.","Bien que ce ne soit qu'une nuit de mission ordinaire, tu dors toujours mal loin de l'école","Obwohl es nur eine weitere gewöhnliche Nacht im Außendienst war, schläfst du außerhalb der Schule nie wirklich gut","Embora seja apenas mais uma noite comum de trabalho de campo, você nunca dorme tranquilo fora da escola",แม้ว่าจะเป็นแค่คืนปฏิบัติภารกิจนอกสถานที่อีกหนึ่งคืนที่แสนธรรมดา แต่ในยามค่ำคืนเมื่ออยู่นอกโรงเรียน คุณมักจะนอนไม่ค่อยหลับ,"Meskipun hanyalah malam tugas luar yang biasa, tetapi saat jauh dari sekolah di malam hari, kamu selalu tidak bisa tidur dengan tenang.","Dù chỉ là một đêm trực ngoại bình thường, nhưng những đêm ở ngoài trường, em luôn ngủ không yên tâm."
AvgDialog_46733_Content_2,alyL,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,9,AvgDialog,Content,,世界的声音在黑暗中变得格外抓耳，特别是那一声声稚嫩而沉重的呼吸——,"The sounds of the world become especially striking in the darkness, particularly those youthful yet heavy breaths—","Звук мира в тёмный становится особенно резким, особенно те нежные и глубокие вдохи—— ","El sonido del mundo se vuelve especialmente cautivador en la oscuridad, especialmente esa respiración infantil y pesada——",世界の音は闇の中で特に耳を引くようになり、特にその幼いながら重い呼吸――,"세계의 소리가 어둠 속에서 더욱 귀를 사로잡았습니다, 특히 그 앳된 무거운 숨소리—","Le son du monde devient particulièrement captivant dans l'obscurité, surtout ces respirations jeunes et lourdes——","Die Geräusche der Welt werden in der Dunkelheit besonders auffällig, besonders das junge und schwere Atmen——","O som do mundo torna-se especialmente cativante na escuridão, especialmente aquela respiração jovem e pesada——",เสียงของโลกในความมืดกลับดังก้องเป็นพิเศษ โดยเฉพาะอย่างยิ่งเสียงหายใจที่อ่อนเยาว์และหนักอึ้ง——,"Suara dunia terdengar sangat jelas di kegelapan, terutama napas-napas yang terdengar polos namun berat itu——","Tiếng thế giới trở nên đặc biệt rõ ràng và gây chú ý trong bóng tối, đặc biệt là những hơi thở non nớt mà nặng nề —— "
AvgDialog_46733_Content_3,alyW,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,10,AvgDialog,Content,玩家,天亮后还有调查任务等着我们呢，怎么还不睡？,How can you not sleep? We still have investigation tasks waiting for us after dawn!,"После рассвета нас ждёт задача по расследованию, как же ты ещё не спишь?","Tenemos tareas de investigación por la mañana, ¿por qué no duermes?",天が明けたら調査任務が待っているのに、なぜ寝ないの？,"하늘이 밝아지면 우리를 기다리는 조사 태스크가 있는데, 아직도 자지 않니?","Nous avons encore des enquêtes à faire après l'aube, pourquoi ne dors-tu pas encore ?","Nach dem Morgengrauen haben wir noch Untersuchungen zu erledigen, warum schläfst du nicht?","Temos uma missão de investigação ao amanhecer, por que ainda não está dormindo?",หลังจากฟ้าสว่างยังมีภารกิจสอบสวนรอเราอยู่ ทำไมยังไม่นอน？,"Masih ada tugas penyelidikan menunggu kita setelah matahari terbit, kenapa belum tidur?","Sau khi trời sáng còn có nhiệm vụ điều tra chờ chúng ta, sao còn chưa ngủ?"
AvgDialog_46733_Content_4,alzb,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,11,AvgDialog,Content,奥吉尔,主、主君！奥吉尔无意惊扰主君的安眠，只是、只是……,"Master, Master! Ogier did not mean to disturb your rest. It's just... it's just...","Мой повелитель! Оргр не хотел беспокоить ваш сон, просто..","¡Señor, mi señor! Ogier no pretendía perturbar el descanso de su señor, solo, solo",主、主君！オージルは主君の安眠を乱すつもりはありませんでした、ただ、ただ……,"주인님, 주군님! 오지르가 주군님의 안녕을 방해하려 한 것은 결코 아닙니다, 다만, 다만...","Seigneur, mon seigneur ! Ogier n'a pas l'intention de déranger le sommeil de son seigneur, c'est juste, juste","Herr, Meister! Ogier wollte deinen Schlaf nicht stören, nur, nur","Senhor, meu senhor! Ogier não queria perturbar o seu sono, apenas, apenas",ท่านเจ้า! โอกีลไม่ได้ตั้งใจจะรบกวนการพักผ่อนของท่านเจ้า แต่แค่... ,"Tuan, Tuan! Ogier tidak bermaksud mengganggu tidur Tuan, hanya saja. hanya saja...","Chủ, chủ quân! Orci không cố ý quấy rầy giấc ngủ của chủ quân, chỉ là, chỉ là…"
AvgDialog_46733_Content_5,alzc,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,12,AvgDialog,Content,,奥吉尔抱着武器，背靠过道，像骑士雕塑般守在你的门外。,"Ogier holds his weapon, leaning against the corridor, standing guard outside your door like a knight sculpture.","Оргр обнимает оружие, прислонившись к проходу, и стоит у твоей двери как скульптура рыцаря-стража.","Ogier, con su arma en brazos, se apoyó en el pasillo, vigilando tu puerta como una estatua de caballero",オージルは武器を抱え、通路に背を預け、騎士の彫刻のようにあなたの部屋の前に立っている。,"오지르는 무기를 안고 복도에 등을 대고, 마치 기사 조각상처럼 당신의 문 앞에 지키고 있다.","Ogier tient son arme, appuyé contre le couloir, se tenant à l'extérieur de ta porte tel une sculpture de chevalier","Ogier hielt seine Waffe und lehnte sich an den Gang, wie eine Ritterstatue vor deiner Tür wachend","Ogier segurava a arma, encostado no corredor, guardando sua porta como uma estátua de cavaleiro",โอกีลกอดอาวุธไว้ พิงทางเดิน เฝ้าอยู่หน้าประตูของคุณเหมือนรูปปั้นอัศวิน,"Ogier memeluk senjatanya, bersandar di lorong, seperti patung ksatria yang berjaga di luar pintu Anda.","Orci ôm vũ khí, dựa lưng vào lối đi, như một tượng đài hiệp sĩ canh gác trước cửa của bạn."
AvgDialog_46733_Content_6,alzd,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,13,AvgDialog,Content,,他不知道在走廊上这么傻站了多久，见你拉开门，他反射性想要向你行礼，身体却无力地打了个踉跄。,"He didn't know how long he had been standing foolishly in the hallway. When you opened the door, he reflexively tried to salute you but staggered weakly.","Он не знаю, сколько времени стоял так глупо в коридоре, увидел, как ты открываешь дверь, рефлекторно хотел отдать тебе честь, но его тело без сил пошатнулось.","No sabía cuánto tiempo había estado parado en el pasillo, cuando abriste la puerta, intentó saludarte reflejamente, pero su cuerpo se tambaleó sin fuerzas",彼は廊下でどれくらいの間そうして呆然と立っていたのかわからない。あなたがドアを開けると、反射的にあなたに敬礼しようとしたが、からだは力なくよろめいた。,"그는 복도에서 얼마나 멍하니 서 있었는지 모르고, 당신이 문을 열어주자 그는 반사적으로 당신에게 경례를 하려고 했지만, 몸은 힘없이 비틀거렸다.","Il ne sait pas combien de temps il est resté là, debout dans le couloir, quand tu ouvres la porte, il essaie de te saluer, mais trébuche maladroitement","Er wusste nicht, wie lange er im Flur gestanden hatte. Als du die Tür öffnetest, wollte er reflexartig salutieren, stolperte aber kraftlos","Ele não sabia quanto tempo ficou parado no corredor, quando você abriu a porta, ele tentou reflexivamente te saudar, mas seu corpo fraquejou",เขาไม่รู้ว่าตัวเองยืนโง่ๆ อยู่ในทางเดินนานแค่ไหน เมื่อเห็นคุณเปิดประตูออก เขาเกิดปฏิกิริยาสะท้อนอยากจะทำความเคารพคุณ แต่ร่างกายกลับไร้เรี่ยวแรงจนเอนไปด้านหน้า,"Dia tidak tahu sudah berdiri bodoh di koridor selama berapa lama. Ketika melihat kamu membuka pintu, dia secara refleks ingin memberi hormat kepadamu, namun Tubuhnya malah limbung dan tersandung.","Anh ta không biết đã đứng ngốc nghếch ở hành lang bao lâu, khi thấy bạn mở cửa, anh ta phản xạ muốn chào bạn, nhưng thân thể yếu ớt loạng choạng."
AvgDialog_46733_Content_7,alze,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,14,AvgDialog,Content,玩家,——小心！,—Caution!,—— Осторожно!,——¡Cuidado!,――気をつけて！,——조심!,——Attention !,——Vorsicht!,——Cuidado!,——ระวัง!,——Hati-hati!,—— Cẩn thận!
AvgDialog_46733_Content_8,alzf,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,15,AvgDialog,Content,,你稳稳扶住了险些摔倒的少年，但似乎只让奥吉尔变得更加窘迫。,"You steadied the boy who almost fell, but it only made Ogier more flustered.","Ты уверенно поддержал мальчика, который чуть не упал, но это, кажется, только сделало Оргр ещё более сконфуженным.","Sostienes firmemente al joven que casi cae, pero parece que solo hace que Ogier se sienta más incómodo",あなたは転倒しそうな少年をしっかり支えましたが、オージルはますます恥ずかしそうにしているようでした。,"당신은 거의 넘어질 뻔한 소년을 안정적으로 잡아주었지만, 오지르는 더욱 당황해하는 것 같았다.","Tu as maintenu le jeune homme qui était sur le point de tomber, mais cela semble avoir rendu Ogier encore plus mal à l'aise","Du hast den Jungen, der fast gefallen wäre, festgehalten, aber es scheint, dass Ogier noch verlegener wurde","Você segura firmemente o jovem que quase caiu, mas parece que só deixou Ogier mais constrangido",คุณช่วยพยุงเด็กหนุ่มที่เกือบจะล้มได้อย่างมั่นคง แต่ดูเหมือนจะทำให้โอกีลรู้สึกอับอายอย่างถึงที่สุด,"Kamu dengan mantap menopang remaja yang hampir terjatuh, namun hal itu tampaknya hanya membuat Ogier semakin canggung.","Bạn đã vững vàng đỡ lấy cậu thiếu niên suýt ngã, nhưng dường như chỉ khiến Orci càng lúng túng."
AvgDialog_46733_Content_9,alzg,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,16,AvgDialog,Content,,他满脸通红，手忙脚乱，似乎想收起不受控制流溢的无形之物，似乎又想要从你身边逃离。,"His face flushed, and he fumbled around, seemingly trying to contain some invisible overflow while also wanting to flee from your side.","Он весь покраснел, в полной растерянности, словно пытался взять под контроль некий невидимый поток, вырывающийся наружу, и одновременно стремился убежать от тебя.","Su rostro estaba rojo, torpe, tratando de recoger algo invisible que se escapaba, o tal vez quería huir de tu lado",彼は顔を真っ赤にし、てんてこまいになり、制御不能に溢れ出ている無形のものを閉じようとしているようでもあり、またあなたのそばから逃げ出そうとしているようにも見える。,"그는 얼굴이 빨개지고, 손발이 뒤죽박죽이 되어, 통제할 수 없는 무형의 물질을 접으려고 하면서도 당신 곁에서 도망치고 싶어하는 것 같았다.","Son visage était rouge, il était maladroit, semblant vouloir contenir une substance invisible incontrôlable, tout en voulant s'éloigner de toi","Sein Gesicht war rot, er war hektisch, als ob er versuchte, die unkontrollierbaren unsichtbaren Dinge zu sammeln, oder als ob er von dir weglaufen wollte","Ele ficou vermelho, desajeitado, tentando controlar o que escapava de forma invisível, ou talvez querendo fugir de você",เขาหน้าแดงก่ำ ดูตื่นตระหนก พยายามจะเก็บสิ่งที่มองไม่เห็นซึ่งควบคุมไม่ได้ที่กำลังไหลออกมา ขณะเดียวกันก็พยายามหนีจากคุณไป,"Dia dengan wajah memerah, tangan sibuk dan kacau, tampaknya ingin menarik kembali sesuatu yang tak terlihat dan tak terkendali, sekaligus juga ingin melarikan diri darimu.","Anh ta mặt đỏ bừng, luống cuống, dường như cố gắng kiểm soát thứ vô hình không ngừng tuôn ra, lại như muốn chạy trốn khỏi bạn."
AvgDialog_46733_Content_10,alyB,avgV1.4繁衍狂欢_AvgDialog_C_M.csv,17,AvgDialog,Content,玩家,奥吉尔，你哪里不太舒服吗？,"Ogier, are you feeling unwell?","Оргр, тебе что-то нездоровится?","Ogier, ¿te sientes mal?",オージル、何か具合が悪いんですか？,"오지르, 어디가 불편하신가요?","Ogier, tu ne te sens pas bien ?","Ogier, fühlst du dich unwohl?","Ogier, você está se sentindo mal?",โอกีล คุณรู้สึกไม่สบายที่ไหนหรือเปล่า?,"Ogier, apakah ada yang tidak nyaman pada dirimu?","Orci, bạn có chỗ nào không thoải mái không?"
