Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
AvgRole_1001_RoleName,aqKe,avg角色_AvgRole_C.csv,9,AvgRole,Character Name,,<Yellow:%player%>,<Yellow:%player%>,#N/A,#N/A,#N/A,<Yellow:%player%>,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgRole_1001_Tittle,aqKg,avg角色_AvgRole_C.csv,9,AvgRole,Character Title,,守密人,Keeper,Хранитель,Guardián,秘密保持者,수호자,Gardien,Hüter,Guardião,ผู้พิทักษ์,Penjaga,Người giữ gìn
AvgRole_1002_RoleName,aqKh,avg角色_AvgRole_C.csv,10,AvgRole,Character Name,,护工,Caretaker,Медсестра,Cuidador,看護師,간병인,Aide-soignant,Pfleger,Cuidador,ผู้ดูแล,Perawat,Y tá phụ trợ
AvgRole_1002_Tittle,aqKj,avg角色_AvgRole_C.csv,10,AvgRole,Character Title,,济贫院护工,Workhouse Caretaker,Медсестра из дома для бедных,Cuidador del asilo,貧民院の看護師,빈민원 간병인,Aide-soignant de l'orphelinat,Waisenhausbetreuer,Cuidador do asilo,พนักงานดูแลในสถานสงเคราะห์,Pekerja di panti asuhan,Nhân viên chăm sóc tại trại tế bần
AvgRole_1003_RoleName,aqKk,avg角色_AvgRole_C.csv,11,AvgRole,Character Name,,女人,Woman,Женщина,Mujer,女性,여성,Femme,Frau,Mulher,ผู้หญิง,Perempuan,Phụ nữ
AvgRole_1004_RoleName,aqKn,avg角色_AvgRole_C.csv,12,AvgRole,Character Name,,中年女子,Middle-aged Woman,Средних лет женщина,Mujer de mediana edad,中年女性,중년 여성,Femme d'âge moyen,Mittelalter Frau,Mulher de meia-idade,ผู้หญิงวัยกลางคน,Wanita paruh baya,Phụ nữ trung niên
AvgRole_1005_RoleName,aqKq,avg角色_AvgRole_C.csv,13,AvgRole,Character Name,,碎嘴的女员工,Chatty Female Employee,Болтушка из сотрудниц,Empleada habladora,話が多すぎる女性社員,수다스러운 여직원,Employée bavarde,Schwatzhafte Angestellte,Funcionária Tagarela,พนักงานหญิงที่ช่างพูด,Karyawan wanita yang cerewet,Nhân viên nữ nói nhiều
AvgRole_1006_RoleName,aqKt,avg角色_AvgRole_C.csv,14,AvgRole,Character Name,,苦恼的男员工,Distressed Male Employee,Мужчина-сотрудник,Empleado angustiado,悩める男性社員,고민하는 남직원,Employé masculin troublé,Verzweifelter Mitarbeiter,Funcionário angustiado,พนักงานชายกังวล,Karyawan pria yang cemas,Lo lắng nhân viên nam
AvgRole_1007_RoleName,aqKw,avg角色_AvgRole_C.csv,15,AvgRole,Character Name,,女孩,Girl,Девочка,Niña,女の子,여자아이,Fille,Mädchen,Menina,สาวน้อย,Gadis,Cô gái
AvgRole_1008_RoleName,aqKz,avg角色_AvgRole_C.csv,16,AvgRole,Character Name,,梅森,Mason,Мейсон,Mason,メイソン,메이슨,Mason,Mason,Mason,เมสัน,Mason,Mê-sơn
AvgRole_1008_Tittle,aqKB,avg角色_AvgRole_C.csv,16,AvgRole,Character Title,,「24」,"""24""",#N/A,#N/A,#N/A,「24」,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AvgRole_1009_RoleName,aqKC,avg角色_AvgRole_C.csv,17,AvgRole,Character Name,,保安,Security Guard,Охранник,Seguridad,セキュリティ,보안 요원,Sécurité,Sicherheitsdienst,Segurança,เจ้าหน้าที่รักษาความปลอดภัย,Satpam,Bảo vệ
AvgRole_1010_RoleName,aqKF,avg角色_AvgRole_C.csv,18,AvgRole,Character Name,,？？,??,#N/A,#N/A,#N/A,??,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
