Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
AvgDialog_46539_Content_1,alyf,avg系统功能引导_AvgDialog_C_M.csv,8,AvgDialog,Content,威廉,经过一年的授课和近期的任务调查，你现在的资历已经可以接触「相位对弈」了。,"After a year of teaching and recent task investigations, your qualifications now allow you to engage in ""Traphase"".","После года преподавания и недавнего расследования задач, вы теперь можете участвовать в 《фазовом поединке》.","Después de un año de enseñanza y la reciente investigación de tareas, ahora estás calificado para entrar en ""traphase""",1年間の授業と最近の任務調査を経て、あなたは現在「フェーズマッチ」に取り組む資格を持っています。,1년 동안의 수업과 최근의 태스크 조사를 거쳐 당신의 자격은 이제 “페이즈 대결”에 참여할 수 있는 수준입니다.,"Après un an de cours et de récentes missions d'enquête, vous êtes maintenant qualifié pour le « traphase »","Nach einem Jahr Unterricht und der kürzlichen Aufgabenuntersuchung bist du jetzt qualifiziert, dich mit „Traphase“ zu beschäftigen","Após um ano de aulas e as recentes investigações de tarefas, você agora possui a qualificação para aprender sobre 「traphase」",หลังจากสอนมาหนึ่งปีและการตรวจสอบภารกิจเมื่อไม่นานมานี้ ตอนนี้คุณมีคุณสมบัติเพียงพอที่จะเข้าถึง「การเล่นหมากรุกขั้นสูง」ได้แล้ว。,"Setelah satu tahun mengajar dan melakukan penyelidikan tugas baru-baru ini, kualifikasi kamu sekarang sudah cukup untuk memahami 「Traphase」.","Sau một năm giảng dạy và điều tra nhiệm vụ gần đây, tư cách của bạn hiện đã đủ để tiếp xúc với 「đối đầu pha」."
AvgDialog_46539_Content_2,alyk,avg系统功能引导_AvgDialog_C_M.csv,9,AvgDialog,Content,威廉,说起来，你有从其他人那儿听说过「相位对弈」吗？,"Speaking of which, have you heard about ""Traphase"" from others?","Скажи, ты слышал о 《фазовый поединок》 от кого-нибудь ещё?","Hablando de eso, ¿has escuchado de ""traphase"" de otras personas?",话说，あなたは他の人から「フェーズマッチ」って聞いたことがありますか？,"그러고 보니, 당신은 다른 사람들에게서 “페이즈 대결”에 대해 들어본 적이 있어요?","En parlant de cela, as-tu entendu parler du ""traphase"" par les autres ?","Sag mal, hast du von anderen über „Traphase“ gehört?","A propósito, você já ouviu algo sobre ""traphase"" de outras pessoas?",พูดถึงเรื่องนี้ คุณเคยได้ยินเรื่อง「การเล่นหมากรุกเฟส」จากคนอื่นไหม？,"Ngomong-ngomong, apakah kamu pernah mendengar tentang 「Traphase」 dari orang lain?","À, mà, bạn có nghe ai đó đề cập đến 「đối đầu pha」 không?"
AvgDialog_46539_Content_3,alyl,avg系统功能引导_AvgDialog_C_M.csv,10,AvgDialog,Content,,有所了解,I know a bit about it.,Имеет некоторое понимание,Entendido,某种程度に知っている,알고 있다,Compris,Verstanden,Entendido,พอเข้าใจ,Memiliki pemahaman tertentu,Hiểu biết một phần
AvgDialog_46539_Content_4,alym,avg系统功能引导_AvgDialog_C_M.csv,11,AvgDialog,Content,威廉,很好，不过基于学校的规章，我必须向你更全面地讲解其中的风险与规则。,"Very well, but according to the school's regulations, I must provide you with a more comprehensive explanation of the risks and rules.","Отлично, но согласно правилам школы, я обязан подробнее объяснить вам связанные риски и правила.","Muy bien, pero según las reglas de la escuela, debo explicarte más detalladamente los riesgos y reglas",很好，しかし学校の規則に基づいて、リスクとルールについてより包括的に説明しなければなりません。,"아주 좋습니다. 하지만 학교의 규정에 따라, 저는 당신에게 그 위험과 규칙을 더 자세히 설명해야 합니다.","Très bien, mais selon les règles de l'école, je dois te donner une explication plus complète des risques et des règles","Sehr gut, aber gemäß den Schulregeln muss ich dir die Risiken und Regeln umfassend erklären","Muito bem, mas pelas regras da escola, devo explicar os riscos e regras mais detalhadamente",ดีมาก แต่ตามกฎระเบียบของโรงเรียน ฉันจำเป็นต้องอธิบายความเสี่ยง และกฎเกณฑ์เหล่านั้นให้คุณฟังอย่างครบถ้วน,"Baik, namun berdasarkan peraturan sekolah, saya harus menjelaskan kepada Anda secara lebih menyeluruh mengenai risiko dan aturan yang terkait.","Rất tốt, nhưng dựa trên nội quy của trường, tôi phải giải thích cho bạn một cách toàn diện hơn về các rủi ro và quy tắc."
AvgDialog_46539_Content_5,alyn,avg系统功能引导_AvgDialog_C_M.csv,12,AvgDialog,Content,,闻所未闻,Never heard of it.,Не слыханное,Inaudito,聞いたこともない,처음 듣는 말이네,Inouï,Ungehört,Inédito,ไม่เคยพบมาก่อน,Belum pernah terdengar,Chưa hề nghe thấy
AvgDialog_46539_Content_6,alyo,avg系统功能引导_AvgDialog_C_M.csv,13,AvgDialog,Content,威廉,好，那我会从头开始向你介绍。,"Alright, I'll start from the beginning and introduce it to you.","Хорошо, я начну с самого начала и расскажу тебе.","Bien, empezaré desde el principio",はい、それでは最初から説明します。,"그래, 그럼 처음부터 너에게 소개해줄게.","D'accord, je vais tout te réexpliquer depuis le début","Gut, dann fange ich von vorne an","Certo, vou começar do início",ได้ ฉันจะเริ่มแนะนำให้คุณตั้งแต่ต้น,"Baik, saya akan mulai menjelaskan semuanya dari awal.","Được, vậy tôi sẽ bắt đầu giới thiệu từ đầu."
AvgDialog_46539_Content_7,alyp,avg系统功能引导_AvgDialog_C_M.csv,14,AvgDialog,Content,威廉,在对银芯的研究中，我们发现银芯振动时产生的振波，偶尔能够跨越物理的界限。我们将发生振波的位置称为<Yellow:相位>。,"In our research on Silver, we discovered that the vibration waves produced by Silver during oscillation can occasionally cross physical boundaries. We refer to the location where these vibration waves occur as <Yellow:Phase>.","В ходе исследования сердечника из серебра, мы обнаружили, что колебания, возникающие при его вибрации, иногда способны пересекать физические границы. Мы называем положение, где возникают эти колебания, <Yellow:фаза>.",#N/A,銀芯の研究の中で、私たちは銀芯が振動する際に発生する振動波が、ときおり物理的な境界を越えることを発見しました。振動波が発生する位置を<Yellow:位相>と呼びます。,은심의 연구 과정에서 우리는 은심이 진동할 때 발생하는 진동파가 가끔 물리적인 경계를 넘을 수 있다는 것을 발견했습니다. 진동파가 발생하는 위치를 <Yellow:상태>라고 합니다.,#N/A,#N/A,#N/A,ในการวิจัยเกี่ยวกับเงินใจ เราพบว่าเมื่อเงินใจสั่นสะเทือน คลื่นที่เกิดขึ้นบางครั้งสามารถข้ามขีดจำกัดทางกายภาพได้ เราเรียกตำแหน่งที่เกิดคลื่นว่า<Yellow:เฟส>.,"Dalam penelitian terhadap Perak, kami menemukan bahwa gelombang getaran yang dihasilkan saat Perak bergetar kadang-kadang dapat melampaui batas fisik. Kami menyebut posisi terjadinya gelombang ini sebagai <Yellow:Fase>.","Trong quá trình nghiên cứu về bạc tâm, chúng tôi đã phát hiện ra rằng khi bạc tâm rung động, sóng dao động được tạo ra thỉnh thoảng có thể vượt qua ranh giới vật lý. Chúng tôi gọi vị trí xảy ra sóng dao động là <Yellow:phased>."
AvgDialog_46539_Content_8,alyq,avg系统功能引导_AvgDialog_C_M.csv,15,AvgDialog,Content,威廉,而「相位对弈」，正是一种利用相位，与另一个时空的自己进行<Yellow:对战>，从而达到锻炼精神与战斗意识效果的特化训练。,"And ""Traphase"" is a specialized training method that utilizes phases to engage in <Yellow:battle> with another self from a different time and space, thereby achieving the effect of improving spirit and battle awareness.","А 《фазовый поединок》 — это специализированная тренировка, которая использует фазы для <Yellow:бой> с самим собой из другого временного пространства, чтобы достичь эффекта укрепления духа и боевого сознания.","Y ""traphase"" es un entrenamiento especializado que utiliza la fase para enfrentarse a uno mismo en otro espacio-temporal en <Yellow: batalla>, logrando así un efecto de entrenamiento del espíritu y la conciencia de combate",そして「フェイズマッチ」は、相位を利用し、別の時間軸の自分自身と<Yellow:バトル>を行うことで、精神と、戦闘意識を鍛える効果を持つ特化訓練です。,그리고 「페이즈 대결」은 페이즈를 이용하여 다른 시공간의 자신과 <Yellow:대결>을 벌여 정신과 전투 의식을 훈련하는 특수한 훈련 방법입니다.,"Et le « traphase » est un entraînement spécialisé utilisant les phases pour affronter une autre version de soi dans un autre temps et espace <Yellow:combat>, afin de renforcer l'esprit et la conscience de combat","Die „Traphase“ ist eine spezialisierte Trainingsmethode, die es ermöglicht, mithilfe der Phase gegen sein anderes Ich aus einer anderen Zeitdimension zu <Yellow: kämpfen>, um Geist und Kampfgeist zu trainieren","E o 「jogo de fase」 é uma especialização que usa a fase para combater outra versão de si mesmo de um outro tempo-espaço <Yellow:duelo>, alcançando assim um treino para a mente e a consciência de combate",และ「การเล่นหมากรุกเฟส」เป็นการฝึกฝนเชิงลึกที่ใช้เฟส และต่อสู้กับตัวเองในอีกช่วงเวลาหนึ่ง เพื่อเสริมสร้างจิตใจและความตระหนักในการต่อสู้<Yellow:การต่อสู้>,"Dan ""Traphase"", adalah sebuah metode pelatihan khusus yang memanfaatkan fase untuk <Yellow:melawan> diri sendiri di dimensi lain, sehingga mencapai Efek dalam melatih Roh dan kesadaran Pertempuran.","Mà 「đối đầu pha」, chính là một phương pháp sử dụng pha để <Yellow:chiến đấu> với bản thân từ một không gian-thời gian khác, nhằm đạt được hiệu ứng rèn luyện tinh thần và ý thức chiến đấu."
AvgDialog_46539_Content_9,alyr,avg系统功能引导_AvgDialog_C_M.csv,16,AvgDialog,Content,玩家,另一个时空的自己……,Myself from another dimension...,Другая версия себя из другого времени..,Otro yo de otro tiempo,別の時間軸の自分……,다른 시공간의 자신……,Un autre moi d'un autre espace-temps,Ein anderes Ich aus einer anderen Zeit,Outra versão de mim em outro tempo,ตัวเองจากอีกช่วงเวลาหนึ่ง..,Diri sendiri dari dimensi lain...,Phiên bản khác của chính mình…
AvgDialog_46539_Content_10,alyg,avg系统功能引导_AvgDialog_C_M.csv,17,AvgDialog,Content,威廉,当然，进行战斗的都是唤醒体——不过在相位过程中，某些存在会受到物理界限的<Yellow:扭曲>。,"Of course, the battles are fought by Awakeners—though during the phase, some entities will experience <Yellow:distortion> of physical boundaries.","Конечно, в бою участвуют только пробуждающие тела — однако в процессе фазы некоторые существа испытывают <Yellow:искажение> физических границ.","Por supuesto, los que luchan son los despertadores; sin embargo, durante el proceso de fase, ciertas entidades serán <Yellow:distorsionadas> por límites físicos",もちろん、戦闘を行うのは覚醒体——しかし、相位の過程で、特定の存在は物理的境界の<Yellow:ねじれ>を受ける。,"물론, 전투를 수행하는 것은 모두 각성체입니다——하지만 위상 과정에서 일부 존재는 물리적 경계에서 <Yellow:왜곡>됩니다.","Bien sûr, ce sont des réveilleurs qui combattent — cependant, pendant le processus de phase, certaines entités seront sujettes à la <Yellow:distorsion> des limites physiques",Natürlich kämpfen alle gekerbten Wesen — jedoch werden während des Phasenprozesses einige Entitäten durch physische Grenzen <Yellow: verzerrt>,"Claro, os que lutam são todos despertadores - mas durante o processo de fase, algumas existências podem ser afetadas por limites físicos de <Yellow:distorsão>",แน่นอนว่าผู้ที่เข้าสู่การต่อสู้ล้วนเป็นร่างกายที่ตื่นขึ้น——แต่ในกระบวนการของเฟส บางสิ่งจะได้รับผลกระทบจากขีดจำกัดทางกายภาพที่<Yellow:เปลี่ยนรูปอย่างผิดปกติ>。,"Tentu saja, mereka yang terlibat dalam pertempuran adalah semua Pembangun —— namun, selama proses fase, keberadaan tertentu akan mengalami <Yellow:pembengkokan> batas fisik.","Tất nhiên, những thực thể tham gia chiến đấu đều là thân thể được đánh thức —— tuy nhiên trong quá trình pha vị, một số tồn tại sẽ bị giới hạn vật lý <Yellow:sự méo mó>."
